j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	2.0	1.0	['E-4', 'G-4', 'C5']	['m3', 'M6']	[True, True, True]	1.0	2.0	0.0	viio	0.0	('E-', 'G-', 'C')	E-	G-	C	C	C	1.0	dim	(0, 3, 6)	D-	D-	7	None	False	['E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
0.125	2.0	1.0	['E-4', 'G-4', 'C5']	['m3', 'M6']	[False, False, False]	1.0	2.0	0.0	viio	1.0	('E-', 'G-', 'C')	E-	G-	C	C	C	1.0	dim	(0, 3, 6)	D-	D-	7	None	False	['E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
0.25	2.0	1.0	['E-4', 'G-4', 'C5']	['m3', 'M6']	[False, False, False]	1.0	2.0	0.0	viio	2.0	('E-', 'G-', 'C')	E-	G-	C	C	C	1.0	dim	(0, 3, 6)	D-	D-	7	None	False	['E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
0.375	2.0	1.0	['E-4', 'G-4', 'C5']	['m3', 'M6']	[False, False, False]	1.0	2.0	0.0	viio	2.0	('E-', 'G-', 'C')	E-	G-	C	C	C	1.0	dim	(0, 3, 6)	D-	D-	7	None	False	['E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
0.5	2.0	1.0	['E-4', 'G-4', 'C5']	['m3', 'M6']	[False, False, False]	1.0	2.0	0.0	viio	3.0	('E-', 'G-', 'C')	E-	G-	C	C	C	1.0	dim	(0, 3, 6)	D-	D-	7	None	False	['E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
0.625	2.0	1.0	['E-4', 'G-4', 'C5']	['m3', 'M6']	[False, False, False]	1.0	2.0	0.0	viio	3.0	('E-', 'G-', 'C')	E-	G-	C	C	C	1.0	dim	(0, 3, 6)	D-	D-	7	None	False	['E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
0.75	2.0	1.0	['E-4', 'G-4', 'C5']	['m3', 'M6']	[False, False, False]	1.0	2.0	0.0	viio	3.0	('E-', 'G-', 'C')	E-	G-	C	C	C	1.0	dim	(0, 3, 6)	D-	D-	7	None	False	['E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
0.875	2.0	1.0	['E-4', 'G-4', 'C5']	['m3', 'M6']	[False, False, False]	1.0	2.0	0.0	viio	3.0	('E-', 'G-', 'C')	E-	G-	C	C	C	1.0	dim	(0, 3, 6)	D-	D-	7	None	False	['E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
1.0	2.0	1.0	['E-4', 'G-4', 'C5']	['m3', 'M6']	[False, False, False]	1.0	2.0	0.0	viio	4.0	('E-', 'G-', 'C')	E-	G-	C	C	C	1.0	dim	(0, 3, 6)	D-	D-	7	None	False	['E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
1.125	2.0	1.0	['E-4', 'G-4', 'C5']	['m3', 'M6']	[False, False, False]	1.0	2.0	0.0	viio	4.0	('E-', 'G-', 'C')	E-	G-	C	C	C	1.0	dim	(0, 3, 6)	D-	D-	7	None	False	['E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
