j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	1.0	['A#4', 'C#5', 'E#5']	['m3', 'P5']	[True, True, True]	1.0	1.0	0.0	i	0.0	('A#', 'C#', 'E#')	A#	C#	E#	A#	A#	0.0	min	(1, 5, 10)	a#	a#	1	None	False	['A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#']	0.0	0.0	0.0	0.0
0.125	1.0	1.0	['A#4', 'C#5', 'E#5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	1.0	('A#', 'C#', 'E#')	A#	C#	E#	A#	A#	0.0	min	(1, 5, 10)	a#	a#	1	None	False	['A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#']	0.0	0.0	0.0	0.0
0.25	1.0	1.0	['A#4', 'C#5', 'E#5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	2.0	('A#', 'C#', 'E#')	A#	C#	E#	A#	A#	0.0	min	(1, 5, 10)	a#	a#	1	None	False	['A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#']	0.0	0.0	0.0	0.0
0.375	1.0	1.0	['A#4', 'C#5', 'E#5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	2.0	('A#', 'C#', 'E#')	A#	C#	E#	A#	A#	0.0	min	(1, 5, 10)	a#	a#	1	None	False	['A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#']	0.0	0.0	0.0	0.0
0.5	1.0	1.0	['A#4', 'C#5', 'E#5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	3.0	('A#', 'C#', 'E#')	A#	C#	E#	A#	A#	0.0	min	(1, 5, 10)	a#	a#	1	None	False	['A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#']	0.0	0.0	0.0	0.0
0.625	1.0	1.0	['A#4', 'C#5', 'E#5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	3.0	('A#', 'C#', 'E#')	A#	C#	E#	A#	A#	0.0	min	(1, 5, 10)	a#	a#	1	None	False	['A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#']	0.0	0.0	0.0	0.0
0.75	1.0	1.0	['A#4', 'C#5', 'E#5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	3.0	('A#', 'C#', 'E#')	A#	C#	E#	A#	A#	0.0	min	(1, 5, 10)	a#	a#	1	None	False	['A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#']	0.0	0.0	0.0	0.0
0.875	1.0	1.0	['A#4', 'C#5', 'E#5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	3.0	('A#', 'C#', 'E#')	A#	C#	E#	A#	A#	0.0	min	(1, 5, 10)	a#	a#	1	None	False	['A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#', 'A#', 'C#', 'E#']	0.0	0.0	0.0	0.0
1.0	1.0	1.0	['D#5', 'F#5', 'B5']	['m3', 'm6']	[True, True, True]	1.0	1.0	1.0	V	0.0	('D#', 'F#', 'B')	D#	F#	B	B	B	1.0	maj	(3, 6, 11)	E	E	5	None	False	['D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B']	0.0	0.0	0.0	0.0
1.125	1.0	1.0	['D#5', 'F#5', 'B5']	['m3', 'm6']	[False, False, False]	1.0	1.0	1.0	V	1.0	('D#', 'F#', 'B')	D#	F#	B	B	B	1.0	maj	(3, 6, 11)	E	E	5	None	False	['D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B']	0.0	0.0	0.0	0.0
1.25	1.0	1.0	['D#5', 'F#5', 'B5']	['m3', 'm6']	[False, False, False]	1.0	1.0	1.0	V	2.0	('D#', 'F#', 'B')	D#	F#	B	B	B	1.0	maj	(3, 6, 11)	E	E	5	None	False	['D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B']	0.0	0.0	0.0	0.0
1.375	1.0	1.0	['D#5', 'F#5', 'B5']	['m3', 'm6']	[False, False, False]	1.0	1.0	1.0	V	2.0	('D#', 'F#', 'B')	D#	F#	B	B	B	1.0	maj	(3, 6, 11)	E	E	5	None	False	['D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B']	0.0	0.0	0.0	0.0
1.5	1.0	1.0	['D#5', 'F#5', 'B5']	['m3', 'm6']	[False, False, False]	1.0	1.0	1.0	V	3.0	('D#', 'F#', 'B')	D#	F#	B	B	B	1.0	maj	(3, 6, 11)	E	E	5	None	False	['D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B']	0.0	0.0	0.0	0.0
1.625	1.0	1.0	['D#5', 'F#5', 'B5']	['m3', 'm6']	[False, False, False]	1.0	1.0	1.0	V	3.0	('D#', 'F#', 'B')	D#	F#	B	B	B	1.0	maj	(3, 6, 11)	E	E	5	None	False	['D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B']	0.0	0.0	0.0	0.0
1.75	1.0	1.0	['D#5', 'F#5', 'B5']	['m3', 'm6']	[False, False, False]	1.0	1.0	1.0	V	3.0	('D#', 'F#', 'B')	D#	F#	B	B	B	1.0	maj	(3, 6, 11)	E	E	5	None	False	['D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B']	0.0	0.0	0.0	0.0
