j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	1.0	['B4', 'D5', 'F#5']	['m3', 'P5']	[True, True, True]	1.0	0.5	0.0	i	0.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#']	0.0	0.0	0.0	0.0
0.125	0.5	1.0	['B4', 'D5', 'F#5']	['m3', 'P5']	[False, False, False]	1.0	0.5	0.0	i	1.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#']	0.0	0.0	0.0	0.0
0.25	0.5	1.0	['B4', 'D5', 'F#5']	['m3', 'P5']	[False, False, False]	1.0	0.5	0.0	i	2.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#']	0.0	0.0	0.0	0.0
0.375	0.5	1.0	['B4', 'D5', 'F#5']	['m3', 'P5']	[False, False, False]	1.0	0.5	0.0	i	2.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#']	0.0	0.0	0.0	0.0
0.5	1.0	1.0	['F#5', 'B5', 'D6']	['P4', 'm6']	[True, True, True]	1.0	1.0	1.0	i	0.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D']	0.0	0.0	0.0	0.0
0.625	1.0	1.0	['F#5', 'B5', 'D6']	['P4', 'm6']	[False, False, False]	1.0	1.0	1.0	i	1.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D']	0.0	0.0	0.0	0.0
0.75	1.0	1.0	['F#5', 'B5', 'D6']	['P4', 'm6']	[False, False, False]	1.0	1.0	1.0	i	2.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D']	0.0	0.0	0.0	0.0
0.875	1.0	1.0	['F#5', 'B5', 'D6']	['P4', 'm6']	[False, False, False]	1.0	1.0	1.0	i	2.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D']	0.0	0.0	0.0	0.0
1.0	1.0	1.0	['F#5', 'B5', 'D6']	['P4', 'm6']	[False, False, False]	1.0	1.0	1.0	i	3.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D']	0.0	0.0	0.0	0.0
1.125	1.0	1.0	['F#5', 'B5', 'D6']	['P4', 'm6']	[False, False, False]	1.0	1.0	1.0	i	3.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D']	0.0	0.0	0.0	0.0
1.25	1.0	1.0	['F#5', 'B5', 'D6']	['P4', 'm6']	[False, False, False]	1.0	1.0	1.0	i	3.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D']	0.0	0.0	0.0	0.0
1.375	1.0	1.0	['F#5', 'B5', 'D6']	['P4', 'm6']	[False, False, False]	1.0	1.0	1.0	i	3.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D']	0.0	0.0	0.0	0.0
1.5	0.5	2.0	['E5', 'G5', 'B5']	['m3', 'P5']	[True, True, True]	2.0	0.5	2.0	iv	0.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	b	b	4	None	False	['E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B']	0.0	0.0	0.0	0.0
1.625	0.5	2.0	['E5', 'G5', 'B5']	['m3', 'P5']	[False, False, False]	2.0	0.5	2.0	iv	1.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	b	b	4	None	False	['E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B']	0.0	0.0	0.0	0.0
1.75	0.5	2.0	['E5', 'G5', 'B5']	['m3', 'P5']	[False, False, False]	2.0	0.5	2.0	iv	2.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	b	b	4	None	False	['E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B']	0.0	0.0	0.0	0.0
1.875	0.5	2.0	['E5', 'G5', 'B5']	['m3', 'P5']	[False, False, False]	2.0	0.5	2.0	iv	2.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	b	b	4	None	False	['E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B', 'E', 'G', 'B']	0.0	0.0	0.0	0.0
2.0	1.0	2.0	['B4', 'D5', 'F#5']	['m3', 'P5']	[True, True, True]	2.0	1.0	3.0	i	0.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#']	0.0	0.0	0.0	0.0
2.125	1.0	2.0	['B4', 'D5', 'F#5']	['m3', 'P5']	[False, False, False]	2.0	1.0	3.0	i	1.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#']	0.0	0.0	0.0	0.0
2.25	1.0	2.0	['B4', 'D5', 'F#5']	['m3', 'P5']	[False, False, False]	2.0	1.0	3.0	i	2.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#', 'B', 'D', 'F#']	0.0	0.0	0.0	0.0
