j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[True, True, True]	1.0	1.0	0.0	IV	0.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
0.125	1.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	1.0	0.0	IV	1.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
0.25	1.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	1.0	0.0	IV	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
0.375	1.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	1.0	0.0	IV	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
0.5	1.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	1.0	0.0	IV	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
0.625	1.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	1.0	0.0	IV	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
0.75	1.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	1.0	0.0	IV	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
0.875	1.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	1.0	0.0	IV	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
1.0	1.0	1.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[True, True, True, True]	1.0	1.0	1.0	i	0.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
1.125	1.0	1.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[False, False, False, False]	1.0	1.0	1.0	i	1.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
1.25	1.0	1.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[False, False, False, False]	1.0	1.0	1.0	i	2.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
1.375	1.0	1.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[False, False, False, False]	1.0	1.0	1.0	i	2.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
1.5	1.0	1.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[False, False, False, False]	1.0	1.0	1.0	i	3.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
1.625	1.0	1.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[False, False, False, False]	1.0	1.0	1.0	i	3.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
1.75	1.0	1.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[False, False, False, False]	1.0	1.0	1.0	i	3.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
1.875	1.0	1.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[False, False, False, False]	1.0	1.0	1.0	i	3.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
2.0	1.0	1.0	['A4', 'C#5', 'E5', 'G5']	['M3', 'P5', 'm7']	[True, True, True, True]	1.0	1.0	2.0	V7	0.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	D	D	5	None	False	['A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G']	0.0	0.0	0.0	0.0
2.125	1.0	1.0	['A4', 'C#5', 'E5', 'G5']	['M3', 'P5', 'm7']	[False, False, False, False]	1.0	1.0	2.0	V7	1.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	D	D	5	None	False	['A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G']	0.0	0.0	0.0	0.0
2.25	1.0	1.0	['A4', 'C#5', 'E5', 'G5']	['M3', 'P5', 'm7']	[False, False, False, False]	1.0	1.0	2.0	V7	2.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	D	D	5	None	False	['A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G']	0.0	0.0	0.0	0.0
2.375	1.0	1.0	['A4', 'C#5', 'E5', 'G5']	['M3', 'P5', 'm7']	[False, False, False, False]	1.0	1.0	2.0	V7	2.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	D	D	5	None	False	['A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G']	0.0	0.0	0.0	0.0
2.5	1.0	1.0	['A4', 'C#5', 'E5', 'G5']	['M3', 'P5', 'm7']	[False, False, False, False]	1.0	1.0	2.0	V7	3.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	D	D	5	None	False	['A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G']	0.0	0.0	0.0	0.0
2.625	1.0	1.0	['A4', 'C#5', 'E5', 'G5']	['M3', 'P5', 'm7']	[False, False, False, False]	1.0	1.0	2.0	V7	3.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	D	D	5	None	False	['A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G']	0.0	0.0	0.0	0.0
2.75	1.0	1.0	['A4', 'C#5', 'E5', 'G5']	['M3', 'P5', 'm7']	[False, False, False, False]	1.0	1.0	2.0	V7	3.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	D	D	5	None	False	['A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G']	0.0	0.0	0.0	0.0
2.875	1.0	1.0	['A4', 'C#5', 'E5', 'G5']	['M3', 'P5', 'm7']	[False, False, False, False]	1.0	1.0	2.0	V7	3.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	D	D	5	None	False	['A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G']	0.0	0.0	0.0	0.0
3.0	1.0	2.0	['G4', 'B4', 'D5']	['M3', 'P5']	[True, True, True]	2.0	1.0	3.0	IV	0.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
3.125	1.0	2.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	2.0	1.0	3.0	IV	1.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
3.25	1.0	2.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	2.0	1.0	3.0	IV	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
3.375	1.0	2.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	2.0	1.0	3.0	IV	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
3.5	1.0	2.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	2.0	1.0	3.0	IV	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
3.625	1.0	2.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	2.0	1.0	3.0	IV	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
3.75	1.0	2.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	2.0	1.0	3.0	IV	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
3.875	1.0	2.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	2.0	1.0	3.0	IV	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
4.0	1.0	2.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[True, True, True, True]	2.0	1.0	4.0	i	0.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
4.125	1.0	2.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[False, False, False, False]	2.0	1.0	4.0	i	1.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
4.25	1.0	2.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[False, False, False, False]	2.0	1.0	4.0	i	2.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
4.375	1.0	2.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[False, False, False, False]	2.0	1.0	4.0	i	2.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
4.5	1.0	2.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[False, False, False, False]	2.0	1.0	4.0	i	3.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
4.625	1.0	2.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[False, False, False, False]	2.0	1.0	4.0	i	3.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
4.75	1.0	2.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[False, False, False, False]	2.0	1.0	4.0	i	3.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
4.875	1.0	2.0	['D4', 'F4', 'G4', 'A4']	['m3', 'P4', 'P5']	[False, False, False, False]	2.0	1.0	4.0	i	3.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	D	d	1	None	False	['D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A']	0.25	0.0	0.06	0.0
5.0	1.0	2.0	['A4', 'C#5', 'E5', 'G5']	['M3', 'P5', 'm7']	[True, True, True, True]	2.0	1.0	5.0	V7	0.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	D	D	5	None	False	['A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G', 'A', 'C#', 'E', 'G']	0.0	0.0	0.0	0.0
