j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	4.0	1.0	['G#5', 'B5', 'D6', 'F6']	['m3', 'd5', 'd7']	[True, True, True, True]	1.0	4.0	0.0	viio7	0.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F']	0.0	0.0	0.0	0.0
0.125	4.0	1.0	['G#5', 'B5', 'D6', 'F6']	['m3', 'd5', 'd7']	[False, False, False, False]	1.0	4.0	0.0	viio7	1.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F']	0.0	0.0	0.0	0.0
0.25	4.0	1.0	['G#5', 'B5', 'D6', 'F6']	['m3', 'd5', 'd7']	[False, False, False, False]	1.0	4.0	0.0	viio7	2.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F']	0.0	0.0	0.0	0.0
0.375	4.0	1.0	['G#5', 'B5', 'D6', 'F6']	['m3', 'd5', 'd7']	[False, False, False, False]	1.0	4.0	0.0	viio7	2.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F']	0.0	0.0	0.0	0.0
0.5	4.0	1.0	['G#5', 'B5', 'D6', 'F6']	['m3', 'd5', 'd7']	[False, False, False, False]	1.0	4.0	0.0	viio7	3.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F']	0.0	0.0	0.0	0.0
0.625	4.0	1.0	['G#5', 'B5', 'D6', 'F6']	['m3', 'd5', 'd7']	[False, False, False, False]	1.0	4.0	0.0	viio7	3.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F']	0.0	0.0	0.0	0.0
0.75	4.0	1.0	['G#5', 'B5', 'D6', 'F6']	['m3', 'd5', 'd7']	[False, False, False, False]	1.0	4.0	0.0	viio7	3.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F']	0.0	0.0	0.0	0.0
0.875	4.0	1.0	['G#5', 'B5', 'D6', 'F6']	['m3', 'd5', 'd7']	[False, False, False, False]	1.0	4.0	0.0	viio7	3.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F']	0.0	0.0	0.0	0.0
1.0	4.0	1.0	['G#5', 'B5', 'D6', 'F6']	['m3', 'd5', 'd7']	[False, False, False, False]	1.0	4.0	0.0	viio7	4.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F']	0.0	0.0	0.0	0.0
1.125	4.0	1.0	['G#5', 'B5', 'D6', 'F6']	['m3', 'd5', 'd7']	[False, False, False, False]	1.0	4.0	0.0	viio7	4.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F', 'G#', 'B', 'D', 'F']	0.0	0.0	0.0	0.0
