j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	1.0	['G4', 'B-4', 'D5']	['m3', 'P5']	[True, True, True]	1.0	1.0	0.0	i	0.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D']	0.0	0.0	0.0	0.0
0.125	1.0	1.0	['G4', 'B-4', 'D5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	1.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D']	0.0	0.0	0.0	0.0
0.25	1.0	1.0	['G4', 'B-4', 'D5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	2.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D']	0.0	0.0	0.0	0.0
0.375	1.0	1.0	['G4', 'B-4', 'D5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	2.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D']	0.0	0.0	0.0	0.0
0.5	1.0	1.0	['G4', 'B-4', 'D5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	3.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D']	0.0	0.0	0.0	0.0
0.625	1.0	1.0	['G4', 'B-4', 'D5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	3.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D']	0.0	0.0	0.0	0.0
0.75	1.0	1.0	['G4', 'B-4', 'D5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	3.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D']	0.0	0.0	0.0	0.0
0.875	1.0	1.0	['G4', 'B-4', 'D5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	3.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D', 'G', 'B-', 'D']	0.0	0.0	0.0	0.0
1.0	2.0	1.0	['G4', 'B-4', 'E-5']	['m3', 'm6']	[True, True, True]	1.0	2.0	1.0	VI	0.0	('G', 'B-', 'E-')	G	B-	E-	E-	E-	1.0	maj	(3, 7, 10)	g	g	6	None	False	['G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-']	0.0	0.0	0.0	0.0
1.125	2.0	1.0	['G4', 'B-4', 'E-5']	['m3', 'm6']	[False, False, False]	1.0	2.0	1.0	VI	1.0	('G', 'B-', 'E-')	G	B-	E-	E-	E-	1.0	maj	(3, 7, 10)	g	g	6	None	False	['G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-']	0.0	0.0	0.0	0.0
