j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.125	0.0	['E-3', 'E-4']	['P1']	[True, True]	0.0	0.125	0.0	viio7	0.0	('F#', 'A', 'C', 'E-')	F#	A	C	E-	F#	0.0	dim7	(0, 3, 6, 9)	c	g	7	5	False	['E-', 'E-']	0.0	0.75	0.56	1.0
0.125	0.5	1.0	['F#2', 'F#3']	['P1']	[True, True]	1.0	4.0	1.0	viio7	0.0	('F#', 'A', 'C', 'E-')	F#	A	C	E-	F#	0.0	dim7	(0, 3, 6, 9)	c	g	7	5	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'B', 'F#', 'E-', 'A', 'C']	0.01	0.0	0.0	0.0
0.25	0.5	1.0	['F#2', 'F#3']	['P1']	[False, False]	1.0	4.0	1.0	viio7	1.0	('F#', 'A', 'C', 'E-')	F#	A	C	E-	F#	0.0	dim7	(0, 3, 6, 9)	c	g	7	5	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'B', 'F#', 'E-', 'A', 'C']	0.01	0.0	0.0	0.0
0.375	0.5	1.0	['F#2', 'F#3']	['P1']	[False, False]	1.0	4.0	1.0	viio7	2.0	('F#', 'A', 'C', 'E-')	F#	A	C	E-	F#	0.0	dim7	(0, 3, 6, 9)	c	g	7	5	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'B', 'F#', 'E-', 'A', 'C']	0.01	0.0	0.0	0.0
0.5	0.5	1.0	['F#2', 'F#3']	['P1']	[False, False]	1.0	4.0	1.0	viio7	2.0	('F#', 'A', 'C', 'E-')	F#	A	C	E-	F#	0.0	dim7	(0, 3, 6, 9)	c	g	7	5	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'B', 'F#', 'E-', 'A', 'C']	0.01	0.0	0.0	0.0
0.625	0.375	1.0	['F#2', 'F#3']	['P1']	[False, False]	1.0	4.0	1.0	viio7	3.0	('F#', 'A', 'C', 'E-')	F#	A	C	E-	F#	0.0	dim7	(0, 3, 6, 9)	c	g	7	5	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'B', 'F#', 'E-', 'A', 'C']	0.01	0.0	0.0	0.0
0.75	0.375	1.0	['F#2', 'F#3']	['P1']	[False, False]	1.0	4.0	1.0	viio7	3.0	('F#', 'A', 'C', 'E-')	F#	A	C	E-	F#	0.0	dim7	(0, 3, 6, 9)	c	g	7	5	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'B', 'F#', 'E-', 'A', 'C']	0.01	0.0	0.0	0.0
0.875	0.375	1.0	['F#2', 'F#3']	['P1']	[False, False]	1.0	4.0	1.0	viio7	3.0	('F#', 'A', 'C', 'E-')	F#	A	C	E-	F#	0.0	dim7	(0, 3, 6, 9)	c	g	7	5	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'B', 'F#', 'E-', 'A', 'C']	0.01	0.0	0.0	0.0
1.0	0.125	1.0	['F#1', 'F#2', 'E-4', 'A4', 'C5', 'E-5']	['P1', 'd7', 'm3', 'd5', 'd7']	[True, True, True, True, True, True]	1.0	4.0	1.0	viio7	3.0	('F#', 'A', 'C', 'E-')	F#	A	C	E-	F#	0.0	dim7	(0, 3, 6, 9)	c	g	7	5	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'B', 'F#', 'E-', 'A', 'C']	0.01	0.0	0.0	0.0
1.125	1.0	1.0	['F#2', 'F#3', 'E-4', 'A4', 'C5', 'E-5']	['P1', 'd7', 'm3', 'd5', 'd7']	[True, True, True, True, True, True]	1.0	4.0	1.0	viio7	4.0	('F#', 'A', 'C', 'E-')	F#	A	C	E-	F#	0.0	dim7	(0, 3, 6, 9)	c	g	7	5	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'F#', 'E-', 'A', 'C', 'E-', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'C', 'F#', 'E-', 'A', 'B', 'F#', 'E-', 'A', 'C']	0.01	0.0	0.0	0.0
