j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	1.0	['E3', 'B4']	['P5']	[True, True]	1.0	2.0	0.0	I	0.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B']	0.0	0.0	0.0	0.5
0.125	0.5	1.0	['E3', 'B4']	['P5']	[False, False]	1.0	2.0	0.0	I	1.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B']	0.0	0.0	0.0	0.5
0.25	0.5	1.0	['E3', 'B4']	['P5']	[False, False]	1.0	2.0	0.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B']	0.0	0.0	0.0	0.5
0.375	0.5	1.0	['E3', 'B4']	['P5']	[False, False]	1.0	2.0	0.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B']	0.0	0.0	0.0	0.5
0.5	0.5	1.0	['E3', 'B3', 'G#4', 'B4']	['P5', 'M3', 'P5']	[False, True, True, False]	1.0	2.0	0.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B']	0.0	0.0	0.0	0.5
0.625	0.5	1.0	['E3', 'B3', 'G#4', 'B4']	['P5', 'M3', 'P5']	[False, False, False, False]	1.0	2.0	0.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B']	0.0	0.0	0.0	0.5
0.75	0.5	1.0	['E3', 'B3', 'G#4', 'B4']	['P5', 'M3', 'P5']	[False, False, False, False]	1.0	2.0	0.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B']	0.0	0.0	0.0	0.5
0.875	0.5	1.0	['E3', 'B3', 'G#4', 'B4']	['P5', 'M3', 'P5']	[False, False, False, False]	1.0	2.0	0.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B']	0.0	0.0	0.0	0.5
1.0	0.5	1.0	['G#3', 'B4']	['m3']	[True, False]	1.0	2.0	0.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B']	0.0	0.0	0.0	0.5
1.125	0.5	1.0	['G#3', 'B4']	['m3']	[False, False]	1.0	2.0	0.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B']	0.0	0.0	0.0	0.5
1.25	0.5	1.0	['G#3', 'B4']	['m3']	[False, False]	1.0	2.0	0.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B', 'G#', 'B', 'B']	0.0	0.0	0.0	0.5
