j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	0.0	['F3', 'C4', 'F4', 'A4']	['P5', 'P1', 'M3']	[True, True, True, True]	0.0	0.5	0.0	V	0.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	B-	B-	5	None	False	['F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A']	0.0	0.0	0.0	0.0
0.125	0.5	0.0	['F3', 'C4', 'F4', 'A4']	['P5', 'P1', 'M3']	[False, False, False, False]	0.0	0.5	0.0	V	1.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	B-	B-	5	None	False	['F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A']	0.0	0.0	0.0	0.0
0.25	0.5	0.0	['F3', 'C4', 'F4', 'A4']	['P5', 'P1', 'M3']	[False, False, False, False]	0.0	0.5	0.0	V	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	B-	B-	5	None	False	['F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A']	0.0	0.0	0.0	0.0
0.375	0.5	0.0	['F3', 'C4', 'F4', 'A4']	['P5', 'P1', 'M3']	[False, False, False, False]	0.0	0.5	0.0	V	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	B-	B-	5	None	False	['F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A']	0.0	0.0	0.0	0.0
0.5	0.5	0.0	['E-3', 'C4', 'F4', 'A4']	['M6', 'M2', 'A4']	[True, False, False, False]	0.0	0.5	1.0	V7	0.0	('E-', 'F', 'A', 'C')	E-	F	A	C	F	3.0	7	(0, 3, 5, 9)	B-	B-	5	None	False	['E-', 'C', 'F', 'A', 'E-', 'C', 'F', 'A', 'E-', 'C', 'F', 'A', 'E-', 'C', 'F', 'A']	0.0	0.0	0.0	0.0
0.625	0.5	0.0	['E-3', 'C4', 'F4', 'A4']	['M6', 'M2', 'A4']	[False, False, False, False]	0.0	0.5	1.0	V7	1.0	('E-', 'F', 'A', 'C')	E-	F	A	C	F	3.0	7	(0, 3, 5, 9)	B-	B-	5	None	False	['E-', 'C', 'F', 'A', 'E-', 'C', 'F', 'A', 'E-', 'C', 'F', 'A', 'E-', 'C', 'F', 'A']	0.0	0.0	0.0	0.0
0.75	0.5	0.0	['E-3', 'C4', 'F4', 'A4']	['M6', 'M2', 'A4']	[False, False, False, False]	0.0	0.5	1.0	V7	2.0	('E-', 'F', 'A', 'C')	E-	F	A	C	F	3.0	7	(0, 3, 5, 9)	B-	B-	5	None	False	['E-', 'C', 'F', 'A', 'E-', 'C', 'F', 'A', 'E-', 'C', 'F', 'A', 'E-', 'C', 'F', 'A']	0.0	0.0	0.0	0.0
0.875	0.5	0.0	['E-3', 'C4', 'F4', 'A4']	['M6', 'M2', 'A4']	[False, False, False, False]	0.0	0.5	1.0	V7	2.0	('E-', 'F', 'A', 'C')	E-	F	A	C	F	3.0	7	(0, 3, 5, 9)	B-	B-	5	None	False	['E-', 'C', 'F', 'A', 'E-', 'C', 'F', 'A', 'E-', 'C', 'F', 'A', 'E-', 'C', 'F', 'A']	0.0	0.0	0.0	0.0
1.0	1.0	1.0	['D3', 'F3', 'F4', 'B-4']	['m3', 'm3', 'm6']	[True, True, True, True]	1.0	1.0	2.0	I	0.0	('D', 'F', 'B-')	D	F	B-	B-	B-	1.0	maj	(2, 5, 10)	B-	B-	1	None	False	['D', 'F', 'F', 'B-', 'D', 'F', 'F', 'B-', 'D', 'F', 'F', 'B-', 'D', 'F', 'F', 'B-', 'D', 'F', 'F', 'B-', 'D', 'F', 'F', 'B-', 'D', 'F', 'F', 'B-', 'D', 'F', 'F', 'B-']	0.0	0.0	0.0	0.0
1.125	1.0	1.0	['D3', 'F3', 'F4', 'B-4']	['m3', 'm3', 'm6']	[False, False, False, False]	1.0	1.0	2.0	I	1.0	('D', 'F', 'B-')	D	F	B-	B-	B-	1.0	maj	(2, 5, 10)	B-	B-	1	None	False	['D', 'F', 'F', 'B-', 'D', 'F', 'F', 'B-', 'D', 'F', 'F', 'B-', 'D', 'F', 'F', 'B-', 'D', 'F', 'F', 'B-', 'D', 'F', 'F', 'B-', 'D', 'F', 'F', 'B-', 'D', 'F', 'F', 'B-']	0.0	0.0	0.0	0.0
