j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
-2.0	1.0	1.0	['E-2', 'E-3']	['P1']	[True, True]	1.0	2.5	0.0	I	6.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'F', 'D', 'G', 'G', 'G', 'G', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-']	0.21	0.33	0.3	
-1.875	1.0	1.0	['E-2', 'E-3']	['P1']	[False, False]	1.0	2.5	0.0	I	6.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'F', 'D', 'G', 'G', 'G', 'G', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-']	0.21	0.33	0.3	
-1.75	1.0	1.0	['E-2', 'E-3']	['P1']	[False, False]	1.0	2.5	0.0	I	6.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'F', 'D', 'G', 'G', 'G', 'G', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-']	0.21	0.33	0.3	
-1.625	1.0	1.0	['E-2', 'E-3']	['P1']	[False, False]	1.0	2.5	0.0	I	6.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'F', 'D', 'G', 'G', 'G', 'G', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-']	0.21	0.33	0.3	
-1.5	0.5	2.0	['E-2', 'E-3']	['P1']	[False, False]	1.0	2.5	0.0	I	6.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	True	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'F', 'D', 'G', 'G', 'G', 'G', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-']	0.21	0.33	0.3	
-1.375	0.5	2.0	['E-2', 'E-3']	['P1']	[False, False]	1.0	2.5	0.0	I	6.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	True	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'F', 'D', 'G', 'G', 'G', 'G', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-']	0.21	0.33	0.3	
-1.25	0.5	2.0	['E-2', 'E-3']	['P1']	[False, False]	1.0	2.5	0.0	I	6.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	True	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'F', 'D', 'G', 'G', 'G', 'G', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-']	0.21	0.33	0.3	
-1.125	0.5	2.0	['E-2', 'E-3']	['P1']	[False, False]	1.0	2.5	0.0	I	6.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	True	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'F', 'D', 'G', 'G', 'G', 'G', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-']	0.21	0.33	0.3	
-1.0	0.25	1.0	['E-3']	[]	[False]	1.0	2.5	0.0	I	6.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'F', 'D', 'G', 'G', 'G', 'G', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-']	0.21	0.33	0.3	
-0.875	0.25	1.0	['E-3']	[]	[False]	1.0	2.5	0.0	I	6.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'F', 'D', 'G', 'G', 'G', 'G', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'E-', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-', 'B', 'G', 'E-']	0.21	0.33	0.3	
