j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	1.0	['G3', 'G4', 'B4', 'D5']	['P1', 'M3', 'P5']	[True, True, True, True]	1.0	1.0	0.0	I	0.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
0.125	1.0	1.0	['G3', 'G4', 'B4', 'D5']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	0.0	I	1.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
0.25	1.0	1.0	['G3', 'G4', 'B4', 'D5']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	0.0	I	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
0.375	1.0	1.0	['G3', 'G4', 'B4', 'D5']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	0.0	I	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
0.5	1.0	1.0	['G3', 'G4', 'B4', 'D5']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
0.625	1.0	1.0	['G3', 'G4', 'B4', 'D5']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
0.75	1.0	1.0	['G3', 'G4', 'B4', 'D5']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
0.875	1.0	1.0	['G3', 'G4', 'B4', 'D5']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
1.0	1.0	1.0	['F#3', 'D4', 'A4', 'C5']	['m6', 'm3', 'd5']	[True, True, True, True]	1.0	1.0	1.0	V7	0.0	('F#', 'A', 'C', 'D')	F#	A	C	D	D	1.0	7	(0, 2, 6, 9)	G	G	5	None	False	['F#', 'D', 'A', 'C', 'F#', 'D', 'A', 'C', 'F#', 'D', 'A', 'C', 'F#', 'D', 'A', 'C', 'F#', 'D', 'A', 'C', 'F#', 'D', 'A', 'C', 'F#', 'D', 'A', 'C', 'F#', 'D', 'A', 'C']	0.0	0.0	0.0	0.0
1.125	1.0	1.0	['F#3', 'D4', 'A4', 'C5']	['m6', 'm3', 'd5']	[False, False, False, False]	1.0	1.0	1.0	V7	1.0	('F#', 'A', 'C', 'D')	F#	A	C	D	D	1.0	7	(0, 2, 6, 9)	G	G	5	None	False	['F#', 'D', 'A', 'C', 'F#', 'D', 'A', 'C', 'F#', 'D', 'A', 'C', 'F#', 'D', 'A', 'C', 'F#', 'D', 'A', 'C', 'F#', 'D', 'A', 'C', 'F#', 'D', 'A', 'C', 'F#', 'D', 'A', 'C']	0.0	0.0	0.0	0.0
