j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	4.0	1.0	['A-2', 'E-3', 'G-3', 'C4']	['P5', 'm7', 'M3']	[True, True, True, True]	1.0	4.0	0.0	V7	0.0	('A-', 'C', 'E-', 'G-')	A-	C	E-	G-	A-	0.0	7	(0, 3, 6, 8)	D-	D-	5	None	False	['A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
0.125	4.0	1.0	['A-2', 'E-3', 'G-3', 'C4']	['P5', 'm7', 'M3']	[False, False, False, False]	1.0	4.0	0.0	V7	1.0	('A-', 'C', 'E-', 'G-')	A-	C	E-	G-	A-	0.0	7	(0, 3, 6, 8)	D-	D-	5	None	False	['A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
0.25	4.0	1.0	['A-2', 'E-3', 'G-3', 'C4']	['P5', 'm7', 'M3']	[False, False, False, False]	1.0	4.0	0.0	V7	2.0	('A-', 'C', 'E-', 'G-')	A-	C	E-	G-	A-	0.0	7	(0, 3, 6, 8)	D-	D-	5	None	False	['A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
0.375	4.0	1.0	['A-2', 'E-3', 'G-3', 'C4']	['P5', 'm7', 'M3']	[False, False, False, False]	1.0	4.0	0.0	V7	2.0	('A-', 'C', 'E-', 'G-')	A-	C	E-	G-	A-	0.0	7	(0, 3, 6, 8)	D-	D-	5	None	False	['A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
0.5	4.0	1.0	['A-2', 'E-3', 'G-3', 'C4']	['P5', 'm7', 'M3']	[False, False, False, False]	1.0	4.0	0.0	V7	3.0	('A-', 'C', 'E-', 'G-')	A-	C	E-	G-	A-	0.0	7	(0, 3, 6, 8)	D-	D-	5	None	False	['A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
0.625	4.0	1.0	['A-2', 'E-3', 'G-3', 'C4']	['P5', 'm7', 'M3']	[False, False, False, False]	1.0	4.0	0.0	V7	3.0	('A-', 'C', 'E-', 'G-')	A-	C	E-	G-	A-	0.0	7	(0, 3, 6, 8)	D-	D-	5	None	False	['A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
0.75	4.0	1.0	['A-2', 'E-3', 'G-3', 'C4']	['P5', 'm7', 'M3']	[False, False, False, False]	1.0	4.0	0.0	V7	3.0	('A-', 'C', 'E-', 'G-')	A-	C	E-	G-	A-	0.0	7	(0, 3, 6, 8)	D-	D-	5	None	False	['A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
0.875	4.0	1.0	['A-2', 'E-3', 'G-3', 'C4']	['P5', 'm7', 'M3']	[False, False, False, False]	1.0	4.0	0.0	V7	3.0	('A-', 'C', 'E-', 'G-')	A-	C	E-	G-	A-	0.0	7	(0, 3, 6, 8)	D-	D-	5	None	False	['A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
1.0	4.0	1.0	['A-2', 'E-3', 'G-3', 'C4']	['P5', 'm7', 'M3']	[False, False, False, False]	1.0	4.0	0.0	V7	4.0	('A-', 'C', 'E-', 'G-')	A-	C	E-	G-	A-	0.0	7	(0, 3, 6, 8)	D-	D-	5	None	False	['A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
1.125	4.0	1.0	['A-2', 'E-3', 'G-3', 'C4']	['P5', 'm7', 'M3']	[False, False, False, False]	1.0	4.0	0.0	V7	4.0	('A-', 'C', 'E-', 'G-')	A-	C	E-	G-	A-	0.0	7	(0, 3, 6, 8)	D-	D-	5	None	False	['A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C', 'A-', 'E-', 'G-', 'C']	0.0	0.0	0.0	0.0
