j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	1.0	['C3', 'G3', 'C4', 'E4']	['P5', 'P1', 'M3']	[True, True, True, True]	1.0	1.0	0.0	I	0.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E']	0.0	0.0	0.0	0.0
0.125	1.0	1.0	['C3', 'G3', 'C4', 'E4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	1.0	0.0	I	1.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E']	0.0	0.0	0.0	0.0
0.25	1.0	1.0	['C3', 'G3', 'C4', 'E4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	1.0	0.0	I	2.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E']	0.0	0.0	0.0	0.0
0.375	1.0	1.0	['C3', 'G3', 'C4', 'E4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	1.0	0.0	I	2.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E']	0.0	0.0	0.0	0.0
0.5	1.0	1.0	['C3', 'G3', 'C4', 'E4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E']	0.0	0.0	0.0	0.0
0.625	1.0	1.0	['C3', 'G3', 'C4', 'E4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E']	0.0	0.0	0.0	0.0
0.75	1.0	1.0	['C3', 'G3', 'C4', 'E4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E']	0.0	0.0	0.0	0.0
0.875	1.0	1.0	['C3', 'G3', 'C4', 'E4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E']	0.0	0.0	0.0	0.0
1.0	1.0	1.0	['A2', 'D3', 'C4', 'F#4']	['P4', 'm3', 'M6']	[True, True, False, True]	1.0	1.0	1.0	V	0.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	g	g	5	None	False	['A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#']	0.25	0.0	0.06	1.0
1.125	1.0	1.0	['A2', 'D3', 'C4', 'F#4']	['P4', 'm3', 'M6']	[False, False, False, False]	1.0	1.0	1.0	V	1.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	g	g	5	None	False	['A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#']	0.25	0.0	0.06	1.0
1.25	1.0	1.0	['A2', 'D3', 'C4', 'F#4']	['P4', 'm3', 'M6']	[False, False, False, False]	1.0	1.0	1.0	V	2.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	g	g	5	None	False	['A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#']	0.25	0.0	0.06	1.0
1.375	1.0	1.0	['A2', 'D3', 'C4', 'F#4']	['P4', 'm3', 'M6']	[False, False, False, False]	1.0	1.0	1.0	V	2.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	g	g	5	None	False	['A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#']	0.25	0.0	0.06	1.0
1.5	1.0	1.0	['A2', 'D3', 'C4', 'F#4']	['P4', 'm3', 'M6']	[False, False, False, False]	1.0	1.0	1.0	V	3.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	g	g	5	None	False	['A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#']	0.25	0.0	0.06	1.0
1.625	1.0	1.0	['A2', 'D3', 'C4', 'F#4']	['P4', 'm3', 'M6']	[False, False, False, False]	1.0	1.0	1.0	V	3.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	g	g	5	None	False	['A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#']	0.25	0.0	0.06	1.0
1.75	1.0	1.0	['A2', 'D3', 'C4', 'F#4']	['P4', 'm3', 'M6']	[False, False, False, False]	1.0	1.0	1.0	V	3.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	g	g	5	None	False	['A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#']	0.25	0.0	0.06	1.0
1.875	1.0	1.0	['A2', 'D3', 'C4', 'F#4']	['P4', 'm3', 'M6']	[False, False, False, False]	1.0	1.0	1.0	V	3.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	g	g	5	None	False	['A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#', 'A', 'D', 'C', 'F#']	0.25	0.0	0.06	1.0
2.0	2.0	1.0	['G2', 'D3', 'B-3', 'G4']	['P5', 'm3', 'P1']	[True, False, True, True]	1.0	2.0	2.0	i	0.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G']	0.0	0.0	0.0	0.0
2.125	2.0	1.0	['G2', 'D3', 'B-3', 'G4']	['P5', 'm3', 'P1']	[False, False, False, False]	1.0	2.0	2.0	i	1.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G', 'G', 'D', 'B-', 'G']	0.0	0.0	0.0	0.0
