j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	1.0	['C-3', 'E-4', 'G-4', 'C-5']	['M3', 'P5', 'P1']	[True, True, True, True]	1.0	1.0	0.0	I	0.0	('C-', 'E-', 'G-')	C-	E-	G-	C-	C-	0.0	maj	(3, 6, 11)	C-	C-	1	None	False	['C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-']	0.0	0.0	0.0	0.0
0.125	1.0	1.0	['C-3', 'E-4', 'G-4', 'C-5']	['M3', 'P5', 'P1']	[False, False, False, False]	1.0	1.0	0.0	I	1.0	('C-', 'E-', 'G-')	C-	E-	G-	C-	C-	0.0	maj	(3, 6, 11)	C-	C-	1	None	False	['C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-']	0.0	0.0	0.0	0.0
0.25	1.0	1.0	['C-3', 'E-4', 'G-4', 'C-5']	['M3', 'P5', 'P1']	[False, False, False, False]	1.0	1.0	0.0	I	2.0	('C-', 'E-', 'G-')	C-	E-	G-	C-	C-	0.0	maj	(3, 6, 11)	C-	C-	1	None	False	['C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-']	0.0	0.0	0.0	0.0
0.375	1.0	1.0	['C-3', 'E-4', 'G-4', 'C-5']	['M3', 'P5', 'P1']	[False, False, False, False]	1.0	1.0	0.0	I	2.0	('C-', 'E-', 'G-')	C-	E-	G-	C-	C-	0.0	maj	(3, 6, 11)	C-	C-	1	None	False	['C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-']	0.0	0.0	0.0	0.0
0.5	1.0	1.0	['C-3', 'E-4', 'G-4', 'C-5']	['M3', 'P5', 'P1']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('C-', 'E-', 'G-')	C-	E-	G-	C-	C-	0.0	maj	(3, 6, 11)	C-	C-	1	None	False	['C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-']	0.0	0.0	0.0	0.0
0.625	1.0	1.0	['C-3', 'E-4', 'G-4', 'C-5']	['M3', 'P5', 'P1']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('C-', 'E-', 'G-')	C-	E-	G-	C-	C-	0.0	maj	(3, 6, 11)	C-	C-	1	None	False	['C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-']	0.0	0.0	0.0	0.0
0.75	1.0	1.0	['C-3', 'E-4', 'G-4', 'C-5']	['M3', 'P5', 'P1']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('C-', 'E-', 'G-')	C-	E-	G-	C-	C-	0.0	maj	(3, 6, 11)	C-	C-	1	None	False	['C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-']	0.0	0.0	0.0	0.0
0.875	1.0	1.0	['C-3', 'E-4', 'G-4', 'C-5']	['M3', 'P5', 'P1']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('C-', 'E-', 'G-')	C-	E-	G-	C-	C-	0.0	maj	(3, 6, 11)	C-	C-	1	None	False	['C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-', 'C-', 'E-', 'G-', 'C-']	0.0	0.0	0.0	0.0
1.0	0.5	1.0	['G-2', 'D-4', 'G-4', 'B-4']	['P5', 'P1', 'M3']	[True, True, False, True]	1.0	0.5	1.0	V	0.0	('G-', 'B-', 'D-')	G-	B-	D-	G-	G-	0.0	maj	(1, 6, 10)	C-	C-	5	None	False	['G-', 'D-', 'G-', 'B-', 'G-', 'D-', 'G-', 'B-', 'G-', 'D-', 'G-', 'B-', 'G-', 'D-', 'G-', 'B-']	0.0	0.0	0.0	0.0
1.125	0.5	1.0	['G-2', 'D-4', 'G-4', 'B-4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	0.5	1.0	V	1.0	('G-', 'B-', 'D-')	G-	B-	D-	G-	G-	0.0	maj	(1, 6, 10)	C-	C-	5	None	False	['G-', 'D-', 'G-', 'B-', 'G-', 'D-', 'G-', 'B-', 'G-', 'D-', 'G-', 'B-', 'G-', 'D-', 'G-', 'B-']	0.0	0.0	0.0	0.0
1.25	0.5	1.0	['G-2', 'D-4', 'G-4', 'B-4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	0.5	1.0	V	2.0	('G-', 'B-', 'D-')	G-	B-	D-	G-	G-	0.0	maj	(1, 6, 10)	C-	C-	5	None	False	['G-', 'D-', 'G-', 'B-', 'G-', 'D-', 'G-', 'B-', 'G-', 'D-', 'G-', 'B-', 'G-', 'D-', 'G-', 'B-']	0.0	0.0	0.0	0.0
1.375	0.5	1.0	['G-2', 'D-4', 'G-4', 'B-4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	0.5	1.0	V	2.0	('G-', 'B-', 'D-')	G-	B-	D-	G-	G-	0.0	maj	(1, 6, 10)	C-	C-	5	None	False	['G-', 'D-', 'G-', 'B-', 'G-', 'D-', 'G-', 'B-', 'G-', 'D-', 'G-', 'B-', 'G-', 'D-', 'G-', 'B-']	0.0	0.0	0.0	0.0
1.5	0.5	1.0	['B-2', 'D-4', 'G-4', 'B-4']	['m3', 'm6', 'P1']	[True, False, False, False]	1.0	0.5	2.0	N	0.0	('B-', 'D-', 'G-')	B-	D-	G-	G-	G-	1.0	maj	(1, 6, 10)	F	F	-2	None	False	['B-', 'D-', 'G-', 'B-', 'B-', 'D-', 'G-', 'B-', 'B-', 'D-', 'G-', 'B-', 'B-', 'D-', 'G-', 'B-']	0.0	0.0	0.0	0.0
1.625	0.5	1.0	['B-2', 'D-4', 'G-4', 'B-4']	['m3', 'm6', 'P1']	[False, False, False, False]	1.0	0.5	2.0	N	1.0	('B-', 'D-', 'G-')	B-	D-	G-	G-	G-	1.0	maj	(1, 6, 10)	F	F	-2	None	False	['B-', 'D-', 'G-', 'B-', 'B-', 'D-', 'G-', 'B-', 'B-', 'D-', 'G-', 'B-', 'B-', 'D-', 'G-', 'B-']	0.0	0.0	0.0	0.0
1.75	0.5	1.0	['B-2', 'D-4', 'G-4', 'B-4']	['m3', 'm6', 'P1']	[False, False, False, False]	1.0	0.5	2.0	N	2.0	('B-', 'D-', 'G-')	B-	D-	G-	G-	G-	1.0	maj	(1, 6, 10)	F	F	-2	None	False	['B-', 'D-', 'G-', 'B-', 'B-', 'D-', 'G-', 'B-', 'B-', 'D-', 'G-', 'B-', 'B-', 'D-', 'G-', 'B-']	0.0	0.0	0.0	0.0
1.875	0.5	1.0	['B-2', 'D-4', 'G-4', 'B-4']	['m3', 'm6', 'P1']	[False, False, False, False]	1.0	0.5	2.0	N	2.0	('B-', 'D-', 'G-')	B-	D-	G-	G-	G-	1.0	maj	(1, 6, 10)	F	F	-2	None	False	['B-', 'D-', 'G-', 'B-', 'B-', 'D-', 'G-', 'B-', 'B-', 'D-', 'G-', 'B-', 'B-', 'D-', 'G-', 'B-']	0.0	0.0	0.0	0.0
2.0	0.5	1.0	['F3', 'C4', 'F4', 'A4']	['P5', 'P1', 'M3']	[True, True, True, True]	1.0	0.5	3.0	I	0.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A']	0.0	0.0	0.0	0.0
