j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	1.0	['C3', 'C4', 'E4', 'G4']	['P1', 'M3', 'P5']	[True, True, True, True]	1.0	0.5	0.0	I	0.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'C', 'E', 'G', 'C', 'C', 'E', 'G', 'C', 'C', 'E', 'G', 'C', 'C', 'E', 'G']	0.0	0.0	0.0	0.0
0.125	0.5	1.0	['C3', 'C4', 'E4', 'G4']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	0.5	0.0	I	1.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'C', 'E', 'G', 'C', 'C', 'E', 'G', 'C', 'C', 'E', 'G', 'C', 'C', 'E', 'G']	0.0	0.0	0.0	0.0
0.25	0.5	1.0	['C3', 'C4', 'E4', 'G4']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	0.5	0.0	I	2.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'C', 'E', 'G', 'C', 'C', 'E', 'G', 'C', 'C', 'E', 'G', 'C', 'C', 'E', 'G']	0.0	0.0	0.0	0.0
0.375	0.5	1.0	['C3', 'C4', 'E4', 'G4']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	0.5	0.0	I	2.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['C', 'C', 'E', 'G', 'C', 'C', 'E', 'G', 'C', 'C', 'E', 'G', 'C', 'C', 'E', 'G']	0.0	0.0	0.0	0.0
0.5	0.5	1.0	['E3', 'C4', 'G4', 'C5']	['m6', 'm3', 'm6']	[True, False, True, True]	1.0	1.0	1.0	I	0.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	C	C	1	None	False	['E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B']	0.12	0.0	0.02	0.0
0.625	0.5	1.0	['E3', 'C4', 'G4', 'C5']	['m6', 'm3', 'm6']	[False, False, False, False]	1.0	1.0	1.0	I	1.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	C	C	1	None	False	['E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B']	0.12	0.0	0.02	0.0
0.75	0.5	1.0	['E3', 'C4', 'G4', 'C5']	['m6', 'm3', 'm6']	[False, False, False, False]	1.0	1.0	1.0	I	2.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	C	C	1	None	False	['E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B']	0.12	0.0	0.02	0.0
0.875	0.5	1.0	['E3', 'C4', 'G4', 'C5']	['m6', 'm3', 'm6']	[False, False, False, False]	1.0	1.0	1.0	I	2.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	C	C	1	None	False	['E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B']	0.12	0.0	0.02	0.0
1.0	0.5	1.0	['E3', 'C4', 'G4', 'B4']	['m6', 'm3', 'P5']	[False, False, False, True]	1.0	1.0	1.0	I	3.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	C	C	1	None	False	['E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B']	0.12	0.0	0.02	0.0
1.125	0.5	1.0	['E3', 'C4', 'G4', 'B4']	['m6', 'm3', 'P5']	[False, False, False, False]	1.0	1.0	1.0	I	3.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	C	C	1	None	False	['E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B']	0.12	0.0	0.02	0.0
1.25	0.5	1.0	['E3', 'C4', 'G4', 'B4']	['m6', 'm3', 'P5']	[False, False, False, False]	1.0	1.0	1.0	I	3.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	C	C	1	None	False	['E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B']	0.12	0.0	0.02	0.0
1.375	0.5	1.0	['E3', 'C4', 'G4', 'B4']	['m6', 'm3', 'P5']	[False, False, False, False]	1.0	1.0	1.0	I	3.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	C	C	1	None	False	['E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B', 'E', 'C', 'G', 'B']	0.12	0.0	0.02	0.0
1.5	0.5	1.0	['F3', 'C4', 'F4', 'A4']	['P5', 'P1', 'M3']	[True, True, True, True]	1.0	0.5	2.0	I	0.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	d	F	3	None	False	['F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A']	0.0	0.0	0.0	0.0
1.625	0.5	1.0	['F3', 'C4', 'F4', 'A4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	0.5	2.0	I	1.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	d	F	3	None	False	['F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A']	0.0	0.0	0.0	0.0
1.75	0.5	1.0	['F3', 'C4', 'F4', 'A4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	0.5	2.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	d	F	3	None	False	['F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A']	0.0	0.0	0.0	0.0
1.875	0.5	1.0	['F3', 'C4', 'F4', 'A4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	0.5	2.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	d	F	3	None	False	['F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A', 'F', 'C', 'F', 'A']	0.0	0.0	0.0	0.0
2.0	0.5	1.0	['E3', 'C#4', 'G4', 'A4']	['M6', 'm3', 'P4']	[True, True, True, False]	1.0	0.5	3.0	V7	0.0	('E', 'G', 'A', 'C#')	E	G	A	C#	A	2.0	7	(1, 4, 7, 9)	d	d	5	None	False	['E', 'C#', 'G', 'A', 'E', 'C#', 'G', 'A', 'E', 'C#', 'G', 'A', 'E', 'C#', 'G', 'A']	0.0	0.0	0.0	0.0
2.125	0.5	1.0	['E3', 'C#4', 'G4', 'A4']	['M6', 'm3', 'P4']	[False, False, False, False]	1.0	0.5	3.0	V7	1.0	('E', 'G', 'A', 'C#')	E	G	A	C#	A	2.0	7	(1, 4, 7, 9)	d	d	5	None	False	['E', 'C#', 'G', 'A', 'E', 'C#', 'G', 'A', 'E', 'C#', 'G', 'A', 'E', 'C#', 'G', 'A']	0.0	0.0	0.0	0.0
2.25	0.5	1.0	['E3', 'C#4', 'G4', 'A4']	['M6', 'm3', 'P4']	[False, False, False, False]	1.0	0.5	3.0	V7	2.0	('E', 'G', 'A', 'C#')	E	G	A	C#	A	2.0	7	(1, 4, 7, 9)	d	d	5	None	False	['E', 'C#', 'G', 'A', 'E', 'C#', 'G', 'A', 'E', 'C#', 'G', 'A', 'E', 'C#', 'G', 'A']	0.0	0.0	0.0	0.0
2.375	0.5	1.0	['E3', 'C#4', 'G4', 'A4']	['M6', 'm3', 'P4']	[False, False, False, False]	1.0	0.5	3.0	V7	2.0	('E', 'G', 'A', 'C#')	E	G	A	C#	A	2.0	7	(1, 4, 7, 9)	d	d	5	None	False	['E', 'C#', 'G', 'A', 'E', 'C#', 'G', 'A', 'E', 'C#', 'G', 'A', 'E', 'C#', 'G', 'A']	0.0	0.0	0.0	0.0
2.5	0.5	1.0	['D3', 'D4', 'F4', 'A4']	['P1', 'm3', 'P5']	[True, True, True, False]	1.0	0.5	4.0	i	0.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	d	d	1	None	False	['D', 'D', 'F', 'A', 'D', 'D', 'F', 'A', 'D', 'D', 'F', 'A', 'D', 'D', 'F', 'A']	0.0	0.0	0.0	0.0
2.625	0.5	1.0	['D3', 'D4', 'F4', 'A4']	['P1', 'm3', 'P5']	[False, False, False, False]	1.0	0.5	4.0	i	1.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	d	d	1	None	False	['D', 'D', 'F', 'A', 'D', 'D', 'F', 'A', 'D', 'D', 'F', 'A', 'D', 'D', 'F', 'A']	0.0	0.0	0.0	0.0
2.75	0.5	1.0	['D3', 'D4', 'F4', 'A4']	['P1', 'm3', 'P5']	[False, False, False, False]	1.0	0.5	4.0	i	2.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	d	d	1	None	False	['D', 'D', 'F', 'A', 'D', 'D', 'F', 'A', 'D', 'D', 'F', 'A', 'D', 'D', 'F', 'A']	0.0	0.0	0.0	0.0
2.875	0.5	1.0	['D3', 'D4', 'F4', 'A4']	['P1', 'm3', 'P5']	[False, False, False, False]	1.0	0.5	4.0	i	2.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	d	d	1	None	False	['D', 'D', 'F', 'A', 'D', 'D', 'F', 'A', 'D', 'D', 'F', 'A', 'D', 'D', 'F', 'A']	0.0	0.0	0.0	0.0
3.0	0.5	2.0	['G3', 'D4', 'G4', 'B4']	['P5', 'P1', 'M3']	[True, True, True, True]	2.0	0.5	5.0	i7	0.0	('E', 'G', 'B', 'D')	E	G	B	D	E	0.0	min7	(2, 4, 7, 11)	e	e	1	None	False	['G', 'D', 'G', 'B', 'G', 'D', 'G', 'B', 'G', 'D', 'G', 'B', 'G', 'D', 'G', 'B']	0.0	0.25	0.06	1.0
3.125	0.5	2.0	['G3', 'D4', 'G4', 'B4']	['P5', 'P1', 'M3']	[False, False, False, False]	2.0	0.5	5.0	i7	1.0	('E', 'G', 'B', 'D')	E	G	B	D	E	0.0	min7	(2, 4, 7, 11)	e	e	1	None	False	['G', 'D', 'G', 'B', 'G', 'D', 'G', 'B', 'G', 'D', 'G', 'B', 'G', 'D', 'G', 'B']	0.0	0.25	0.06	1.0
3.25	0.5	2.0	['G3', 'D4', 'G4', 'B4']	['P5', 'P1', 'M3']	[False, False, False, False]	2.0	0.5	5.0	i7	2.0	('E', 'G', 'B', 'D')	E	G	B	D	E	0.0	min7	(2, 4, 7, 11)	e	e	1	None	False	['G', 'D', 'G', 'B', 'G', 'D', 'G', 'B', 'G', 'D', 'G', 'B', 'G', 'D', 'G', 'B']	0.0	0.25	0.06	1.0
3.375	0.5	2.0	['G3', 'D4', 'G4', 'B4']	['P5', 'P1', 'M3']	[False, False, False, False]	2.0	0.5	5.0	i7	2.0	('E', 'G', 'B', 'D')	E	G	B	D	E	0.0	min7	(2, 4, 7, 11)	e	e	1	None	False	['G', 'D', 'G', 'B', 'G', 'D', 'G', 'B', 'G', 'D', 'G', 'B', 'G', 'D', 'G', 'B']	0.0	0.25	0.06	1.0
3.5	0.5	2.0	['F#3', 'D#4', 'A4', 'B4']	['M6', 'm3', 'P4']	[True, True, True, False]	2.0	0.5	6.0	V7	0.0	('F#', 'A', 'B', 'D#')	F#	A	B	D#	B	2.0	7	(3, 6, 9, 11)	e	e	5	None	False	['F#', 'D#', 'A', 'B', 'F#', 'D#', 'A', 'B', 'F#', 'D#', 'A', 'B', 'F#', 'D#', 'A', 'B']	0.0	0.0	0.0	0.0
3.625	0.5	2.0	['F#3', 'D#4', 'A4', 'B4']	['M6', 'm3', 'P4']	[False, False, False, False]	2.0	0.5	6.0	V7	1.0	('F#', 'A', 'B', 'D#')	F#	A	B	D#	B	2.0	7	(3, 6, 9, 11)	e	e	5	None	False	['F#', 'D#', 'A', 'B', 'F#', 'D#', 'A', 'B', 'F#', 'D#', 'A', 'B', 'F#', 'D#', 'A', 'B']	0.0	0.0	0.0	0.0
3.75	0.5	2.0	['F#3', 'D#4', 'A4', 'B4']	['M6', 'm3', 'P4']	[False, False, False, False]	2.0	0.5	6.0	V7	2.0	('F#', 'A', 'B', 'D#')	F#	A	B	D#	B	2.0	7	(3, 6, 9, 11)	e	e	5	None	False	['F#', 'D#', 'A', 'B', 'F#', 'D#', 'A', 'B', 'F#', 'D#', 'A', 'B', 'F#', 'D#', 'A', 'B']	0.0	0.0	0.0	0.0
3.875	0.5	2.0	['F#3', 'D#4', 'A4', 'B4']	['M6', 'm3', 'P4']	[False, False, False, False]	2.0	0.5	6.0	V7	2.0	('F#', 'A', 'B', 'D#')	F#	A	B	D#	B	2.0	7	(3, 6, 9, 11)	e	e	5	None	False	['F#', 'D#', 'A', 'B', 'F#', 'D#', 'A', 'B', 'F#', 'D#', 'A', 'B', 'F#', 'D#', 'A', 'B']	0.0	0.0	0.0	0.0
