j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.25	0.0	['C6']	[]	[True]	0.0	0.5	0.0	I	0.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['C', 'C', 'A', 'A']	0.0	0.33	0.11	1.0
0.125	0.25	0.0	['C6']	[]	[False]	0.0	0.5	0.0	I	1.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['C', 'C', 'A', 'A']	0.0	0.33	0.11	1.0
0.25	0.25	0.0	['A5']	[]	[True]	0.0	0.5	0.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['C', 'C', 'A', 'A']	0.0	0.33	0.11	1.0
0.375	0.25	0.0	['A5']	[]	[False]	0.0	0.5	0.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['C', 'C', 'A', 'A']	0.0	0.33	0.11	1.0
0.5	0.25	1.0	['F5']	[]	[True]	1.0	1.5	1.0	I	0.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']	0.0	0.67	0.44	0.0
0.625	0.25	1.0	['F5']	[]	[False]	1.0	1.5	1.0	I	1.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']	0.0	0.67	0.44	0.0
0.75	0.25	1.0	['F5']	[]	[False]	1.0	1.5	1.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']	0.0	0.67	0.44	0.0
0.875	0.25	1.0	['F5']	[]	[False]	1.0	1.5	1.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']	0.0	0.67	0.44	0.0
1.0	0.25	1.0	['F5']	[]	[True]	1.0	1.5	1.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']	0.0	0.67	0.44	0.0
1.125	0.25	1.0	['F5']	[]	[False]	1.0	1.5	1.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']	0.0	0.67	0.44	0.0
