j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	1.0	['C3', 'E-3', 'G3', 'C5']	['m3', 'P5', 'P1']	[True, True, True, True]	1.0	4.0	0.0	i	0.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C']	0.09	0.0	0.01	0.0
0.125	1.0	1.0	['C3', 'E-3', 'G3', 'C5']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	4.0	0.0	i	1.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C']	0.09	0.0	0.01	0.0
0.25	1.0	1.0	['C3', 'E-3', 'G3', 'C5']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	4.0	0.0	i	2.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C']	0.09	0.0	0.01	0.0
0.375	1.0	1.0	['C3', 'E-3', 'G3', 'C5']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	4.0	0.0	i	2.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C']	0.09	0.0	0.01	0.0
0.5	1.0	1.0	['C3', 'E-3', 'G3', 'C5']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	4.0	0.0	i	3.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C']	0.09	0.0	0.01	0.0
0.625	1.0	1.0	['C3', 'E-3', 'G3', 'C5']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	4.0	0.0	i	3.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C']	0.09	0.0	0.01	0.0
0.75	1.0	1.0	['C3', 'E-3', 'G3', 'C5']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	4.0	0.0	i	3.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C']	0.09	0.0	0.01	0.0
0.875	1.0	1.0	['C3', 'E-3', 'G3', 'C5']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	4.0	0.0	i	3.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C']	0.09	0.0	0.01	0.0
1.0	0.75	1.0	['C3', 'E-3', 'G3', 'C5']	['m3', 'P5', 'P1']	[True, True, True, False]	1.0	4.0	0.0	i	4.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C']	0.09	0.0	0.01	0.0
1.125	0.75	1.0	['C3', 'E-3', 'G3', 'C5']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	4.0	0.0	i	4.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'E-', 'F', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'D', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C', 'C', 'E-', 'G', 'C']	0.09	0.0	0.01	0.0
