j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	0.0	['E-3', 'G4', 'B-4']	['M3', 'P5']	[True, True, True]	0.0	1.5	0.0	I	0.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G']	0.0	0.0	0.0	0.67
0.125	0.5	0.0	['E-3', 'G4', 'B-4']	['M3', 'P5']	[False, False, False]	0.0	1.5	0.0	I	1.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G']	0.0	0.0	0.0	0.67
0.25	0.5	0.0	['E-3', 'G4', 'B-4']	['M3', 'P5']	[False, False, False]	0.0	1.5	0.0	I	2.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G']	0.0	0.0	0.0	0.67
0.375	0.5	0.0	['E-3', 'G4', 'B-4']	['M3', 'P5']	[False, False, False]	0.0	1.5	0.0	I	2.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G']	0.0	0.0	0.0	0.67
0.5	0.5	0.0	['G3', 'G4', 'B-4']	['P1', 'm3']	[True, False, False]	0.0	1.5	0.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G']	0.0	0.0	0.0	0.67
0.625	0.5	0.0	['G3', 'G4', 'B-4']	['P1', 'm3']	[False, False, False]	0.0	1.5	0.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G']	0.0	0.0	0.0	0.67
0.75	0.5	0.0	['G3', 'G4', 'B-4']	['P1', 'm3']	[False, False, False]	0.0	1.5	0.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G']	0.0	0.0	0.0	0.67
0.875	0.5	0.0	['G3', 'G4', 'B-4']	['P1', 'm3']	[False, False, False]	0.0	1.5	0.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G']	0.0	0.0	0.0	0.67
1.0	0.5	0.0	['B-3', 'E-4', 'G4']	['P4', 'M6']	[True, True, True]	0.0	1.5	0.0	I	4.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G']	0.0	0.0	0.0	0.67
1.125	0.5	0.0	['B-3', 'E-4', 'G4']	['P4', 'M6']	[False, False, False]	0.0	1.5	0.0	I	4.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G']	0.0	0.0	0.0	0.67
1.25	0.5	0.0	['B-3', 'E-4', 'G4']	['P4', 'M6']	[False, False, False]	0.0	1.5	0.0	I	4.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G']	0.0	0.0	0.0	0.67
1.375	0.5	0.0	['B-3', 'E-4', 'G4']	['P4', 'M6']	[False, False, False]	0.0	1.5	0.0	I	4.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'G', 'G', 'B-', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G']	0.0	0.0	0.0	0.67
1.5	0.5	1.0	['D3', 'F4', 'A-4']	['m3', 'd5']	[True, True, True]	1.0	1.5	1.0	V7	0.0	('D', 'F', 'A-', 'B-')	D	F	A-	B-	B-	1.0	7	(2, 5, 8, 10)	E-	E-	5	None	False	['D', 'F', 'A-', 'D', 'F', 'A-', 'D', 'F', 'A-', 'D', 'F', 'A-', 'F', 'F', 'A-', 'F', 'F', 'A-', 'F', 'F', 'A-', 'F', 'F', 'A-', 'B-', 'F', 'A-', 'B-', 'F', 'A-', 'B-', 'F', 'A-', 'B-', 'F', 'A-']	0.0	0.0	0.0	0.67
1.625	0.5	1.0	['D3', 'F4', 'A-4']	['m3', 'd5']	[False, False, False]	1.0	1.5	1.0	V7	1.0	('D', 'F', 'A-', 'B-')	D	F	A-	B-	B-	1.0	7	(2, 5, 8, 10)	E-	E-	5	None	False	['D', 'F', 'A-', 'D', 'F', 'A-', 'D', 'F', 'A-', 'D', 'F', 'A-', 'F', 'F', 'A-', 'F', 'F', 'A-', 'F', 'F', 'A-', 'F', 'F', 'A-', 'B-', 'F', 'A-', 'B-', 'F', 'A-', 'B-', 'F', 'A-', 'B-', 'F', 'A-']	0.0	0.0	0.0	0.67
1.75	0.5	1.0	['D3', 'F4', 'A-4']	['m3', 'd5']	[False, False, False]	1.0	1.5	1.0	V7	2.0	('D', 'F', 'A-', 'B-')	D	F	A-	B-	B-	1.0	7	(2, 5, 8, 10)	E-	E-	5	None	False	['D', 'F', 'A-', 'D', 'F', 'A-', 'D', 'F', 'A-', 'D', 'F', 'A-', 'F', 'F', 'A-', 'F', 'F', 'A-', 'F', 'F', 'A-', 'F', 'F', 'A-', 'B-', 'F', 'A-', 'B-', 'F', 'A-', 'B-', 'F', 'A-', 'B-', 'F', 'A-']	0.0	0.0	0.0	0.67
1.875	0.5	1.0	['D3', 'F4', 'A-4']	['m3', 'd5']	[False, False, False]	1.0	1.5	1.0	V7	2.0	('D', 'F', 'A-', 'B-')	D	F	A-	B-	B-	1.0	7	(2, 5, 8, 10)	E-	E-	5	None	False	['D', 'F', 'A-', 'D', 'F', 'A-', 'D', 'F', 'A-', 'D', 'F', 'A-', 'F', 'F', 'A-', 'F', 'F', 'A-', 'F', 'F', 'A-', 'F', 'F', 'A-', 'B-', 'F', 'A-', 'B-', 'F', 'A-', 'B-', 'F', 'A-', 'B-', 'F', 'A-']	0.0	0.0	0.0	0.67
