j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	2.0	1.0	['A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4', 'F5']	['P5', 'P1', 'M3', 'P5', 'P1', 'M6']	[True, True, True, True, True, True, True]	1.0	5.0	0.0	V	0.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	D-	D-	5	None	False	['A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.08	0.0	0.01	0.2
0.125	2.0	1.0	['A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4', 'F5']	['P5', 'P1', 'M3', 'P5', 'P1', 'M6']	[False, False, False, False, False, False, False]	1.0	5.0	0.0	V	1.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	D-	D-	5	None	False	['A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.08	0.0	0.01	0.2
0.25	2.0	1.0	['A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4', 'F5']	['P5', 'P1', 'M3', 'P5', 'P1', 'M6']	[False, False, False, False, False, False, False]	1.0	5.0	0.0	V	2.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	D-	D-	5	None	False	['A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.08	0.0	0.01	0.2
0.375	2.0	1.0	['A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4', 'F5']	['P5', 'P1', 'M3', 'P5', 'P1', 'M6']	[False, False, False, False, False, False, False]	1.0	5.0	0.0	V	2.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	D-	D-	5	None	False	['A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.08	0.0	0.01	0.2
0.5	2.0	1.0	['A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4', 'F5']	['P5', 'P1', 'M3', 'P5', 'P1', 'M6']	[False, False, False, False, False, False, False]	1.0	5.0	0.0	V	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	D-	D-	5	None	False	['A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.08	0.0	0.01	0.2
0.625	2.0	1.0	['A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4', 'F5']	['P5', 'P1', 'M3', 'P5', 'P1', 'M6']	[False, False, False, False, False, False, False]	1.0	5.0	0.0	V	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	D-	D-	5	None	False	['A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.08	0.0	0.01	0.2
0.75	2.0	1.0	['A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4', 'F5']	['P5', 'P1', 'M3', 'P5', 'P1', 'M6']	[False, False, False, False, False, False, False]	1.0	5.0	0.0	V	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	D-	D-	5	None	False	['A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.08	0.0	0.01	0.2
0.875	2.0	1.0	['A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4', 'F5']	['P5', 'P1', 'M3', 'P5', 'P1', 'M6']	[False, False, False, False, False, False, False]	1.0	5.0	0.0	V	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	D-	D-	5	None	False	['A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.08	0.0	0.01	0.2
1.0	2.0	1.0	['A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4', 'F5']	['P5', 'P1', 'M3', 'P5', 'P1', 'M6']	[False, False, False, False, False, False, False]	1.0	5.0	0.0	V	4.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	D-	D-	5	None	False	['A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.08	0.0	0.01	0.2
1.125	2.0	1.0	['A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4', 'F5']	['P5', 'P1', 'M3', 'P5', 'P1', 'M6']	[False, False, False, False, False, False, False]	1.0	5.0	0.0	V	4.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	D-	D-	5	None	False	['A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'F', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.08	0.0	0.01	0.2
