j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	1.0	['B3', 'F#4', 'D5']	['P5', 'm3']	[True, True, True]	1.0	1.0	0.0	vi	0.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	D	D	6	None	False	['B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D']	0.0	0.0	0.0	0.0
0.125	0.5	1.0	['B3', 'F#4', 'D5']	['P5', 'm3']	[False, False, False]	1.0	1.0	0.0	vi	1.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	D	D	6	None	False	['B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D']	0.0	0.0	0.0	0.0
0.25	0.5	1.0	['B3', 'F#4', 'D5']	['P5', 'm3']	[False, False, False]	1.0	1.0	0.0	vi	2.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	D	D	6	None	False	['B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D']	0.0	0.0	0.0	0.0
0.375	0.5	1.0	['B3', 'F#4', 'D5']	['P5', 'm3']	[False, False, False]	1.0	1.0	0.0	vi	2.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	D	D	6	None	False	['B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D']	0.0	0.0	0.0	0.0
0.5	0.5	1.0	['B3', 'D4', 'D5']	['m3', 'm3']	[False, True, False]	1.0	1.0	0.0	vi	3.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	D	D	6	None	False	['B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D']	0.0	0.0	0.0	0.0
0.625	0.5	1.0	['B3', 'D4', 'D5']	['m3', 'm3']	[False, False, False]	1.0	1.0	0.0	vi	3.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	D	D	6	None	False	['B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D']	0.0	0.0	0.0	0.0
0.75	0.5	1.0	['B3', 'D4', 'D5']	['m3', 'm3']	[False, False, False]	1.0	1.0	0.0	vi	3.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	D	D	6	None	False	['B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D']	0.0	0.0	0.0	0.0
0.875	0.5	1.0	['B3', 'D4', 'D5']	['m3', 'm3']	[False, False, False]	1.0	1.0	0.0	vi	3.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	D	D	6	None	False	['B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'F#', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D', 'B', 'D', 'D']	0.0	0.0	0.0	0.0
1.0	0.5	1.0	['A3', 'F#4', 'C#5', 'D5']	['M6', 'M3', 'P4']	[True, True, True, False]	1.0	1.0	1.0	I	0.0	('A', 'D', 'F#')	A	D	F#	D	D	2.0	maj	(2, 6, 9)	D	D	1	None	False	['A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D']	0.14	0.0	0.02	0.0
1.125	0.5	1.0	['A3', 'F#4', 'C#5', 'D5']	['M6', 'M3', 'P4']	[False, False, False, False]	1.0	1.0	1.0	I	1.0	('A', 'D', 'F#')	A	D	F#	D	D	2.0	maj	(2, 6, 9)	D	D	1	None	False	['A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D']	0.14	0.0	0.02	0.0
1.25	0.5	1.0	['A3', 'F#4', 'C#5', 'D5']	['M6', 'M3', 'P4']	[False, False, False, False]	1.0	1.0	1.0	I	2.0	('A', 'D', 'F#')	A	D	F#	D	D	2.0	maj	(2, 6, 9)	D	D	1	None	False	['A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D']	0.14	0.0	0.02	0.0
1.375	0.5	1.0	['A3', 'F#4', 'C#5', 'D5']	['M6', 'M3', 'P4']	[False, False, False, False]	1.0	1.0	1.0	I	2.0	('A', 'D', 'F#')	A	D	F#	D	D	2.0	maj	(2, 6, 9)	D	D	1	None	False	['A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D']	0.14	0.0	0.02	0.0
1.5	0.5	1.0	['A3', 'D4', 'D5']	['P4', 'P4']	[False, True, False]	1.0	1.0	1.0	I	3.0	('A', 'D', 'F#')	A	D	F#	D	D	2.0	maj	(2, 6, 9)	D	D	1	None	False	['A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D']	0.14	0.0	0.02	0.0
1.625	0.5	1.0	['A3', 'D4', 'D5']	['P4', 'P4']	[False, False, False]	1.0	1.0	1.0	I	3.0	('A', 'D', 'F#')	A	D	F#	D	D	2.0	maj	(2, 6, 9)	D	D	1	None	False	['A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D']	0.14	0.0	0.02	0.0
1.75	0.5	1.0	['A3', 'D4', 'D5']	['P4', 'P4']	[False, False, False]	1.0	1.0	1.0	I	3.0	('A', 'D', 'F#')	A	D	F#	D	D	2.0	maj	(2, 6, 9)	D	D	1	None	False	['A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D']	0.14	0.0	0.02	0.0
1.875	0.5	1.0	['A3', 'D4', 'D5']	['P4', 'P4']	[False, False, False]	1.0	1.0	1.0	I	3.0	('A', 'D', 'F#')	A	D	F#	D	D	2.0	maj	(2, 6, 9)	D	D	1	None	False	['A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'F#', 'C#', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'D']	0.14	0.0	0.02	0.0
2.0	0.5	1.0	['G3', 'G4', 'B4', 'D5']	['P1', 'M3', 'P5']	[True, True, True, False]	1.0	1.0	2.0	IV	0.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D']	0.0	0.0	0.0	0.0
2.125	0.5	1.0	['G3', 'G4', 'B4', 'D5']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	2.0	IV	1.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D']	0.0	0.0	0.0	0.0
2.25	0.5	1.0	['G3', 'G4', 'B4', 'D5']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	2.0	IV	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D']	0.0	0.0	0.0	0.0
2.375	0.5	1.0	['G3', 'G4', 'B4', 'D5']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	2.0	IV	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'G', 'B', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D']	0.0	0.0	0.0	0.0
