j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	1.0	['E2', 'E3']	['P1']	[True, True]	1.0	6.0	0.0	I	0.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#']	0.0	0.0	0.0	0.58
0.125	0.5	1.0	['E2', 'E3']	['P1']	[False, False]	1.0	6.0	0.0	I	1.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#']	0.0	0.0	0.0	0.58
0.25	0.5	1.0	['E2', 'E3']	['P1']	[False, False]	1.0	6.0	0.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#']	0.0	0.0	0.0	0.58
0.375	0.5	1.0	['E2', 'E3']	['P1']	[False, False]	1.0	6.0	0.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#']	0.0	0.0	0.0	0.58
0.5	0.5	1.0	['E2', 'E3', 'G#3', 'E4', 'G#4']	['P1', 'M3', 'P1', 'M3']	[False, False, True, True, True]	1.0	6.0	0.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#']	0.0	0.0	0.0	0.58
0.625	0.5	1.0	['E2', 'E3', 'G#3', 'E4', 'G#4']	['P1', 'M3', 'P1', 'M3']	[False, False, False, False, False]	1.0	6.0	0.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#']	0.0	0.0	0.0	0.58
0.75	0.5	1.0	['E2', 'E3', 'G#3', 'E4', 'G#4']	['P1', 'M3', 'P1', 'M3']	[False, False, False, False, False]	1.0	6.0	0.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#']	0.0	0.0	0.0	0.58
0.875	0.5	1.0	['E2', 'E3', 'G#3', 'E4', 'G#4']	['P1', 'M3', 'P1', 'M3']	[False, False, False, False, False]	1.0	6.0	0.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#']	0.0	0.0	0.0	0.58
1.0	0.5	1.0	['G#3', 'E4', 'G#4']	['m6', 'P1']	[True, True, True]	1.0	6.0	0.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#']	0.0	0.0	0.0	0.58
1.125	0.5	1.0	['G#3', 'E4', 'G#4']	['m6', 'P1']	[False, False, False]	1.0	6.0	0.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'E', 'E', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'B', 'E', 'G#', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#', 'G#', 'B', 'E', 'G#']	0.0	0.0	0.0	0.58
