j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.25	1.0	['G2']	[]	[True]	1.0	3.0	0.0	i	0.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'G', 'G', 'D', 'G', 'G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'G', 'G', 'D', 'D', 'G']	0.0	0.0	0.0	0.17
0.125	0.25	1.0	['G2']	[]	[False]	1.0	3.0	0.0	i	1.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'G', 'G', 'D', 'G', 'G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'G', 'G', 'D', 'D', 'G']	0.0	0.0	0.0	0.17
0.25	0.25	1.0	['D3']	[]	[True]	1.0	3.0	0.0	i	2.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'G', 'G', 'D', 'G', 'G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'G', 'G', 'D', 'D', 'G']	0.0	0.0	0.0	0.17
0.375	0.25	1.0	['D3']	[]	[False]	1.0	3.0	0.0	i	2.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'G', 'G', 'D', 'G', 'G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'G', 'G', 'D', 'D', 'G']	0.0	0.0	0.0	0.17
0.5	0.25	1.0	['G2', 'D3', 'B-3']	['P5', 'm3']	[True, False, True]	1.0	3.0	0.0	i	3.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'G', 'G', 'D', 'G', 'G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'G', 'G', 'D', 'D', 'G']	0.0	0.0	0.0	0.17
0.625	0.25	1.0	['G2', 'D3', 'B-3']	['P5', 'm3']	[False, False, False]	1.0	3.0	0.0	i	3.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'G', 'G', 'D', 'G', 'G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'G', 'G', 'D', 'D', 'G']	0.0	0.0	0.0	0.17
0.75	0.25	1.0	['G2', 'D3', 'D4']	['P5', 'P5']	[False, False, True]	1.0	3.0	0.0	i	3.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'G', 'G', 'D', 'G', 'G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'G', 'G', 'D', 'D', 'G']	0.0	0.0	0.0	0.17
0.875	0.25	1.0	['G2', 'D3', 'D4']	['P5', 'P5']	[False, False, False]	1.0	3.0	0.0	i	3.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'G', 'G', 'D', 'G', 'G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'G', 'G', 'D', 'D', 'G']	0.0	0.0	0.0	0.17
1.0	0.25	1.0	['G2', 'D3', 'B-4']	['P5', 'm3']	[False, False, True]	1.0	3.0	0.0	i	4.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'G', 'G', 'D', 'G', 'G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'G', 'G', 'D', 'D', 'G']	0.0	0.0	0.0	0.17
1.125	0.25	1.0	['G2', 'D3', 'B-4']	['P5', 'm3']	[False, False, False]	1.0	3.0	0.0	i	4.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'G', 'G', 'D', 'G', 'G', 'G', 'D', 'D', 'G', 'D', 'B-', 'G', 'D', 'B-', 'G', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'B-', 'G', 'D', 'D', 'G', 'G', 'D', 'D', 'G']	0.0	0.0	0.0	0.17
