j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	0.0	['E5']	[]	[True]	0.0	0.5	0.0	V	0.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	a	a	5	None	False	['E', 'E', 'E', 'E']	0.0	0.67	0.44	0.0
0.125	0.5	0.0	['E5']	[]	[False]	0.0	0.5	0.0	V	1.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	a	a	5	None	False	['E', 'E', 'E', 'E']	0.0	0.67	0.44	0.0
0.25	0.5	0.0	['E5']	[]	[False]	0.0	0.5	0.0	V	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	a	a	5	None	False	['E', 'E', 'E', 'E']	0.0	0.67	0.44	0.0
0.375	0.5	0.0	['E5']	[]	[False]	0.0	0.5	0.0	V	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	a	a	5	None	False	['E', 'E', 'E', 'E']	0.0	0.67	0.44	0.0
0.5	0.25	1.0	['G#2', 'E5']	['m6']	[True, True]	1.0	0.5	1.0	V7	0.0	('G#', 'B', 'D', 'E')	G#	B	D	E	E	1.0	7	(2, 4, 8, 11)	a	a	5	None	False	['G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E']	0.0	0.5	0.25	0.0
0.625	0.25	1.0	['G#2', 'E5']	['m6']	[False, False]	1.0	0.5	1.0	V7	1.0	('G#', 'B', 'D', 'E')	G#	B	D	E	E	1.0	7	(2, 4, 8, 11)	a	a	5	None	False	['G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E']	0.0	0.5	0.25	0.0
0.75	0.25	1.0	['G#3', 'E5']	['m6']	[True, False]	1.0	0.5	1.0	V7	2.0	('G#', 'B', 'D', 'E')	G#	B	D	E	E	1.0	7	(2, 4, 8, 11)	a	a	5	None	False	['G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E']	0.0	0.5	0.25	0.0
0.875	0.25	1.0	['G#3', 'E5']	['m6']	[False, False]	1.0	0.5	1.0	V7	2.0	('G#', 'B', 'D', 'E')	G#	B	D	E	E	1.0	7	(2, 4, 8, 11)	a	a	5	None	False	['G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E']	0.0	0.5	0.25	0.0
1.0	0.25	1.0	['B3', 'E5']	['P4']	[True, False]	1.0	1.0	2.0	V7	0.0	('E', 'G#', 'B', 'D')	E	G#	B	D	E	0.0	7	(2, 4, 8, 11)	a	a	5	None	False	['B', 'E', 'B', 'E', 'D', 'E', 'D', 'E', 'E', 'F', 'E', 'F', 'B', 'B']	0.14	0.25	0.15	0.75
1.125	0.25	1.0	['B3', 'E5']	['P4']	[False, False]	1.0	1.0	2.0	V7	1.0	('E', 'G#', 'B', 'D')	E	G#	B	D	E	0.0	7	(2, 4, 8, 11)	a	a	5	None	False	['B', 'E', 'B', 'E', 'D', 'E', 'D', 'E', 'E', 'F', 'E', 'F', 'B', 'B']	0.14	0.25	0.15	0.75
1.25	0.25	1.0	['D4', 'E5']	['M2']	[True, False]	1.0	1.0	2.0	V7	2.0	('E', 'G#', 'B', 'D')	E	G#	B	D	E	0.0	7	(2, 4, 8, 11)	a	a	5	None	False	['B', 'E', 'B', 'E', 'D', 'E', 'D', 'E', 'E', 'F', 'E', 'F', 'B', 'B']	0.14	0.25	0.15	0.75
1.375	0.25	1.0	['D4', 'E5']	['M2']	[False, False]	1.0	1.0	2.0	V7	2.0	('E', 'G#', 'B', 'D')	E	G#	B	D	E	0.0	7	(2, 4, 8, 11)	a	a	5	None	False	['B', 'E', 'B', 'E', 'D', 'E', 'D', 'E', 'E', 'F', 'E', 'F', 'B', 'B']	0.14	0.25	0.15	0.75
1.5	0.25	1.0	['E4', 'F5']	['m2']	[True, True]	1.0	1.0	2.0	V7	3.0	('E', 'G#', 'B', 'D')	E	G#	B	D	E	0.0	7	(2, 4, 8, 11)	a	a	5	None	False	['B', 'E', 'B', 'E', 'D', 'E', 'D', 'E', 'E', 'F', 'E', 'F', 'B', 'B']	0.14	0.25	0.15	0.75
1.625	0.25	1.0	['E4', 'F5']	['m2']	[False, False]	1.0	1.0	2.0	V7	3.0	('E', 'G#', 'B', 'D')	E	G#	B	D	E	0.0	7	(2, 4, 8, 11)	a	a	5	None	False	['B', 'E', 'B', 'E', 'D', 'E', 'D', 'E', 'E', 'F', 'E', 'F', 'B', 'B']	0.14	0.25	0.15	0.75
1.75	0.25	1.0	['B4']	[]	[True]	1.0	1.0	2.0	V7	3.0	('E', 'G#', 'B', 'D')	E	G#	B	D	E	0.0	7	(2, 4, 8, 11)	a	a	5	None	False	['B', 'E', 'B', 'E', 'D', 'E', 'D', 'E', 'E', 'F', 'E', 'F', 'B', 'B']	0.14	0.25	0.15	0.75
1.875	0.25	1.0	['B4']	[]	[False]	1.0	1.0	2.0	V7	3.0	('E', 'G#', 'B', 'D')	E	G#	B	D	E	0.0	7	(2, 4, 8, 11)	a	a	5	None	False	['B', 'E', 'B', 'E', 'D', 'E', 'D', 'E', 'E', 'F', 'E', 'F', 'B', 'B']	0.14	0.25	0.15	0.75
2.0	0.25	1.0	['G#2', 'E5']	['m6']	[True, True]	1.0	0.5	3.0	V7	0.0	('G#', 'B', 'D', 'E')	G#	B	D	E	E	1.0	7	(2, 4, 8, 11)	a	a	5	None	False	['G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E']	0.0	0.5	0.25	0.0
2.125	0.25	1.0	['G#2', 'E5']	['m6']	[False, False]	1.0	0.5	3.0	V7	1.0	('G#', 'B', 'D', 'E')	G#	B	D	E	E	1.0	7	(2, 4, 8, 11)	a	a	5	None	False	['G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E']	0.0	0.5	0.25	0.0
2.25	0.25	1.0	['G#3', 'E5']	['m6']	[True, False]	1.0	0.5	3.0	V7	2.0	('G#', 'B', 'D', 'E')	G#	B	D	E	E	1.0	7	(2, 4, 8, 11)	a	a	5	None	False	['G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E']	0.0	0.5	0.25	0.0
2.375	0.25	1.0	['G#3', 'E5']	['m6']	[False, False]	1.0	0.5	3.0	V7	2.0	('G#', 'B', 'D', 'E')	G#	B	D	E	E	1.0	7	(2, 4, 8, 11)	a	a	5	None	False	['G#', 'E', 'G#', 'E', 'G#', 'E', 'G#', 'E']	0.0	0.5	0.25	0.0
2.5	0.25	1.0	['B3', 'E5']	['P4']	[True, False]	1.0	1.0	4.0	V7	0.0	('E', 'G#', 'B', 'D')	E	G#	B	D	E	0.0	7	(2, 4, 8, 11)	a	a	5	None	False	['B', 'E', 'B', 'E', 'D', 'E', 'D', 'E', 'E', 'B', 'E', 'B', 'G#', 'G#']	0.0	0.0	0.0	0.75
2.625	0.25	1.0	['B3', 'E5']	['P4']	[False, False]	1.0	1.0	4.0	V7	1.0	('E', 'G#', 'B', 'D')	E	G#	B	D	E	0.0	7	(2, 4, 8, 11)	a	a	5	None	False	['B', 'E', 'B', 'E', 'D', 'E', 'D', 'E', 'E', 'B', 'E', 'B', 'G#', 'G#']	0.0	0.0	0.0	0.75
2.75	0.25	1.0	['D4', 'E5']	['M2']	[True, False]	1.0	1.0	4.0	V7	2.0	('E', 'G#', 'B', 'D')	E	G#	B	D	E	0.0	7	(2, 4, 8, 11)	a	a	5	None	False	['B', 'E', 'B', 'E', 'D', 'E', 'D', 'E', 'E', 'B', 'E', 'B', 'G#', 'G#']	0.0	0.0	0.0	0.75
