j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.25	1.0	['E4', 'G#4', 'B4', 'E5', 'B5']	['M3', 'P5', 'P1', 'P5']	[True, True, True, True, True]	1.0	4.0	0.0	I	0.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E']	0.09	0.0	0.01	0.0
0.125	0.25	1.0	['E4', 'G#4', 'B4', 'E5', 'B5']	['M3', 'P5', 'P1', 'P5']	[False, False, False, False, False]	1.0	4.0	0.0	I	1.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E']	0.09	0.0	0.01	0.0
0.25	0.25	1.0	['E4', 'G#4', 'B4', 'E5', 'B5']	['M3', 'P5', 'P1', 'P5']	[True, True, True, True, False]	1.0	4.0	0.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E']	0.09	0.0	0.01	0.0
0.375	0.25	1.0	['E4', 'G#4', 'B4', 'E5', 'B5']	['M3', 'P5', 'P1', 'P5']	[False, False, False, False, False]	1.0	4.0	0.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E']	0.09	0.0	0.01	0.0
0.5	0.25	1.0	['E4', 'G#4', 'B4', 'E5', 'B5']	['M3', 'P5', 'P1', 'P5']	[True, True, True, True, False]	1.0	4.0	0.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E']	0.09	0.0	0.01	0.0
0.625	0.25	1.0	['E4', 'G#4', 'B4', 'E5', 'B5']	['M3', 'P5', 'P1', 'P5']	[False, False, False, False, False]	1.0	4.0	0.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E']	0.09	0.0	0.01	0.0
0.75	0.25	1.0	['E4', 'G#4', 'B4', 'E5', 'B5']	['M3', 'P5', 'P1', 'P5']	[True, True, True, True, False]	1.0	4.0	0.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E']	0.09	0.0	0.01	0.0
0.875	0.25	1.0	['E4', 'G#4', 'B4', 'E5', 'B5']	['M3', 'P5', 'P1', 'P5']	[False, False, False, False, False]	1.0	4.0	0.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E']	0.09	0.0	0.01	0.0
1.0	0.25	1.0	['E4', 'G#4', 'B4', 'E5', 'B5']	['M3', 'P5', 'P1', 'P5']	[True, True, True, True, False]	1.0	4.0	0.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E']	0.09	0.0	0.01	0.0
1.125	0.25	1.0	['E4', 'G#4', 'B4', 'E5', 'B5']	['M3', 'P5', 'P1', 'P5']	[False, False, False, False, False]	1.0	4.0	0.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'B', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'A', 'B', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'C#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'D#', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E', 'E', 'G#', 'B', 'E']	0.09	0.0	0.01	0.0
