j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.25	1.0	['A2', 'C#5']	['M3']	[True, True]	1.0	3.0	0.0	I	0.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
0.125	0.25	1.0	['A2', 'C#5']	['M3']	[False, False]	1.0	3.0	0.0	I	1.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
0.25	0.25	1.0	['A2', 'E5']	['P5']	[False, True]	1.0	3.0	0.0	I	2.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
0.375	0.25	1.0	['A2', 'E5']	['P5']	[False, False]	1.0	3.0	0.0	I	2.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
0.5	0.25	1.0	['E3', 'A5']	['P4']	[True, True]	1.0	3.0	0.0	I	3.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
0.625	0.25	1.0	['E3', 'A5']	['P4']	[False, False]	1.0	3.0	0.0	I	3.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
0.75	0.25	1.0	['E3', 'B5']	['P5']	[False, True]	1.0	3.0	0.0	I	3.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
0.875	0.25	1.0	['E3', 'B5']	['P5']	[False, False]	1.0	3.0	0.0	I	3.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
1.0	0.25	1.0	['A3', 'C#6']	['M3']	[True, True]	1.0	3.0	0.0	I	4.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
1.125	0.25	1.0	['A3', 'C#6']	['M3']	[False, False]	1.0	3.0	0.0	I	4.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
1.25	0.25	1.0	['A3', 'B5']	['M2']	[False, True]	1.0	3.0	0.0	I	4.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
1.375	0.25	1.0	['A3', 'B5']	['M2']	[False, False]	1.0	3.0	0.0	I	4.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
1.5	0.25	1.0	['C#4', 'E4', 'A5']	['m3', 'm6']	[True, True, True]	1.0	3.0	0.0	I	4.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
1.625	0.25	1.0	['C#4', 'E4', 'A5']	['m3', 'm6']	[False, False, False]	1.0	3.0	0.0	I	4.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
1.75	0.25	1.0	['C#4', 'E4', 'E5']	['m3', 'm3']	[False, False, True]	1.0	3.0	0.0	I	4.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
1.875	0.25	1.0	['C#4', 'E4', 'E5']	['m3', 'm3']	[False, False, False]	1.0	3.0	0.0	I	4.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
2.0	0.25	1.0	['C#4', 'E4', 'C#5']	['m3', 'P1']	[False, False, True]	1.0	3.0	0.0	I	5.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
2.125	0.25	1.0	['C#4', 'E4', 'C#5']	['m3', 'P1']	[False, False, False]	1.0	3.0	0.0	I	5.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
2.25	0.25	1.0	['C#4', 'E4', 'A4']	['m3', 'm6']	[False, False, True]	1.0	3.0	0.0	I	5.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
2.375	0.25	1.0	['C#4', 'E4', 'A4']	['m3', 'm6']	[False, False, False]	1.0	3.0	0.0	I	5.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
2.5	0.25	1.0	['C#4', 'E4']	['m3']	[False, False]	1.0	3.0	0.0	I	5.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
2.625	0.25	1.0	['C#4', 'E4']	['m3']	[False, False]	1.0	3.0	0.0	I	5.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
2.75	0.25	1.0	['C#4', 'E4', 'A4']	['m3', 'm6']	[False, False, True]	1.0	3.0	0.0	I	5.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
2.875	0.25	1.0	['C#4', 'E4', 'A4']	['m3', 'm6']	[False, False, False]	1.0	3.0	0.0	I	5.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
3.0	0.25	2.0	['A2', 'C#5']	['M3']	[True, True]	2.0	3.0	1.0	I	0.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
3.125	0.25	2.0	['A2', 'C#5']	['M3']	[False, False]	2.0	3.0	1.0	I	1.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
3.25	0.25	2.0	['A2', 'E5']	['P5']	[False, True]	2.0	3.0	1.0	I	2.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
3.375	0.25	2.0	['A2', 'E5']	['P5']	[False, False]	2.0	3.0	1.0	I	2.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
3.5	0.25	2.0	['E3', 'A5']	['P4']	[True, True]	2.0	3.0	1.0	I	3.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
3.625	0.25	2.0	['E3', 'A5']	['P4']	[False, False]	2.0	3.0	1.0	I	3.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
3.75	0.25	2.0	['E3', 'B5']	['P5']	[False, True]	2.0	3.0	1.0	I	3.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
3.875	0.25	2.0	['E3', 'B5']	['P5']	[False, False]	2.0	3.0	1.0	I	3.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
4.0	0.25	2.0	['A3', 'C#6']	['M3']	[True, True]	2.0	3.0	1.0	I	4.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
4.125	0.25	2.0	['A3', 'C#6']	['M3']	[False, False]	2.0	3.0	1.0	I	4.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	A	A	1	None	False	['A', 'C#', 'A', 'C#', 'A', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'B', 'E', 'B', 'A', 'C#', 'A', 'C#', 'A', 'B', 'A', 'B', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'E', 'C#', 'E', 'E', 'C#', 'E', 'C#', 'C#', 'E', 'C#', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'C#', 'E', 'C#', 'E', 'A', 'C#', 'E', 'A']	0.07	0.0	0.0	0.67
