j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.25	1.0	['A-1', 'A-2', 'A-3', 'C4']	['P1', 'P1', 'M3']	[True, True, True, True]	1.0	2.0	0.0	I	0.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-']	0.0	0.0	0.0	0.0
0.125	0.25	1.0	['A-1', 'A-2', 'A-3', 'C4']	['P1', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	0.0	I	1.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-']	0.0	0.0	0.0	0.0
0.25	0.25	1.0	['A-1', 'A-2', 'E-3', 'A-3', 'C4']	['P1', 'P5', 'P1', 'M3']	[False, False, True, False, False]	1.0	2.0	0.0	I	2.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-']	0.0	0.0	0.0	0.0
0.375	0.25	1.0	['A-1', 'A-2', 'E-3', 'A-3', 'C4']	['P1', 'P5', 'P1', 'M3']	[False, False, False, False, False]	1.0	2.0	0.0	I	2.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-']	0.0	0.0	0.0	0.0
0.5	0.25	1.0	['A-1', 'E-2', 'A-3', 'C4', 'E-4']	['P5', 'P1', 'M3', 'P5']	[False, True, False, False, True]	1.0	2.0	0.0	I	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-']	0.0	0.0	0.0	0.0
0.625	0.25	1.0	['A-1', 'E-2', 'A-3', 'C4', 'E-4']	['P5', 'P1', 'M3', 'P5']	[False, False, False, False, False]	1.0	2.0	0.0	I	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-']	0.0	0.0	0.0	0.0
0.75	0.25	1.0	['A-1', 'E-2', 'E-3', 'A-3', 'C4']	['P5', 'P5', 'P1', 'M3']	[False, False, True, False, False]	1.0	2.0	0.0	I	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-']	0.0	0.0	0.0	0.0
0.875	0.25	1.0	['A-1', 'E-2', 'E-3', 'A-3', 'C4']	['P5', 'P5', 'P1', 'M3']	[False, False, False, False, False]	1.0	2.0	0.0	I	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-']	0.0	0.0	0.0	0.0
1.0	0.25	1.0	['A-1', 'A-2', 'A-3', 'C4', 'E-4']	['P1', 'P1', 'M3', 'P5']	[False, True, False, False, True]	1.0	2.0	0.0	I	4.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-']	0.0	0.0	0.0	0.0
1.125	0.25	1.0	['A-1', 'A-2', 'A-3', 'C4', 'E-4']	['P1', 'P1', 'M3', 'P5']	[False, False, False, False, False]	1.0	2.0	0.0	I	4.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'E-', 'E-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-', 'A-', 'E-', 'A-', 'C', 'E-']	0.0	0.0	0.0	0.0
