j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	1.0	['G2', 'G3', 'B3', 'B4']	['P1', 'M3', 'M3']	[True, True, True, True]	1.0	1.5	0.0	I	0.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B']	0.0	0.0	0.0	0.0
0.125	0.5	1.0	['G2', 'G3', 'B3', 'B4']	['P1', 'M3', 'M3']	[False, False, False, False]	1.0	1.5	0.0	I	1.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B']	0.0	0.0	0.0	0.0
0.25	0.5	1.0	['G2', 'G3', 'B3', 'B4']	['P1', 'M3', 'M3']	[False, False, False, False]	1.0	1.5	0.0	I	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B']	0.0	0.0	0.0	0.0
0.375	0.5	1.0	['G2', 'G3', 'B3', 'B4']	['P1', 'M3', 'M3']	[False, False, False, False]	1.0	1.5	0.0	I	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B']	0.0	0.0	0.0	0.0
0.5	0.5	1.0	['G2', 'G3', 'D4', 'B4']	['P1', 'P5', 'M3']	[False, False, True, False]	1.0	1.5	0.0	I	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B']	0.0	0.0	0.0	0.0
0.625	0.5	1.0	['G2', 'G3', 'D4', 'B4']	['P1', 'P5', 'M3']	[False, False, False, False]	1.0	1.5	0.0	I	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B']	0.0	0.0	0.0	0.0
0.75	0.5	1.0	['G2', 'G3', 'D4', 'B4']	['P1', 'P5', 'M3']	[False, False, False, False]	1.0	1.5	0.0	I	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B']	0.0	0.0	0.0	0.0
0.875	0.5	1.0	['G2', 'G3', 'D4', 'B4']	['P1', 'P5', 'M3']	[False, False, False, False]	1.0	1.5	0.0	I	3.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B']	0.0	0.0	0.0	0.0
1.0	0.5	1.0	['G2', 'G3', 'G4', 'B4']	['P1', 'P1', 'M3']	[False, False, True, True]	1.0	1.5	0.0	I	4.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B']	0.0	0.0	0.0	0.0
1.125	0.5	1.0	['G2', 'G3', 'G4', 'B4']	['P1', 'P1', 'M3']	[False, False, False, False]	1.0	1.5	0.0	I	4.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'B', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'D', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B', 'G', 'G', 'G', 'B']	0.0	0.0	0.0	0.0
