j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.25	1.0	['F3', 'F4', 'A4']	['P1', 'M3']	[True, True, True]	1.0	1.0	0.0	I	0.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A']	0.0	0.0	0.0	0.0
0.125	0.25	1.0	['F3', 'F4', 'A4']	['P1', 'M3']	[False, False, False]	1.0	1.0	0.0	I	1.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A']	0.0	0.0	0.0	0.0
0.25	0.25	1.0	['F3', 'C4', 'A4']	['P5', 'M3']	[False, True, False]	1.0	1.0	0.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A']	0.0	0.0	0.0	0.0
0.375	0.25	1.0	['F3', 'C4', 'A4']	['P5', 'M3']	[False, False, False]	1.0	1.0	0.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A']	0.0	0.0	0.0	0.0
0.5	0.25	1.0	['F3', 'F4', 'A4']	['P1', 'M3']	[False, True, True]	1.0	1.0	0.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A']	0.0	0.0	0.0	0.0
0.625	0.25	1.0	['F3', 'F4', 'A4']	['P1', 'M3']	[False, False, False]	1.0	1.0	0.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A']	0.0	0.0	0.0	0.0
0.75	0.25	1.0	['F3', 'C4', 'A4']	['P5', 'M3']	[False, True, False]	1.0	1.0	0.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A']	0.0	0.0	0.0	0.0
0.875	0.25	1.0	['F3', 'C4', 'A4']	['P5', 'M3']	[False, False, False]	1.0	1.0	0.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'C', 'A', 'F', 'C', 'A']	0.0	0.0	0.0	0.0
1.0	0.25	1.0	['G4', 'B-4']	['m3']	[True, True]	1.0	0.5	1.0	V7	0.0	('C', 'E', 'G', 'B-')	C	E	G	B-	C	0.0	7	(0, 4, 7, 10)	F	F	5	None	False	['G', 'B-', 'G', 'B-', 'C', 'B-', 'C', 'B-']	0.0	0.25	0.06	0.5
1.125	0.25	1.0	['G4', 'B-4']	['m3']	[False, False]	1.0	0.5	1.0	V7	1.0	('C', 'E', 'G', 'B-')	C	E	G	B-	C	0.0	7	(0, 4, 7, 10)	F	F	5	None	False	['G', 'B-', 'G', 'B-', 'C', 'B-', 'C', 'B-']	0.0	0.25	0.06	0.5
1.25	0.25	1.0	['C4', 'B-4']	['m7']	[True, False]	1.0	0.5	1.0	V7	2.0	('C', 'E', 'G', 'B-')	C	E	G	B-	C	0.0	7	(0, 4, 7, 10)	F	F	5	None	False	['G', 'B-', 'G', 'B-', 'C', 'B-', 'C', 'B-']	0.0	0.25	0.06	0.5
1.375	0.25	1.0	['C4', 'B-4']	['m7']	[False, False]	1.0	0.5	1.0	V7	2.0	('C', 'E', 'G', 'B-')	C	E	G	B-	C	0.0	7	(0, 4, 7, 10)	F	F	5	None	False	['G', 'B-', 'G', 'B-', 'C', 'B-', 'C', 'B-']	0.0	0.25	0.06	0.5
1.5	0.25	2.0	['F3', 'A4', 'C5']	['M3', 'P5']	[True, True, True]	2.0	1.5	2.0	I	0.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'A', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'A', 'C', 'F', 'A', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'A', 'C', 'A', 'C', 'C', 'F', 'C', 'F']	0.0	0.0	0.0	0.33
1.625	0.25	2.0	['F3', 'A4', 'C5']	['M3', 'P5']	[False, False, False]	2.0	1.5	2.0	I	1.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'A', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'A', 'C', 'F', 'A', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'A', 'C', 'A', 'C', 'C', 'F', 'C', 'F']	0.0	0.0	0.0	0.33
1.75	0.25	2.0	['F3', 'C4', 'C5']	['P5', 'P5']	[False, True, False]	2.0	1.5	2.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'A', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'A', 'C', 'F', 'A', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'A', 'C', 'A', 'C', 'C', 'F', 'C', 'F']	0.0	0.0	0.0	0.33
1.875	0.25	2.0	['F3', 'C4', 'C5']	['P5', 'P5']	[False, False, False]	2.0	1.5	2.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'A', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'A', 'C', 'F', 'A', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'A', 'C', 'A', 'C', 'C', 'F', 'C', 'F']	0.0	0.0	0.0	0.33
2.0	0.25	2.0	['F3', 'A4', 'C5']	['M3', 'P5']	[False, True, True]	2.0	1.5	2.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'A', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'A', 'C', 'F', 'A', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'A', 'C', 'A', 'C', 'C', 'F', 'C', 'F']	0.0	0.0	0.0	0.33
