j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	0.0	['G4']	[]	[True]	0.0	0.5	0.0	i	0.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'G', 'G', 'G']	0.0	0.67	0.44	0.0
0.125	0.5	0.0	['G4']	[]	[False]	0.0	0.5	0.0	i	1.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'G', 'G', 'G']	0.0	0.67	0.44	0.0
0.25	0.5	0.0	['G4']	[]	[False]	0.0	0.5	0.0	i	2.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'G', 'G', 'G']	0.0	0.67	0.44	0.0
0.375	0.5	0.0	['G4']	[]	[False]	0.0	0.5	0.0	i	2.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'G', 'G', 'G']	0.0	0.67	0.44	0.0
0.5	0.5	1.0	['G3', 'B-3', 'D4', 'G4', 'D5']	['m3', 'P5', 'P1', 'P5']	[True, True, True, True, True]	1.0	1.5	1.0	i	0.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D']	0.0	0.0	0.0	0.0
0.625	0.5	1.0	['G3', 'B-3', 'D4', 'G4', 'D5']	['m3', 'P5', 'P1', 'P5']	[False, False, False, False, False]	1.0	1.5	1.0	i	1.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D']	0.0	0.0	0.0	0.0
0.75	0.5	1.0	['G3', 'B-3', 'D4', 'G4', 'D5']	['m3', 'P5', 'P1', 'P5']	[False, False, False, False, False]	1.0	1.5	1.0	i	2.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D']	0.0	0.0	0.0	0.0
0.875	0.5	1.0	['G3', 'B-3', 'D4', 'G4', 'D5']	['m3', 'P5', 'P1', 'P5']	[False, False, False, False, False]	1.0	1.5	1.0	i	2.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D']	0.0	0.0	0.0	0.0
1.0	0.5	1.0	['G3', 'B-3', 'D4', 'B-4', 'D5']	['m3', 'P5', 'm3', 'P5']	[False, False, False, True, False]	1.0	1.5	1.0	i	3.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D']	0.0	0.0	0.0	0.0
1.125	0.5	1.0	['G3', 'B-3', 'D4', 'B-4', 'D5']	['m3', 'P5', 'm3', 'P5']	[False, False, False, False, False]	1.0	1.5	1.0	i	3.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'G', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'B-', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D', 'G', 'B-', 'D', 'D']	0.0	0.0	0.0	0.0
