j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.75	1.0	['C2', 'C3', 'G3', 'C4', 'E-4']	['P1', 'P5', 'P1', 'm3']	[True, True, True, True, True]	1.0	3.0	0.0	i	0.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-']	0.0	0.0	0.0	0.0
0.125	1.75	1.0	['C2', 'C3', 'G3', 'C4', 'E-4']	['P1', 'P5', 'P1', 'm3']	[False, False, False, False, False]	1.0	3.0	0.0	i	1.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-']	0.0	0.0	0.0	0.0
0.25	1.75	1.0	['C2', 'C3', 'G3', 'C4', 'E-4']	['P1', 'P5', 'P1', 'm3']	[False, False, False, False, False]	1.0	3.0	0.0	i	2.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-']	0.0	0.0	0.0	0.0
0.375	1.75	1.0	['C2', 'C3', 'G3', 'C4', 'E-4']	['P1', 'P5', 'P1', 'm3']	[False, False, False, False, False]	1.0	3.0	0.0	i	2.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-']	0.0	0.0	0.0	0.0
0.5	1.75	1.0	['C2', 'C3', 'G3', 'C4', 'E-4']	['P1', 'P5', 'P1', 'm3']	[False, False, False, False, False]	1.0	3.0	0.0	i	3.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-']	0.0	0.0	0.0	0.0
0.625	1.75	1.0	['C2', 'C3', 'G3', 'C4', 'E-4']	['P1', 'P5', 'P1', 'm3']	[False, False, False, False, False]	1.0	3.0	0.0	i	3.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-']	0.0	0.0	0.0	0.0
0.75	1.75	1.0	['C2', 'C3', 'G3', 'C4', 'E-4']	['P1', 'P5', 'P1', 'm3']	[False, False, False, False, False]	1.0	3.0	0.0	i	3.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-']	0.0	0.0	0.0	0.0
0.875	1.75	1.0	['C2', 'C3', 'G3', 'C4', 'E-4']	['P1', 'P5', 'P1', 'm3']	[False, False, False, False, False]	1.0	3.0	0.0	i	3.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-']	0.0	0.0	0.0	0.0
1.0	1.75	1.0	['C2', 'C3', 'G3', 'C4', 'E-4']	['P1', 'P5', 'P1', 'm3']	[False, False, False, False, False]	1.0	3.0	0.0	i	4.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-']	0.0	0.0	0.0	0.0
1.125	1.75	1.0	['C2', 'C3', 'G3', 'C4', 'E-4']	['P1', 'P5', 'P1', 'm3']	[False, False, False, False, False]	1.0	3.0	0.0	i	4.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-', 'C', 'C', 'G', 'C', 'E-']	0.0	0.0	0.0	0.0
