j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.3333	1.0	['B-2']	[]	[True]	1.0	2.0	0.0	I	0.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-']	0.0	0.33	0.11	0.25
0.125	0.3333	1.0	['B-2']	[]	[False]	1.0	2.0	0.0	I	1.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-']	0.0	0.33	0.11	0.25
0.25	0.3333	1.0	['B-2']	[]	[False]	1.0	2.0	0.0	I	2.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-']	0.0	0.33	0.11	0.25
0.375	0.1667	1.0	['B-2', 'D4', 'B-4']	['M3', 'P1']	[False, False, False]	1.0	2.0	0.0	I	2.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-']	0.0	0.33	0.11	0.25
0.5	0.1667	1.0	['D4', 'B-4']	['m6']	[False, False]	1.0	2.0	0.0	I	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-']	0.0	0.33	0.11	0.25
0.625	0.1667	1.0	['D4', 'B-4']	['m6']	[False, False]	1.0	2.0	0.0	I	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-']	0.0	0.33	0.11	0.25
0.75	0.3333	1.0	['B-3']	[]	[False]	1.0	2.0	0.0	I	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-']	0.0	0.33	0.11	0.25
0.875	0.3333	1.0	['B-3']	[]	[False]	1.0	2.0	0.0	I	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-']	0.0	0.33	0.11	0.25
1.0	0.3333	1.0	['B-2']	[]	[True]	1.0	2.0	0.0	I	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-']	0.0	0.33	0.11	0.25
1.125	0.3333	1.0	['B-2']	[]	[False]	1.0	2.0	0.0	I	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-']	0.0	0.33	0.11	0.25
1.25	0.3333	1.0	['B-2']	[]	[False]	1.0	2.0	0.0	I	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-']	0.0	0.33	0.11	0.25
1.375	0.1667	1.0	['B-2', 'D4', 'B-4']	['M3', 'P1']	[False, False, False]	1.0	2.0	0.0	I	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-']	0.0	0.33	0.11	0.25
1.5	0.1667	1.0	['D4', 'B-4']	['m6']	[False, False]	1.0	2.0	0.0	I	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'B-', 'B-']	0.0	0.33	0.11	0.25
