j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	1.0	['F#2', 'F#3', 'F#4']	['P1', 'P1']	[True, True, True]	1.0	3.0	0.0	V	0.0	('F#', 'A#', 'C#')	F#	A#	C#	F#	F#	0.0	maj	(1, 6, 10)	b	b	5	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#']	0.05	0.0	0.0	0.0
0.125	1.0	1.0	['F#2', 'F#3', 'F#4']	['P1', 'P1']	[False, False, False]	1.0	3.0	0.0	V	1.0	('F#', 'A#', 'C#')	F#	A#	C#	F#	F#	0.0	maj	(1, 6, 10)	b	b	5	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#']	0.05	0.0	0.0	0.0
0.25	1.0	1.0	['F#2', 'F#3', 'F#4']	['P1', 'P1']	[False, False, False]	1.0	3.0	0.0	V	2.0	('F#', 'A#', 'C#')	F#	A#	C#	F#	F#	0.0	maj	(1, 6, 10)	b	b	5	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#']	0.05	0.0	0.0	0.0
0.375	1.0	1.0	['F#2', 'F#3', 'F#4']	['P1', 'P1']	[False, False, False]	1.0	3.0	0.0	V	2.0	('F#', 'A#', 'C#')	F#	A#	C#	F#	F#	0.0	maj	(1, 6, 10)	b	b	5	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#']	0.05	0.0	0.0	0.0
0.5	1.0	1.0	['F#2', 'F#3', 'F#4']	['P1', 'P1']	[False, False, False]	1.0	3.0	0.0	V	3.0	('F#', 'A#', 'C#')	F#	A#	C#	F#	F#	0.0	maj	(1, 6, 10)	b	b	5	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#']	0.05	0.0	0.0	0.0
0.625	1.0	1.0	['F#2', 'F#3', 'F#4']	['P1', 'P1']	[False, False, False]	1.0	3.0	0.0	V	3.0	('F#', 'A#', 'C#')	F#	A#	C#	F#	F#	0.0	maj	(1, 6, 10)	b	b	5	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#']	0.05	0.0	0.0	0.0
0.75	1.0	1.0	['F#2', 'F#3', 'F#4']	['P1', 'P1']	[False, False, False]	1.0	3.0	0.0	V	3.0	('F#', 'A#', 'C#')	F#	A#	C#	F#	F#	0.0	maj	(1, 6, 10)	b	b	5	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#']	0.05	0.0	0.0	0.0
0.875	1.0	1.0	['F#2', 'F#3', 'F#4']	['P1', 'P1']	[False, False, False]	1.0	3.0	0.0	V	3.0	('F#', 'A#', 'C#')	F#	A#	C#	F#	F#	0.0	maj	(1, 6, 10)	b	b	5	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#']	0.05	0.0	0.0	0.0
1.0	1.0	1.0	['F#2', 'F#3', 'F#4']	['P1', 'P1']	[False, False, False]	1.0	3.0	0.0	V	4.0	('F#', 'A#', 'C#')	F#	A#	C#	F#	F#	0.0	maj	(1, 6, 10)	b	b	5	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#']	0.05	0.0	0.0	0.0
1.125	1.0	1.0	['F#2', 'F#3', 'F#4']	['P1', 'P1']	[False, False, False]	1.0	3.0	0.0	V	4.0	('F#', 'A#', 'C#')	F#	A#	C#	F#	F#	0.0	maj	(1, 6, 10)	b	b	5	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'A#', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'B', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#', 'F#', 'C#', 'F#', 'F#']	0.05	0.0	0.0	0.0
