j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	2.0	1.0	['C2', 'A-2', 'C3', 'D#3', 'F#3', 'C4']	['m6', 'P1', 'A2', 'A4', 'P1']	[True, True, True, True, True, True]	1.0	2.0	0.0	Ger7	0.0	('C', 'E-', 'F#', 'A-')	C	E-	F#	A-	F#	2.0	aug6	(0, 3, 6, 8)	C	C	#4	None	False	['C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C']	0.17	0.25	0.17	0.0
0.125	2.0	1.0	['C2', 'A-2', 'C3', 'D#3', 'F#3', 'C4']	['m6', 'P1', 'A2', 'A4', 'P1']	[False, False, False, False, False, False]	1.0	2.0	0.0	Ger7	1.0	('C', 'E-', 'F#', 'A-')	C	E-	F#	A-	F#	2.0	aug6	(0, 3, 6, 8)	C	C	#4	None	False	['C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C']	0.17	0.25	0.17	0.0
0.25	2.0	1.0	['C2', 'A-2', 'C3', 'D#3', 'F#3', 'C4']	['m6', 'P1', 'A2', 'A4', 'P1']	[False, False, False, False, False, False]	1.0	2.0	0.0	Ger7	2.0	('C', 'E-', 'F#', 'A-')	C	E-	F#	A-	F#	2.0	aug6	(0, 3, 6, 8)	C	C	#4	None	False	['C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C']	0.17	0.25	0.17	0.0
0.375	2.0	1.0	['C2', 'A-2', 'C3', 'D#3', 'F#3', 'C4']	['m6', 'P1', 'A2', 'A4', 'P1']	[False, False, False, False, False, False]	1.0	2.0	0.0	Ger7	2.0	('C', 'E-', 'F#', 'A-')	C	E-	F#	A-	F#	2.0	aug6	(0, 3, 6, 8)	C	C	#4	None	False	['C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C']	0.17	0.25	0.17	0.0
0.5	2.0	1.0	['C2', 'A-2', 'C3', 'D#3', 'F#3', 'C4']	['m6', 'P1', 'A2', 'A4', 'P1']	[False, False, False, False, False, False]	1.0	2.0	0.0	Ger7	3.0	('C', 'E-', 'F#', 'A-')	C	E-	F#	A-	F#	2.0	aug6	(0, 3, 6, 8)	C	C	#4	None	False	['C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C']	0.17	0.25	0.17	0.0
0.625	2.0	1.0	['C2', 'A-2', 'C3', 'D#3', 'F#3', 'C4']	['m6', 'P1', 'A2', 'A4', 'P1']	[False, False, False, False, False, False]	1.0	2.0	0.0	Ger7	3.0	('C', 'E-', 'F#', 'A-')	C	E-	F#	A-	F#	2.0	aug6	(0, 3, 6, 8)	C	C	#4	None	False	['C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C']	0.17	0.25	0.17	0.0
0.75	2.0	1.0	['C2', 'A-2', 'C3', 'D#3', 'F#3', 'C4']	['m6', 'P1', 'A2', 'A4', 'P1']	[False, False, False, False, False, False]	1.0	2.0	0.0	Ger7	3.0	('C', 'E-', 'F#', 'A-')	C	E-	F#	A-	F#	2.0	aug6	(0, 3, 6, 8)	C	C	#4	None	False	['C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C']	0.17	0.25	0.17	0.0
0.875	2.0	1.0	['C2', 'A-2', 'C3', 'D#3', 'F#3', 'C4']	['m6', 'P1', 'A2', 'A4', 'P1']	[False, False, False, False, False, False]	1.0	2.0	0.0	Ger7	3.0	('C', 'E-', 'F#', 'A-')	C	E-	F#	A-	F#	2.0	aug6	(0, 3, 6, 8)	C	C	#4	None	False	['C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C']	0.17	0.25	0.17	0.0
1.0	2.0	1.0	['C2', 'A-2', 'C3', 'D#3', 'F#3', 'C4']	['m6', 'P1', 'A2', 'A4', 'P1']	[False, False, False, False, False, False]	1.0	2.0	0.0	Ger7	4.0	('C', 'E-', 'F#', 'A-')	C	E-	F#	A-	F#	2.0	aug6	(0, 3, 6, 8)	C	C	#4	None	False	['C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C']	0.17	0.25	0.17	0.0
1.125	2.0	1.0	['C2', 'A-2', 'C3', 'D#3', 'F#3', 'C4']	['m6', 'P1', 'A2', 'A4', 'P1']	[False, False, False, False, False, False]	1.0	2.0	0.0	Ger7	4.0	('C', 'E-', 'F#', 'A-')	C	E-	F#	A-	F#	2.0	aug6	(0, 3, 6, 8)	C	C	#4	None	False	['C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C']	0.17	0.25	0.17	0.0
1.25	2.0	1.0	['C2', 'A-2', 'C3', 'D#3', 'F#3', 'C4']	['m6', 'P1', 'A2', 'A4', 'P1']	[False, False, False, False, False, False]	1.0	2.0	0.0	Ger7	4.0	('C', 'E-', 'F#', 'A-')	C	E-	F#	A-	F#	2.0	aug6	(0, 3, 6, 8)	C	C	#4	None	False	['C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C', 'C', 'A-', 'C', 'D#', 'F#', 'C']	0.17	0.25	0.17	0.0
