j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.25	0.0	['E3', 'E4']	['P1']	[True, True]	0.0	0.75	0.0	i	0.0	('E', 'A', 'C')	E	A	C	A	A	2.0	min	(0, 4, 9)	a	a	1	None	False	['E', 'E', 'E', 'E', 'A', 'A', 'A', 'A', 'C', 'C', 'C', 'C']	0.0	0.0	0.0	0.67
0.125	0.25	0.0	['E3', 'E4']	['P1']	[False, False]	0.0	0.75	0.0	i	1.0	('E', 'A', 'C')	E	A	C	A	A	2.0	min	(0, 4, 9)	a	a	1	None	False	['E', 'E', 'E', 'E', 'A', 'A', 'A', 'A', 'C', 'C', 'C', 'C']	0.0	0.0	0.0	0.67
0.25	0.25	0.0	['A3', 'A4']	['P1']	[True, True]	0.0	0.75	0.0	i	2.0	('E', 'A', 'C')	E	A	C	A	A	2.0	min	(0, 4, 9)	a	a	1	None	False	['E', 'E', 'E', 'E', 'A', 'A', 'A', 'A', 'C', 'C', 'C', 'C']	0.0	0.0	0.0	0.67
0.375	0.25	0.0	['A3', 'A4']	['P1']	[False, False]	0.0	0.75	0.0	i	2.0	('E', 'A', 'C')	E	A	C	A	A	2.0	min	(0, 4, 9)	a	a	1	None	False	['E', 'E', 'E', 'E', 'A', 'A', 'A', 'A', 'C', 'C', 'C', 'C']	0.0	0.0	0.0	0.67
0.5	0.25	0.0	['C4', 'C5']	['P1']	[True, True]	0.0	0.75	0.0	i	3.0	('E', 'A', 'C')	E	A	C	A	A	2.0	min	(0, 4, 9)	a	a	1	None	False	['E', 'E', 'E', 'E', 'A', 'A', 'A', 'A', 'C', 'C', 'C', 'C']	0.0	0.0	0.0	0.67
0.625	0.25	0.0	['C4', 'C5']	['P1']	[False, False]	0.0	0.75	0.0	i	3.0	('E', 'A', 'C')	E	A	C	A	A	2.0	min	(0, 4, 9)	a	a	1	None	False	['E', 'E', 'E', 'E', 'A', 'A', 'A', 'A', 'C', 'C', 'C', 'C']	0.0	0.0	0.0	0.67
0.75	0.5	1.0	['E4', 'E5']	['P1']	[True, True]	1.0	1.5	1.0	i	0.0	('A', 'C', 'E')	A	C	E	A	A	0.0	min	(0, 4, 9)	a	a	1	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']	0.0	0.0	0.0	0.67
0.875	0.5	1.0	['E4', 'E5']	['P1']	[False, False]	1.0	1.5	1.0	i	1.0	('A', 'C', 'E')	A	C	E	A	A	0.0	min	(0, 4, 9)	a	a	1	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']	0.0	0.0	0.0	0.67
1.0	0.5	1.0	['E4', 'E5']	['P1']	[False, False]	1.0	1.5	1.0	i	2.0	('A', 'C', 'E')	A	C	E	A	A	0.0	min	(0, 4, 9)	a	a	1	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']	0.0	0.0	0.0	0.67
1.125	0.5	1.0	['E4', 'E5']	['P1']	[False, False]	1.0	1.5	1.0	i	2.0	('A', 'C', 'E')	A	C	E	A	A	0.0	min	(0, 4, 9)	a	a	1	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']	0.0	0.0	0.0	0.67
