j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.1667	1.0	['E2', 'B2', 'G#3']	['P5', 'M3']	[True, True, True]	1.0	0.5	0.0	I	0.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'E', 'E', 'B', 'G#']	0.0	0.0	0.0	0.0
0.125	0.1667	1.0	['E2', 'B2', 'G#3']	['P5', 'M3']	[False, False, False]	1.0	0.5	0.0	I	1.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'E', 'E', 'B', 'G#']	0.0	0.0	0.0	0.0
0.25	0.1667	1.0	['E2', 'B2', 'E4']	['P5', 'P1']	[False, False, False]	1.0	0.5	0.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'E', 'E', 'B', 'G#']	0.0	0.0	0.0	0.0
0.375	0.1667	1.0	['E2', 'B2', 'G#3']	['P5', 'M3']	[False, False, False]	1.0	0.5	0.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'E', 'E', 'B', 'G#']	0.0	0.0	0.0	0.0
0.5	0.1667	1.0	['E2', 'B2', 'F#3']	['P5', 'M2']	[False, False, True]	1.0	0.5	1.0	V	0.0	('B', 'D#', 'F#')	B	D#	F#	B	B	0.0	maj	(3, 6, 11)	E	E	5	None	False	['E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'D#', 'E', 'B', 'F#']	0.33	0.0	0.11	1.0
0.625	0.1667	1.0	['E2', 'B2', 'F#3']	['P5', 'M2']	[False, False, False]	1.0	0.5	1.0	V	1.0	('B', 'D#', 'F#')	B	D#	F#	B	B	0.0	maj	(3, 6, 11)	E	E	5	None	False	['E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'D#', 'E', 'B', 'F#']	0.33	0.0	0.11	1.0
0.75	0.1667	1.0	['E2', 'B2', 'D#4']	['P5', 'M7']	[False, False, False]	1.0	0.5	1.0	V	2.0	('B', 'D#', 'F#')	B	D#	F#	B	B	0.0	maj	(3, 6, 11)	E	E	5	None	False	['E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'D#', 'E', 'B', 'F#']	0.33	0.0	0.11	1.0
0.875	0.1667	1.0	['E2', 'B2', 'F#3']	['P5', 'M2']	[False, False, False]	1.0	0.5	1.0	V	2.0	('B', 'D#', 'F#')	B	D#	F#	B	B	0.0	maj	(3, 6, 11)	E	E	5	None	False	['E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'D#', 'E', 'B', 'F#']	0.33	0.0	0.11	1.0
1.0	0.1667	1.0	['E2', 'B2', 'G#3']	['P5', 'M3']	[False, False, True]	1.0	1.0	2.0	I	0.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'E', 'E', 'B', 'G#', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'E', 'B', 'B']	0.0	0.0	0.0	0.0
1.125	0.1667	1.0	['E2', 'B2', 'G#3']	['P5', 'M3']	[False, False, False]	1.0	1.0	2.0	I	1.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'E', 'E', 'B', 'G#', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'E', 'B', 'B']	0.0	0.0	0.0	0.0
1.25	0.1667	1.0	['E2', 'B2', 'E4']	['P5', 'P1']	[False, False, False]	1.0	1.0	2.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'E', 'E', 'B', 'G#', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'E', 'B', 'B']	0.0	0.0	0.0	0.0
1.375	0.1667	1.0	['E2', 'B2', 'G#3']	['P5', 'M3']	[False, False, False]	1.0	1.0	2.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'E', 'E', 'B', 'G#', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'E', 'B', 'B']	0.0	0.0	0.0	0.0
1.5	0.1667	1.0	['E2', 'B2', 'B3']	['P5', 'P5']	[False, False, True]	1.0	1.0	2.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'E', 'E', 'B', 'G#', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'E', 'B', 'B']	0.0	0.0	0.0	0.0
1.625	0.1667	1.0	['E2', 'B2', 'B3']	['P5', 'P5']	[False, False, False]	1.0	1.0	2.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'E', 'E', 'B', 'G#', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'E', 'B', 'B']	0.0	0.0	0.0	0.0
1.75	0.1667	1.0	['E2', 'B2', 'G#4']	['P5', 'M3']	[False, False, False]	1.0	1.0	2.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'E', 'E', 'B', 'G#', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'E', 'B', 'B']	0.0	0.0	0.0	0.0
1.875	0.1667	1.0	['E2', 'B2', 'B3']	['P5', 'P5']	[False, False, False]	1.0	1.0	2.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'E', 'E', 'B', 'G#', 'E', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'G#', 'E', 'B', 'B']	0.0	0.0	0.0	0.0
2.0	0.1667	1.0	['E2', 'B2', 'A3']	['P5', 'P4']	[False, False, True]	1.0	0.5	3.0	V7	0.0	('B', 'D#', 'F#', 'A')	B	D#	F#	A	B	0.0	7	(3, 6, 9, 11)	E	E	5	None	False	['E', 'B', 'A', 'E', 'B', 'A', 'E', 'B', 'F#', 'E', 'B', 'A']	0.33	0.25	0.34	1.0
2.125	0.1667	1.0	['E2', 'B2', 'A3']	['P5', 'P4']	[False, False, False]	1.0	0.5	3.0	V7	1.0	('B', 'D#', 'F#', 'A')	B	D#	F#	A	B	0.0	7	(3, 6, 9, 11)	E	E	5	None	False	['E', 'B', 'A', 'E', 'B', 'A', 'E', 'B', 'F#', 'E', 'B', 'A']	0.33	0.25	0.34	1.0
2.25	0.1667	1.0	['E2', 'B2', 'F#4']	['P5', 'M2']	[False, False, False]	1.0	0.5	3.0	V7	2.0	('B', 'D#', 'F#', 'A')	B	D#	F#	A	B	0.0	7	(3, 6, 9, 11)	E	E	5	None	False	['E', 'B', 'A', 'E', 'B', 'A', 'E', 'B', 'F#', 'E', 'B', 'A']	0.33	0.25	0.34	1.0
2.375	0.1667	1.0	['E2', 'B2', 'A3']	['P5', 'P4']	[False, False, False]	1.0	0.5	3.0	V7	2.0	('B', 'D#', 'F#', 'A')	B	D#	F#	A	B	0.0	7	(3, 6, 9, 11)	E	E	5	None	False	['E', 'B', 'A', 'E', 'B', 'A', 'E', 'B', 'F#', 'E', 'B', 'A']	0.33	0.25	0.34	1.0
2.5	0.1667	1.0	['E2', 'B2', 'G#3']	['P5', 'M3']	[False, False, True]	1.0	0.5	4.0	I	0.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'E', 'E', 'B', 'G#']	0.0	0.0	0.0	0.0
2.625	0.1667	1.0	['E2', 'B2', 'G#3']	['P5', 'M3']	[False, False, False]	1.0	0.5	4.0	I	1.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'E', 'E', 'B', 'G#']	0.0	0.0	0.0	0.0
