j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.3333	1.0	['F#3', 'A3', 'C#4', 'F#4']	['m3', 'P5', 'P1']	[True, True, True, True]	1.0	1.0	0.0	i	0.0	('F#', 'A', 'C#')	F#	A	C#	F#	F#	0.0	min	(1, 6, 9)	f#	f#	1	None	False	['F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#']	0.0	0.0	0.0	0.0
0.125	0.3333	1.0	['F#3', 'A3', 'C#4', 'F#4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	1.0	0.0	i	1.0	('F#', 'A', 'C#')	F#	A	C#	F#	F#	0.0	min	(1, 6, 9)	f#	f#	1	None	False	['F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#']	0.0	0.0	0.0	0.0
0.25	0.3333	1.0	['F#3', 'A3', 'C#4', 'F#4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	1.0	0.0	i	2.0	('F#', 'A', 'C#')	F#	A	C#	F#	F#	0.0	min	(1, 6, 9)	f#	f#	1	None	False	['F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#']	0.0	0.0	0.0	0.0
0.375	0.3333	1.0	['F#3', 'A3', 'C#4', 'C#5']	['m3', 'P5', 'P5']	[False, False, False, False]	1.0	1.0	0.0	i	2.0	('F#', 'A', 'C#')	F#	A	C#	F#	F#	0.0	min	(1, 6, 9)	f#	f#	1	None	False	['F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#']	0.0	0.0	0.0	0.0
0.5	0.3333	1.0	['F#3', 'A3', 'C#4', 'C#5']	['m3', 'P5', 'P5']	[False, False, False, False]	1.0	1.0	0.0	i	3.0	('F#', 'A', 'C#')	F#	A	C#	F#	F#	0.0	min	(1, 6, 9)	f#	f#	1	None	False	['F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#']	0.0	0.0	0.0	0.0
0.625	0.3333	1.0	['F#3', 'A3', 'C#4', 'C#5']	['m3', 'P5', 'P5']	[False, False, False, False]	1.0	1.0	0.0	i	3.0	('F#', 'A', 'C#')	F#	A	C#	F#	F#	0.0	min	(1, 6, 9)	f#	f#	1	None	False	['F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#']	0.0	0.0	0.0	0.0
0.75	0.25	1.0	['F#3', 'A3', 'C#4', 'F#5']	['m3', 'P5', 'P1']	[True, True, True, False]	1.0	1.0	0.0	i	3.0	('F#', 'A', 'C#')	F#	A	C#	F#	F#	0.0	min	(1, 6, 9)	f#	f#	1	None	False	['F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#']	0.0	0.0	0.0	0.0
0.875	0.25	1.0	['F#3', 'A3', 'C#4', 'F#5']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	1.0	0.0	i	3.0	('F#', 'A', 'C#')	F#	A	C#	F#	F#	0.0	min	(1, 6, 9)	f#	f#	1	None	False	['F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'C#', 'F#', 'A', 'C#', 'F#', 'F#', 'A', 'C#', 'F#']	0.0	0.0	0.0	0.0
1.0	1.5	1.0	['G#3', 'B3', 'C#4', 'C#5']	['m3', 'P4', 'P4']	[True, True, True, True]	1.0	2.0	1.0	V7	0.0	('G#', 'B', 'C#', 'E#')	G#	B	C#	E#	C#	2.0	7	(1, 5, 8, 11)	f#	f#	5	None	False	['G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'E#', 'G#', 'B', 'C#', 'E#', 'G#', 'B', 'C#', 'E#', 'G#', 'B', 'C#', 'E#']	0.0	0.0	0.0	0.0
1.125	1.5	1.0	['G#3', 'B3', 'C#4', 'C#5']	['m3', 'P4', 'P4']	[False, False, False, False]	1.0	2.0	1.0	V7	1.0	('G#', 'B', 'C#', 'E#')	G#	B	C#	E#	C#	2.0	7	(1, 5, 8, 11)	f#	f#	5	None	False	['G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'E#', 'G#', 'B', 'C#', 'E#', 'G#', 'B', 'C#', 'E#', 'G#', 'B', 'C#', 'E#']	0.0	0.0	0.0	0.0
1.25	1.5	1.0	['G#3', 'B3', 'C#4', 'C#5']	['m3', 'P4', 'P4']	[False, False, False, False]	1.0	2.0	1.0	V7	2.0	('G#', 'B', 'C#', 'E#')	G#	B	C#	E#	C#	2.0	7	(1, 5, 8, 11)	f#	f#	5	None	False	['G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'E#', 'G#', 'B', 'C#', 'E#', 'G#', 'B', 'C#', 'E#', 'G#', 'B', 'C#', 'E#']	0.0	0.0	0.0	0.0
1.375	1.5	1.0	['G#3', 'B3', 'C#4', 'C#5']	['m3', 'P4', 'P4']	[False, False, False, False]	1.0	2.0	1.0	V7	2.0	('G#', 'B', 'C#', 'E#')	G#	B	C#	E#	C#	2.0	7	(1, 5, 8, 11)	f#	f#	5	None	False	['G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'C#', 'G#', 'B', 'C#', 'E#', 'G#', 'B', 'C#', 'E#', 'G#', 'B', 'C#', 'E#', 'G#', 'B', 'C#', 'E#']	0.0	0.0	0.0	0.0
