j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.25	1.0	['G2', 'D3']	['P5']	[True, True]	1.0	3.0	0.0	i	0.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D']	0.33	0.0	0.11	0.83
0.125	0.25	1.0	['G2', 'D3']	['P5']	[False, False]	1.0	3.0	0.0	i	1.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D']	0.33	0.0	0.11	0.83
0.25	0.25	1.0	['G2', 'D3', 'G3', 'D4']	['P5', 'P1', 'P5']	[False, False, True, True]	1.0	3.0	0.0	i	2.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D']	0.33	0.0	0.11	0.83
0.375	0.25	1.0	['G2', 'D3', 'G3', 'D4']	['P5', 'P1', 'P5']	[False, False, False, False]	1.0	3.0	0.0	i	2.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D']	0.33	0.0	0.11	0.83
0.5	0.25	1.0	['A2', 'D3']	['P4']	[True, True]	1.0	3.0	0.0	i	3.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D']	0.33	0.0	0.11	0.83
0.625	0.25	1.0	['A2', 'D3']	['P4']	[False, False]	1.0	3.0	0.0	i	3.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D']	0.33	0.0	0.11	0.83
0.75	0.25	1.0	['A2', 'D3', 'A3', 'D4']	['P4', 'P1', 'P4']	[False, False, True, True]	1.0	3.0	0.0	i	3.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D']	0.33	0.0	0.11	0.83
0.875	0.25	1.0	['A2', 'D3', 'A3', 'D4']	['P4', 'P1', 'P4']	[False, False, False, False]	1.0	3.0	0.0	i	3.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D']	0.33	0.0	0.11	0.83
1.0	0.25	1.0	['B-2', 'D3']	['M3']	[True, True]	1.0	3.0	0.0	i	4.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D']	0.33	0.0	0.11	0.83
1.125	0.25	1.0	['B-2', 'D3']	['M3']	[False, False]	1.0	3.0	0.0	i	4.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	g	g	1	None	False	['G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B-', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D', 'C#', 'D']	0.33	0.0	0.11	0.83
