j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	1.0	['B3', 'B4']	['P1']	[True, True]	1.0	0.5	0.0	i	0.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']	0.0	0.67	0.44	0.0
0.125	0.5	1.0	['B3', 'B4']	['P1']	[False, False]	1.0	0.5	0.0	i	1.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']	0.0	0.67	0.44	0.0
0.25	0.5	1.0	['B3', 'B4']	['P1']	[False, False]	1.0	0.5	0.0	i	2.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']	0.0	0.67	0.44	0.0
0.375	0.5	1.0	['B3', 'B4']	['P1']	[False, False]	1.0	0.5	0.0	i	2.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']	0.0	0.67	0.44	0.0
0.5	1.0	1.0	['F#3', 'F#4']	['P1']	[True, True]	1.0	1.0	1.0	i	0.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#']	0.0	0.67	0.44	0.0
0.625	1.0	1.0	['F#3', 'F#4']	['P1']	[False, False]	1.0	1.0	1.0	i	1.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#']	0.0	0.67	0.44	0.0
0.75	1.0	1.0	['F#3', 'F#4']	['P1']	[False, False]	1.0	1.0	1.0	i	2.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#']	0.0	0.67	0.44	0.0
0.875	1.0	1.0	['F#3', 'F#4']	['P1']	[False, False]	1.0	1.0	1.0	i	2.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#']	0.0	0.67	0.44	0.0
1.0	1.0	1.0	['F#3', 'F#4']	['P1']	[False, False]	1.0	1.0	1.0	i	3.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#']	0.0	0.67	0.44	0.0
1.125	1.0	1.0	['F#3', 'F#4']	['P1']	[False, False]	1.0	1.0	1.0	i	3.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#']	0.0	0.67	0.44	0.0
1.25	1.0	1.0	['F#3', 'F#4']	['P1']	[False, False]	1.0	1.0	1.0	i	3.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#']	0.0	0.67	0.44	0.0
1.375	1.0	1.0	['F#3', 'F#4']	['P1']	[False, False]	1.0	1.0	1.0	i	3.0	('F#', 'B', 'D')	F#	B	D	B	B	2.0	min	(2, 6, 11)	b	b	1	None	False	['F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#', 'F#']	0.0	0.67	0.44	0.0
1.5	0.5	2.0	['E3', 'E4']	['P1']	[True, True]	2.0	0.5	2.0	iv	0.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	b	b	4	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']	0.0	0.67	0.44	0.0
1.625	0.5	2.0	['E3', 'E4']	['P1']	[False, False]	2.0	0.5	2.0	iv	1.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	b	b	4	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']	0.0	0.67	0.44	0.0
1.75	0.5	2.0	['E3', 'E4']	['P1']	[False, False]	2.0	0.5	2.0	iv	2.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	b	b	4	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']	0.0	0.67	0.44	0.0
1.875	0.5	2.0	['E3', 'E4']	['P1']	[False, False]	2.0	0.5	2.0	iv	2.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	b	b	4	None	False	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']	0.0	0.67	0.44	0.0
2.0	1.0	2.0	['B2', 'B3']	['P1']	[True, True]	2.0	1.0	3.0	i	0.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']	0.0	0.67	0.44	0.0
2.125	1.0	2.0	['B2', 'B3']	['P1']	[False, False]	2.0	1.0	3.0	i	1.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']	0.0	0.67	0.44	0.0
2.25	1.0	2.0	['B2', 'B3']	['P1']	[False, False]	2.0	1.0	3.0	i	2.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']	0.0	0.67	0.44	0.0
2.375	1.0	2.0	['B2', 'B3']	['P1']	[False, False]	2.0	1.0	3.0	i	2.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']	0.0	0.67	0.44	0.0
2.5	1.0	2.0	['B2', 'B3']	['P1']	[False, False]	2.0	1.0	3.0	i	3.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']	0.0	0.67	0.44	0.0
2.625	1.0	2.0	['B2', 'B3']	['P1']	[False, False]	2.0	1.0	3.0	i	3.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']	0.0	0.67	0.44	0.0
