j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.1667	1.0	['C4', 'C6']	['P1']	[True, True]	1.0	0.5	0.0	i	0.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'C', 'C', 'C', 'E-', 'C', 'G', 'C']	0.0	0.0	0.0	0.5
0.125	0.1667	1.0	['C4', 'C6']	['P1']	[False, False]	1.0	0.5	0.0	i	1.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'C', 'C', 'C', 'E-', 'C', 'G', 'C']	0.0	0.0	0.0	0.5
0.25	0.1667	1.0	['E-4', 'C6']	['M6']	[False, False]	1.0	0.5	0.0	i	2.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'C', 'C', 'C', 'E-', 'C', 'G', 'C']	0.0	0.0	0.0	0.5
0.375	0.1667	1.0	['G4', 'C6']	['P4']	[False, False]	1.0	0.5	0.0	i	2.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'C', 'C', 'C', 'E-', 'C', 'G', 'C']	0.0	0.0	0.0	0.5
0.5	0.1667	1.0	['D4', 'B5']	['M6']	[True, True]	1.0	0.5	1.0	V7	0.0	('D', 'F', 'G', 'B')	D	F	G	B	G	2.0	7	(2, 5, 7, 11)	c	c	5	None	False	['D', 'B', 'D', 'B', 'F', 'B', 'G', 'B']	0.0	0.0	0.0	0.5
0.625	0.1667	1.0	['D4', 'B5']	['M6']	[False, False]	1.0	0.5	1.0	V7	1.0	('D', 'F', 'G', 'B')	D	F	G	B	G	2.0	7	(2, 5, 7, 11)	c	c	5	None	False	['D', 'B', 'D', 'B', 'F', 'B', 'G', 'B']	0.0	0.0	0.0	0.5
0.75	0.1667	1.0	['F4', 'B5']	['A4']	[False, False]	1.0	0.5	1.0	V7	2.0	('D', 'F', 'G', 'B')	D	F	G	B	G	2.0	7	(2, 5, 7, 11)	c	c	5	None	False	['D', 'B', 'D', 'B', 'F', 'B', 'G', 'B']	0.0	0.0	0.0	0.5
0.875	0.1667	1.0	['G4', 'B5']	['M3']	[False, False]	1.0	0.5	1.0	V7	2.0	('D', 'F', 'G', 'B')	D	F	G	B	G	2.0	7	(2, 5, 7, 11)	c	c	5	None	False	['D', 'B', 'D', 'B', 'F', 'B', 'G', 'B']	0.0	0.0	0.0	0.5
1.0	0.1667	1.0	['E-4', 'C6']	['M6']	[True, True]	1.0	0.5	2.0	i	0.0	('E-', 'G', 'C')	E-	G	C	C	C	1.0	min	(0, 3, 7)	c	c	1	None	False	['E-', 'C', 'E-', 'C', 'G', 'C', 'C', 'C']	0.0	0.0	0.0	0.5
1.125	0.1667	1.0	['E-4', 'C6']	['M6']	[False, False]	1.0	0.5	2.0	i	1.0	('E-', 'G', 'C')	E-	G	C	C	C	1.0	min	(0, 3, 7)	c	c	1	None	False	['E-', 'C', 'E-', 'C', 'G', 'C', 'C', 'C']	0.0	0.0	0.0	0.5
1.25	0.1667	1.0	['G4', 'C6']	['P4']	[False, False]	1.0	0.5	2.0	i	2.0	('E-', 'G', 'C')	E-	G	C	C	C	1.0	min	(0, 3, 7)	c	c	1	None	False	['E-', 'C', 'E-', 'C', 'G', 'C', 'C', 'C']	0.0	0.0	0.0	0.5
1.375	0.1667	1.0	['C5', 'C6']	['P1']	[False, False]	1.0	0.5	2.0	i	2.0	('E-', 'G', 'C')	E-	G	C	C	C	1.0	min	(0, 3, 7)	c	c	1	None	False	['E-', 'C', 'E-', 'C', 'G', 'C', 'C', 'C']	0.0	0.0	0.0	0.5
1.5	0.1667	1.0	['E4', 'G5']	['m3']	[True, True]	1.0	0.5	3.0	I	0.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	c	C	1	None	False	['E', 'G', 'E', 'G', 'G', 'G', 'C', 'G']	0.0	0.0	0.0	0.5
1.625	0.1667	1.0	['E4', 'G5']	['m3']	[False, False]	1.0	0.5	3.0	I	1.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	c	C	1	None	False	['E', 'G', 'E', 'G', 'G', 'G', 'C', 'G']	0.0	0.0	0.0	0.5
1.75	0.1667	1.0	['G4', 'G5']	['P1']	[False, False]	1.0	0.5	3.0	I	2.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	c	C	1	None	False	['E', 'G', 'E', 'G', 'G', 'G', 'C', 'G']	0.0	0.0	0.0	0.5
1.875	0.1667	1.0	['C5', 'G5']	['P5']	[False, False]	1.0	0.5	3.0	I	2.0	('E', 'G', 'C')	E	G	C	C	C	1.0	maj	(0, 4, 7)	c	C	1	None	False	['E', 'G', 'E', 'G', 'G', 'G', 'C', 'G']	0.0	0.0	0.0	0.5
2.0	0.1667	2.0	['F4', 'B-5']	['P4']	[True, True]	2.0	0.5	4.0	iv	0.0	('F', 'A-', 'C')	F	A-	C	F	F	0.0	min	(0, 5, 8)	c	c	4	None	False	['F', 'B-', 'F', 'B-', 'A-', 'B-', 'C', 'B-']	0.5	0.0	0.25	0.5
2.125	0.1667	2.0	['F4', 'B-5']	['P4']	[False, False]	2.0	0.5	4.0	iv	1.0	('F', 'A-', 'C')	F	A-	C	F	F	0.0	min	(0, 5, 8)	c	c	4	None	False	['F', 'B-', 'F', 'B-', 'A-', 'B-', 'C', 'B-']	0.5	0.0	0.25	0.5
