j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.25	1.0	['D3', 'A3', 'D4', 'F#4']	['P5', 'P1', 'M3']	[True, True, True, True]	1.0	3.0	0.0	I	0.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#']	0.12	0.0	0.02	0.5
0.125	0.25	1.0	['D3', 'A3', 'D4', 'F#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	3.0	0.0	I	1.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#']	0.12	0.0	0.02	0.5
0.25	0.25	1.0	['C#3', 'A3', 'D4', 'F#4']	['m6', 'm2', 'P4']	[True, False, False, False]	1.0	3.0	0.0	I	2.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#']	0.12	0.0	0.02	0.5
0.375	0.25	1.0	['C#3', 'A3', 'D4', 'F#4']	['m6', 'm2', 'P4']	[False, False, False, False]	1.0	3.0	0.0	I	2.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#']	0.12	0.0	0.02	0.5
0.5	0.25	1.0	['D3', 'A3', 'D4', 'F#4']	['P5', 'P1', 'M3']	[True, True, True, True]	1.0	3.0	0.0	I	3.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#']	0.12	0.0	0.02	0.5
0.625	0.25	1.0	['D3', 'A3', 'D4', 'F#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	3.0	0.0	I	3.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#']	0.12	0.0	0.02	0.5
0.75	0.25	1.0	['C#3', 'A3', 'D4', 'F#4']	['m6', 'm2', 'P4']	[True, False, False, False]	1.0	3.0	0.0	I	3.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#']	0.12	0.0	0.02	0.5
0.875	0.25	1.0	['C#3', 'A3', 'D4', 'F#4']	['m6', 'm2', 'P4']	[False, False, False, False]	1.0	3.0	0.0	I	3.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#']	0.12	0.0	0.02	0.5
1.0	0.25	1.0	['D3', 'A3', 'D4', 'F#4']	['P5', 'P1', 'M3']	[True, True, True, True]	1.0	3.0	0.0	I	4.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#']	0.12	0.0	0.02	0.5
1.125	0.25	1.0	['D3', 'A3', 'D4', 'F#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	3.0	0.0	I	4.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'D', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#', 'C#', 'A', 'D', 'F#']	0.12	0.0	0.02	0.5
