j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[True, True, True, True, True]	1.0	1.0	0.0	I	0.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
0.125	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[False, False, False, False, False]	1.0	1.0	0.0	I	1.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
0.25	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[False, False, False, False, False]	1.0	1.0	0.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
0.375	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[False, False, False, False, False]	1.0	1.0	0.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
0.5	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[False, False, False, False, False]	1.0	1.0	0.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
0.625	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[False, False, False, False, False]	1.0	1.0	0.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
0.75	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[False, False, False, False, False]	1.0	1.0	0.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
0.875	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[False, False, False, False, False]	1.0	1.0	0.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
1.0	0.5	1.0	['F2', 'B-2', 'C3', 'G3', 'C4', 'G4']	['P4', 'P5', 'M2', 'P5', 'M2']	[True, True, True, True, True, True]	1.0	0.5	1.0	V7	0.0	('B-', 'C', 'E', 'G')	B-	C	E	G	C	3.0	7	(0, 4, 7, 10)	F	F	5	None	False	['F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G']	0.17	0.25	0.17	1.0
1.125	0.5	1.0	['F2', 'B-2', 'C3', 'G3', 'C4', 'G4']	['P4', 'P5', 'M2', 'P5', 'M2']	[False, False, False, False, False, False]	1.0	0.5	1.0	V7	1.0	('B-', 'C', 'E', 'G')	B-	C	E	G	C	3.0	7	(0, 4, 7, 10)	F	F	5	None	False	['F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G']	0.17	0.25	0.17	1.0
1.25	0.5	1.0	['F2', 'B-2', 'C3', 'G3', 'C4', 'G4']	['P4', 'P5', 'M2', 'P5', 'M2']	[False, False, False, False, False, False]	1.0	0.5	1.0	V7	2.0	('B-', 'C', 'E', 'G')	B-	C	E	G	C	3.0	7	(0, 4, 7, 10)	F	F	5	None	False	['F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G']	0.17	0.25	0.17	1.0
1.375	0.5	1.0	['F2', 'B-2', 'C3', 'G3', 'C4', 'G4']	['P4', 'P5', 'M2', 'P5', 'M2']	[False, False, False, False, False, False]	1.0	0.5	1.0	V7	2.0	('B-', 'C', 'E', 'G')	B-	C	E	G	C	3.0	7	(0, 4, 7, 10)	F	F	5	None	False	['F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G']	0.17	0.25	0.17	1.0
1.5	0.5	1.0	['F2', 'A2', 'C3', 'F3', 'C4', 'F4']	['M3', 'P5', 'P1', 'P5', 'P1']	[True, True, True, True, True, True]	1.0	1.5	2.0	I	0.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
1.625	0.5	1.0	['F2', 'A2', 'C3', 'F3', 'C4', 'F4']	['M3', 'P5', 'P1', 'P5', 'P1']	[False, False, False, False, False, False]	1.0	1.5	2.0	I	1.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
1.75	0.5	1.0	['F2', 'A2', 'C3', 'F3', 'C4', 'F4']	['M3', 'P5', 'P1', 'P5', 'P1']	[False, False, False, False, False, False]	1.0	1.5	2.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
1.875	0.5	1.0	['F2', 'A2', 'C3', 'F3', 'C4', 'F4']	['M3', 'P5', 'P1', 'P5', 'P1']	[False, False, False, False, False, False]	1.0	1.5	2.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
2.0	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[True, True, True, True, True]	1.0	1.5	2.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
2.125	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[False, False, False, False, False]	1.0	1.5	2.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
2.25	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[False, False, False, False, False]	1.0	1.5	2.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
2.375	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[False, False, False, False, False]	1.0	1.5	2.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
2.5	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[False, False, False, False, False]	1.0	1.5	2.0	I	4.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
2.625	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[False, False, False, False, False]	1.0	1.5	2.0	I	4.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
2.75	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[False, False, False, False, False]	1.0	1.5	2.0	I	4.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
2.875	1.0	1.0	['F2', 'C3', 'A3', 'C4', 'A4']	['P5', 'M3', 'P5', 'M3']	[False, False, False, False, False]	1.0	1.5	2.0	I	4.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A', 'F', 'C', 'A', 'C', 'A']	0.0	0.0	0.0	0.0
3.0	0.5	1.0	['F2', 'B-2', 'C3', 'G3', 'C4', 'G4']	['P4', 'P5', 'M2', 'P5', 'M2']	[True, True, True, True, True, True]	1.0	0.5	3.0	V7	0.0	('B-', 'C', 'E', 'G')	B-	C	E	G	C	3.0	7	(0, 4, 7, 10)	F	F	5	None	False	['F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G']	0.17	0.25	0.17	1.0
3.125	0.5	1.0	['F2', 'B-2', 'C3', 'G3', 'C4', 'G4']	['P4', 'P5', 'M2', 'P5', 'M2']	[False, False, False, False, False, False]	1.0	0.5	3.0	V7	1.0	('B-', 'C', 'E', 'G')	B-	C	E	G	C	3.0	7	(0, 4, 7, 10)	F	F	5	None	False	['F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G']	0.17	0.25	0.17	1.0
3.25	0.5	1.0	['F2', 'B-2', 'C3', 'G3', 'C4', 'G4']	['P4', 'P5', 'M2', 'P5', 'M2']	[False, False, False, False, False, False]	1.0	0.5	3.0	V7	2.0	('B-', 'C', 'E', 'G')	B-	C	E	G	C	3.0	7	(0, 4, 7, 10)	F	F	5	None	False	['F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G']	0.17	0.25	0.17	1.0
3.375	0.5	1.0	['F2', 'B-2', 'C3', 'G3', 'C4', 'G4']	['P4', 'P5', 'M2', 'P5', 'M2']	[False, False, False, False, False, False]	1.0	0.5	3.0	V7	2.0	('B-', 'C', 'E', 'G')	B-	C	E	G	C	3.0	7	(0, 4, 7, 10)	F	F	5	None	False	['F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G', 'F', 'B-', 'C', 'G', 'C', 'G']	0.17	0.25	0.17	1.0
3.5	0.5	1.0	['F2', 'A2', 'C3', 'F3', 'C4', 'F4']	['M3', 'P5', 'P1', 'P5', 'P1']	[True, True, True, True, True, True]	1.0	0.5	4.0	I	0.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F']	0.0	0.0	0.0	0.0
3.625	0.5	1.0	['F2', 'A2', 'C3', 'F3', 'C4', 'F4']	['M3', 'P5', 'P1', 'P5', 'P1']	[False, False, False, False, False, False]	1.0	0.5	4.0	I	1.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F']	0.0	0.0	0.0	0.0
3.75	0.5	1.0	['F2', 'A2', 'C3', 'F3', 'C4', 'F4']	['M3', 'P5', 'P1', 'P5', 'P1']	[False, False, False, False, False, False]	1.0	0.5	4.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F']	0.0	0.0	0.0	0.0
3.875	0.5	1.0	['F2', 'A2', 'C3', 'F3', 'C4', 'F4']	['M3', 'P5', 'P1', 'P5', 'P1']	[False, False, False, False, False, False]	1.0	0.5	4.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F', 'F', 'A', 'C', 'F', 'C', 'F']	0.0	0.0	0.0	0.0
4.0	1.0	2.0	['C2', 'G2', 'C3', 'E3', 'C4', 'E4']	['P5', 'P1', 'M3', 'P1', 'M3']	[True, True, True, True, True, True]	2.0	1.0	5.0	V	0.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	F	F	5	None	False	['C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E']	0.0	0.0	0.0	0.0
4.125	1.0	2.0	['C2', 'G2', 'C3', 'E3', 'C4', 'E4']	['P5', 'P1', 'M3', 'P1', 'M3']	[False, False, False, False, False, False]	2.0	1.0	5.0	V	1.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	F	F	5	None	False	['C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E']	0.0	0.0	0.0	0.0
4.25	1.0	2.0	['C2', 'G2', 'C3', 'E3', 'C4', 'E4']	['P5', 'P1', 'M3', 'P1', 'M3']	[False, False, False, False, False, False]	2.0	1.0	5.0	V	2.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	F	F	5	None	False	['C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E']	0.0	0.0	0.0	0.0
4.375	1.0	2.0	['C2', 'G2', 'C3', 'E3', 'C4', 'E4']	['P5', 'P1', 'M3', 'P1', 'M3']	[False, False, False, False, False, False]	2.0	1.0	5.0	V	2.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	F	F	5	None	False	['C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'E']	0.0	0.0	0.0	0.0
