j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.25	0.0	['A4']	[]	[True]	0.0	0.25	0.0	V	0.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	D	D	5	None	False	['A', 'A']	0.0	0.67	0.44	0.0
0.125	0.25	0.0	['A4']	[]	[False]	0.0	0.25	0.0	V	1.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	D	D	5	None	False	['A', 'A']	0.0	0.67	0.44	0.0
0.25	0.25	1.0	['D4', 'D5']	['P1']	[True, True]	1.0	0.5	1.0	I	0.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'D', 'D', 'D', 'F#', 'D', 'F#', 'D']	0.0	0.33	0.11	0.5
0.375	0.25	1.0	['D4', 'D5']	['P1']	[False, False]	1.0	0.5	1.0	I	1.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'D', 'D', 'D', 'F#', 'D', 'F#', 'D']	0.0	0.33	0.11	0.5
0.5	0.25	1.0	['F#4', 'D5']	['m6']	[True, False]	1.0	0.5	1.0	I	2.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'D', 'D', 'D', 'F#', 'D', 'F#', 'D']	0.0	0.33	0.11	0.5
0.625	0.25	1.0	['F#4', 'D5']	['m6']	[False, False]	1.0	0.5	1.0	I	2.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'D', 'D', 'D', 'F#', 'D', 'F#', 'D']	0.0	0.33	0.11	0.5
0.75	0.25	1.0	['F#4', 'C#5']	['P5']	[True, True]	1.0	0.5	2.0	I	0.0	('F#', 'A', 'D')	F#	A	D	D	D	1.0	maj	(2, 6, 9)	D	D	1	None	False	['F#', 'C#', 'F#', 'C#', 'A', 'C#', 'A', 'C#']	0.5	0.33	0.69	0.5
0.875	0.25	1.0	['F#4', 'C#5']	['P5']	[False, False]	1.0	0.5	2.0	I	1.0	('F#', 'A', 'D')	F#	A	D	D	D	1.0	maj	(2, 6, 9)	D	D	1	None	False	['F#', 'C#', 'F#', 'C#', 'A', 'C#', 'A', 'C#']	0.5	0.33	0.69	0.5
1.0	0.25	1.0	['A4', 'C#5']	['M3']	[True, True]	1.0	0.5	2.0	I	2.0	('F#', 'A', 'D')	F#	A	D	D	D	1.0	maj	(2, 6, 9)	D	D	1	None	False	['F#', 'C#', 'F#', 'C#', 'A', 'C#', 'A', 'C#']	0.5	0.33	0.69	0.5
1.125	0.25	1.0	['A4', 'C#5']	['M3']	[False, False]	1.0	0.5	2.0	I	2.0	('F#', 'A', 'D')	F#	A	D	D	D	1.0	maj	(2, 6, 9)	D	D	1	None	False	['F#', 'C#', 'F#', 'C#', 'A', 'C#', 'A', 'C#']	0.5	0.33	0.69	0.5
1.25	0.25	1.0	['G4', 'B4']	['M3']	[True, True]	1.0	0.5	3.0	IV	0.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'G', 'B', 'G', 'B', 'G', 'B']	0.0	0.33	0.11	0.0
1.375	0.25	1.0	['G4', 'B4']	['M3']	[False, False]	1.0	0.5	3.0	IV	1.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'G', 'B', 'G', 'B', 'G', 'B']	0.0	0.33	0.11	0.0
1.5	0.25	1.0	['G4', 'B4']	['M3']	[True, False]	1.0	0.5	3.0	IV	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'G', 'B', 'G', 'B', 'G', 'B']	0.0	0.33	0.11	0.0
1.625	0.25	1.0	['G4', 'B4']	['M3']	[False, False]	1.0	0.5	3.0	IV	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'G', 'B', 'G', 'B', 'G', 'B']	0.0	0.33	0.11	0.0
1.75	0.25	1.0	['E4', 'C#5']	['M6']	[True, True]	1.0	0.5	4.0	viio	0.0	('E', 'G', 'C#')	E	G	C#	C#	C#	1.0	dim	(1, 4, 7)	D	D	7	None	False	['E', 'C#', 'E', 'C#', 'G', 'C#', 'G', 'C#']	0.0	0.0	0.0	0.5
1.875	0.25	1.0	['E4', 'C#5']	['M6']	[False, False]	1.0	0.5	4.0	viio	1.0	('E', 'G', 'C#')	E	G	C#	C#	C#	1.0	dim	(1, 4, 7)	D	D	7	None	False	['E', 'C#', 'E', 'C#', 'G', 'C#', 'G', 'C#']	0.0	0.0	0.0	0.5
2.0	0.25	1.0	['G4', 'C#5']	['A4']	[True, True]	1.0	0.5	4.0	viio	2.0	('E', 'G', 'C#')	E	G	C#	C#	C#	1.0	dim	(1, 4, 7)	D	D	7	None	False	['E', 'C#', 'E', 'C#', 'G', 'C#', 'G', 'C#']	0.0	0.0	0.0	0.5
2.125	0.25	1.0	['G4', 'C#5']	['A4']	[False, False]	1.0	0.5	4.0	viio	2.0	('E', 'G', 'C#')	E	G	C#	C#	C#	1.0	dim	(1, 4, 7)	D	D	7	None	False	['E', 'C#', 'E', 'C#', 'G', 'C#', 'G', 'C#']	0.0	0.0	0.0	0.5
2.25	0.25	2.0	['D4', 'D5']	['P1']	[True, True]	2.0	0.5	5.0	I	0.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'D', 'D', 'D', 'F#', 'D', 'F#', 'D']	0.0	0.33	0.11	0.5
2.375	0.25	2.0	['D4', 'D5']	['P1']	[False, False]	2.0	0.5	5.0	I	1.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'D', 'D', 'D', 'F#', 'D', 'F#', 'D']	0.0	0.33	0.11	0.5
2.5	0.25	2.0	['F#4', 'D5']	['m6']	[True, False]	2.0	0.5	5.0	I	2.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'D', 'D', 'D', 'F#', 'D', 'F#', 'D']	0.0	0.33	0.11	0.5
2.625	0.25	2.0	['F#4', 'D5']	['m6']	[False, False]	2.0	0.5	5.0	I	2.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	D	D	1	None	False	['D', 'D', 'D', 'D', 'F#', 'D', 'F#', 'D']	0.0	0.33	0.11	0.5
2.75	0.25	2.0	['F#4', 'C#5']	['P5']	[True, True]	2.0	0.5	6.0	I	0.0	('F#', 'A', 'D')	F#	A	D	D	D	1.0	maj	(2, 6, 9)	D	D	1	None	False	['F#', 'C#', 'F#', 'C#', 'A', 'C#', 'A', 'C#']	0.5	0.33	0.69	0.5
2.875	0.25	2.0	['F#4', 'C#5']	['P5']	[False, False]	2.0	0.5	6.0	I	1.0	('F#', 'A', 'D')	F#	A	D	D	D	1.0	maj	(2, 6, 9)	D	D	1	None	False	['F#', 'C#', 'F#', 'C#', 'A', 'C#', 'A', 'C#']	0.5	0.33	0.69	0.5
3.0	0.25	2.0	['A4', 'C#5']	['M3']	[True, True]	2.0	0.5	6.0	I	2.0	('F#', 'A', 'D')	F#	A	D	D	D	1.0	maj	(2, 6, 9)	D	D	1	None	False	['F#', 'C#', 'F#', 'C#', 'A', 'C#', 'A', 'C#']	0.5	0.33	0.69	0.5
3.125	0.25	2.0	['A4', 'C#5']	['M3']	[False, False]	2.0	0.5	6.0	I	2.0	('F#', 'A', 'D')	F#	A	D	D	D	1.0	maj	(2, 6, 9)	D	D	1	None	False	['F#', 'C#', 'F#', 'C#', 'A', 'C#', 'A', 'C#']	0.5	0.33	0.69	0.5
3.25	0.25	2.0	['G4', 'B4']	['M3']	[True, True]	2.0	0.5	7.0	IV	0.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'G', 'B', 'G', 'B', 'G', 'B']	0.0	0.33	0.11	0.0
3.375	0.25	2.0	['G4', 'B4']	['M3']	[False, False]	2.0	0.5	7.0	IV	1.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'G', 'B', 'G', 'B', 'G', 'B']	0.0	0.33	0.11	0.0
3.5	0.25	2.0	['G4', 'B4']	['M3']	[True, False]	2.0	0.5	7.0	IV	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'G', 'B', 'G', 'B', 'G', 'B']	0.0	0.33	0.11	0.0
3.625	0.25	2.0	['G4', 'B4']	['M3']	[False, False]	2.0	0.5	7.0	IV	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	D	D	4	None	False	['G', 'B', 'G', 'B', 'G', 'B', 'G', 'B']	0.0	0.33	0.11	0.0
3.75	0.25	2.0	['E4', 'C#5']	['M6']	[True, True]	2.0	0.5	8.0	viio	0.0	('E', 'G', 'C#')	E	G	C#	C#	C#	1.0	dim	(1, 4, 7)	D	D	7	None	False	['E', 'C#', 'E', 'C#', 'G', 'C#', 'G', 'C#']	0.0	0.0	0.0	0.5
3.875	0.25	2.0	['E4', 'C#5']	['M6']	[False, False]	2.0	0.5	8.0	viio	1.0	('E', 'G', 'C#')	E	G	C#	C#	C#	1.0	dim	(1, 4, 7)	D	D	7	None	False	['E', 'C#', 'E', 'C#', 'G', 'C#', 'G', 'C#']	0.0	0.0	0.0	0.5
4.0	0.25	2.0	['G4', 'C#5']	['A4']	[True, True]	2.0	0.5	8.0	viio	2.0	('E', 'G', 'C#')	E	G	C#	C#	C#	1.0	dim	(1, 4, 7)	D	D	7	None	False	['E', 'C#', 'E', 'C#', 'G', 'C#', 'G', 'C#']	0.0	0.0	0.0	0.5
4.125	0.25	2.0	['G4', 'C#5']	['A4']	[False, False]	2.0	0.5	8.0	viio	2.0	('E', 'G', 'C#')	E	G	C#	C#	C#	1.0	dim	(1, 4, 7)	D	D	7	None	False	['E', 'C#', 'E', 'C#', 'G', 'C#', 'G', 'C#']	0.0	0.0	0.0	0.5
