j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.25	0.0	['B4']	[]	[True]	0.0	0.25	0.0	i	0.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'B']	0.0	0.67	0.44	0.0
0.125	0.25	0.0	['B4']	[]	[False]	0.0	0.25	0.0	i	1.0	('B', 'D', 'F#')	B	D	F#	B	B	0.0	min	(2, 6, 11)	b	b	1	None	False	['B', 'B']	0.0	0.67	0.44	0.0
0.25	0.125	1.0	['C#3', 'B4', 'E5']	['m7', 'm3']	[True, True, True]	1.0	1.0	1.0	iiø7	0.0	('C#', 'E', 'G', 'B')	C#	E	G	B	C#	0.0	hdim7	(1, 4, 7, 11)	b	b	2	None	False	['C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E', 'C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E']	0.0	0.0	0.0	0.0
0.375	0.125	1.0	['C#3', 'B3', 'B4', 'E5']	['m7', 'm7', 'm3']	[False, True, False, False]	1.0	1.0	1.0	iiø7	1.0	('C#', 'E', 'G', 'B')	C#	E	G	B	C#	0.0	hdim7	(1, 4, 7, 11)	b	b	2	None	False	['C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E', 'C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E']	0.0	0.0	0.0	0.0
0.5	0.125	1.0	['C#3', 'E4', 'B4', 'E5']	['m3', 'm7', 'm3']	[False, True, False, False]	1.0	1.0	1.0	iiø7	2.0	('C#', 'E', 'G', 'B')	C#	E	G	B	C#	0.0	hdim7	(1, 4, 7, 11)	b	b	2	None	False	['C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E', 'C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E']	0.0	0.0	0.0	0.0
0.625	0.125	1.0	['C#3', 'G4', 'B4', 'E5']	['d5', 'm7', 'm3']	[False, True, False, False]	1.0	1.0	1.0	iiø7	2.0	('C#', 'E', 'G', 'B')	C#	E	G	B	C#	0.0	hdim7	(1, 4, 7, 11)	b	b	2	None	False	['C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E', 'C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E']	0.0	0.0	0.0	0.0
0.75	0.125	1.0	['C#3', 'B4', 'E5']	['m7', 'm3']	[True, True, True]	1.0	1.0	1.0	iiø7	3.0	('C#', 'E', 'G', 'B')	C#	E	G	B	C#	0.0	hdim7	(1, 4, 7, 11)	b	b	2	None	False	['C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E', 'C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E']	0.0	0.0	0.0	0.0
0.875	0.125	1.0	['C#3', 'B3', 'B4', 'E5']	['m7', 'm7', 'm3']	[False, True, False, False]	1.0	1.0	1.0	iiø7	3.0	('C#', 'E', 'G', 'B')	C#	E	G	B	C#	0.0	hdim7	(1, 4, 7, 11)	b	b	2	None	False	['C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E', 'C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E']	0.0	0.0	0.0	0.0
1.0	0.125	1.0	['C#3', 'E4', 'B4', 'E5']	['m3', 'm7', 'm3']	[False, True, True, False]	1.0	1.0	1.0	iiø7	3.0	('C#', 'E', 'G', 'B')	C#	E	G	B	C#	0.0	hdim7	(1, 4, 7, 11)	b	b	2	None	False	['C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E', 'C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E']	0.0	0.0	0.0	0.0
1.125	0.125	1.0	['C#3', 'G4', 'B4', 'E5']	['d5', 'm7', 'm3']	[False, True, False, False]	1.0	1.0	1.0	iiø7	3.0	('C#', 'E', 'G', 'B')	C#	E	G	B	C#	0.0	hdim7	(1, 4, 7, 11)	b	b	2	None	False	['C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E', 'C#', 'B', 'E', 'C#', 'B', 'B', 'E', 'C#', 'E', 'B', 'E', 'C#', 'G', 'B', 'E']	0.0	0.0	0.0	0.0
