j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	1.0	['G3', 'C4', 'E4']	['P4', 'M6']	[True, True, True]	1.0	4.0	0.0	I	0.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E']	0.04	0.0	0.0	0.5
0.125	0.5	1.0	['G3', 'C4', 'E4']	['P4', 'M6']	[False, False, False]	1.0	4.0	0.0	I	1.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E']	0.04	0.0	0.0	0.5
0.25	0.5	1.0	['G3', 'C4', 'E4']	['P4', 'M6']	[False, False, False]	1.0	4.0	0.0	I	2.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E']	0.04	0.0	0.0	0.5
0.375	0.5	1.0	['G3', 'C4', 'E4']	['P4', 'M6']	[False, False, False]	1.0	4.0	0.0	I	2.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E']	0.04	0.0	0.0	0.5
0.5	0.5	1.0	['G3', 'C4', 'E4']	['P4', 'M6']	[True, True, True]	1.0	4.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E']	0.04	0.0	0.0	0.5
0.625	0.5	1.0	['G3', 'C4', 'E4']	['P4', 'M6']	[False, False, False]	1.0	4.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E']	0.04	0.0	0.0	0.5
0.75	0.5	1.0	['G3', 'C4', 'E4']	['P4', 'M6']	[False, False, False]	1.0	4.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E']	0.04	0.0	0.0	0.5
0.875	0.5	1.0	['G3', 'C4', 'E4']	['P4', 'M6']	[False, False, False]	1.0	4.0	0.0	I	3.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E']	0.04	0.0	0.0	0.5
1.0	0.5	1.0	['G3', 'C4', 'E4']	['P4', 'M6']	[True, True, True]	1.0	4.0	0.0	I	4.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E']	0.04	0.0	0.0	0.5
1.125	0.5	1.0	['G3', 'C4', 'E4']	['P4', 'M6']	[False, False, False]	1.0	4.0	0.0	I	4.0	('C', 'E', 'G')	C	E	G	C	C	0.0	maj	(0, 4, 7)	C	C	1	None	False	['G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'D', 'E', 'C', 'C', 'G', 'C', 'E', 'C', 'C', 'G', 'C', 'E']	0.04	0.0	0.0	0.5
