j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.125	0.0	['C4', 'E5']	['M3']	[True, True]	0.0	0.5	0.0	i	0.0	('C', 'E', 'A')	C	E	A	A	A	1.0	min	(0, 4, 9)	a	a	1	None	False	['C', 'E', 'E', 'C', 'C', 'E', 'E', 'C', 'E']	0.0	0.33	0.11	0.5
0.125	0.125	0.0	['E4', 'C5']	['m6']	[True, True]	0.0	0.5	0.0	i	1.0	('C', 'E', 'A')	C	E	A	A	A	1.0	min	(0, 4, 9)	a	a	1	None	False	['C', 'E', 'E', 'C', 'C', 'E', 'E', 'C', 'E']	0.0	0.33	0.11	0.5
0.25	0.125	0.0	['C4', 'E5']	['M3']	[True, True]	0.0	0.5	0.0	i	2.0	('C', 'E', 'A')	C	E	A	A	A	1.0	min	(0, 4, 9)	a	a	1	None	False	['C', 'E', 'E', 'C', 'C', 'E', 'E', 'C', 'E']	0.0	0.33	0.11	0.5
0.375	0.125	0.0	['E4', 'C5', 'E5']	['m6', 'P1']	[True, True, False]	0.0	0.5	0.0	i	2.0	('C', 'E', 'A')	C	E	A	A	A	1.0	min	(0, 4, 9)	a	a	1	None	False	['C', 'E', 'E', 'C', 'C', 'E', 'E', 'C', 'E']	0.0	0.33	0.11	0.5
0.5	0.125	1.0	['C4', 'E5']	['M3']	[True, True]	1.0	0.5	1.0	i	0.0	('C', 'E', 'A')	C	E	A	A	A	1.0	min	(0, 4, 9)	a	a	1	None	False	['C', 'E', 'E', 'C', 'E', 'C', 'E', 'E', 'C', 'E']	0.0	0.33	0.11	0.5
0.625	0.125	1.0	['E4', 'C5', 'E5']	['m6', 'P1']	[True, True, False]	1.0	0.5	1.0	i	1.0	('C', 'E', 'A')	C	E	A	A	A	1.0	min	(0, 4, 9)	a	a	1	None	False	['C', 'E', 'E', 'C', 'E', 'C', 'E', 'E', 'C', 'E']	0.0	0.33	0.11	0.5
0.75	0.125	1.0	['C4', 'E5']	['M3']	[True, False]	1.0	0.5	1.0	i	2.0	('C', 'E', 'A')	C	E	A	A	A	1.0	min	(0, 4, 9)	a	a	1	None	False	['C', 'E', 'E', 'C', 'E', 'C', 'E', 'E', 'C', 'E']	0.0	0.33	0.11	0.5
0.875	0.125	1.0	['E4', 'C5', 'E5']	['m6', 'P1']	[True, True, False]	1.0	0.5	1.0	i	2.0	('C', 'E', 'A')	C	E	A	A	A	1.0	min	(0, 4, 9)	a	a	1	None	False	['C', 'E', 'E', 'C', 'E', 'C', 'E', 'E', 'C', 'E']	0.0	0.33	0.11	0.5
1.0	0.125	1.0	['B3', 'D5']	['m3']	[True, True]	1.0	0.5	2.0	viio	0.0	('B', 'D', 'G#')	B	D	G#	G#	G#	1.0	dim	(2, 8, 11)	a	a	#7	None	False	['B', 'D', 'D', 'B', 'D', 'B', 'D', 'D', 'B', 'D']	0.0	0.33	0.11	0.5
1.125	0.125	1.0	['D4', 'B4', 'D5']	['M6', 'P1']	[True, True, False]	1.0	0.5	2.0	viio	1.0	('B', 'D', 'G#')	B	D	G#	G#	G#	1.0	dim	(2, 8, 11)	a	a	#7	None	False	['B', 'D', 'D', 'B', 'D', 'B', 'D', 'D', 'B', 'D']	0.0	0.33	0.11	0.5
