j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.25	0.0	['G4']	[]	[True]	0.0	0.5	0.0	V7	0.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['G', 'G', 'A', 'A']	0.0	0.5	0.25	0.5
0.125	0.25	0.0	['G4']	[]	[False]	0.0	0.5	0.0	V7	1.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['G', 'G', 'A', 'A']	0.0	0.5	0.25	0.5
0.25	0.25	0.0	['A4']	[]	[True]	0.0	0.5	0.0	V7	2.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['G', 'G', 'A', 'A']	0.0	0.5	0.25	0.5
0.375	0.25	0.0	['A4']	[]	[False]	0.0	0.5	0.0	V7	2.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['G', 'G', 'A', 'A']	0.0	0.5	0.25	0.5
0.5	0.25	1.0	['A2', 'B-4']	['m2']	[True, True]	1.0	1.5	1.0	V7	0.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['A', 'B-', 'A', 'B-', 'A', 'A', 'A', 'A', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'C#', 'G', 'B-', 'C#', 'E', 'C#']	0.25	0.0	0.06	0.67
0.625	0.25	1.0	['A2', 'B-4']	['m2']	[False, False]	1.0	1.5	1.0	V7	1.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['A', 'B-', 'A', 'B-', 'A', 'A', 'A', 'A', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'C#', 'G', 'B-', 'C#', 'E', 'C#']	0.25	0.0	0.06	0.67
0.75	0.25	1.0	['A2', 'A4']	['P1']	[False, True]	1.0	1.5	1.0	V7	2.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['A', 'B-', 'A', 'B-', 'A', 'A', 'A', 'A', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'C#', 'G', 'B-', 'C#', 'E', 'C#']	0.25	0.0	0.06	0.67
0.875	0.25	1.0	['A2', 'A4']	['P1']	[False, False]	1.0	1.5	1.0	V7	2.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['A', 'B-', 'A', 'B-', 'A', 'A', 'A', 'A', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'C#', 'G', 'B-', 'C#', 'E', 'C#']	0.25	0.0	0.06	0.67
1.0	0.25	1.0	['G3', 'B-3', 'C#4', 'E4', 'G4']	['m3', 'A4', 'M6', 'P1']	[True, True, True, True, True]	1.0	1.5	1.0	V7	3.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['A', 'B-', 'A', 'B-', 'A', 'A', 'A', 'A', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'C#', 'G', 'B-', 'C#', 'E', 'C#']	0.25	0.0	0.06	0.67
1.125	0.25	1.0	['G3', 'B-3', 'C#4', 'E4', 'G4']	['m3', 'A4', 'M6', 'P1']	[False, False, False, False, False]	1.0	1.5	1.0	V7	3.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['A', 'B-', 'A', 'B-', 'A', 'A', 'A', 'A', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'C#', 'G', 'B-', 'C#', 'E', 'C#']	0.25	0.0	0.06	0.67
1.25	0.25	1.0	['G3', 'B-3', 'C#4', 'E4', 'E5']	['m3', 'A4', 'M6', 'M6']	[True, True, True, True, True]	1.0	1.5	1.0	V7	3.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['A', 'B-', 'A', 'B-', 'A', 'A', 'A', 'A', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'C#', 'G', 'B-', 'C#', 'E', 'C#']	0.25	0.0	0.06	0.67
1.375	0.25	1.0	['G3', 'B-3', 'C#4', 'E4', 'E5']	['m3', 'A4', 'M6', 'M6']	[False, False, False, False, False]	1.0	1.5	1.0	V7	3.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['A', 'B-', 'A', 'B-', 'A', 'A', 'A', 'A', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'C#', 'G', 'B-', 'C#', 'E', 'C#']	0.25	0.0	0.06	0.67
1.5	0.25	1.0	['G3', 'B-3', 'C#4', 'E4', 'D5']	['m3', 'A4', 'M6', 'P5']	[True, True, True, True, True]	1.0	1.5	1.0	V7	4.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['A', 'B-', 'A', 'B-', 'A', 'A', 'A', 'A', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'C#', 'G', 'B-', 'C#', 'E', 'C#']	0.25	0.0	0.06	0.67
1.625	0.25	1.0	['G3', 'B-3', 'C#4', 'E4', 'D5']	['m3', 'A4', 'M6', 'P5']	[False, False, False, False, False]	1.0	1.5	1.0	V7	4.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['A', 'B-', 'A', 'B-', 'A', 'A', 'A', 'A', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'C#', 'G', 'B-', 'C#', 'E', 'C#']	0.25	0.0	0.06	0.67
1.75	0.25	1.0	['G3', 'B-3', 'C#4', 'E4', 'C#5']	['m3', 'A4', 'M6', 'A4']	[False, False, False, False, True]	1.0	1.5	1.0	V7	4.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['A', 'B-', 'A', 'B-', 'A', 'A', 'A', 'A', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'C#', 'G', 'B-', 'C#', 'E', 'C#']	0.25	0.0	0.06	0.67
1.875	0.25	1.0	['G3', 'B-3', 'C#4', 'E4', 'C#5']	['m3', 'A4', 'M6', 'A4']	[False, False, False, False, False]	1.0	1.5	1.0	V7	4.0	('A', 'C#', 'E', 'G')	A	C#	E	G	A	0.0	7	(1, 4, 7, 9)	d	d	5	None	False	['A', 'B-', 'A', 'B-', 'A', 'A', 'A', 'A', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'G', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'E', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'D', 'G', 'B-', 'C#', 'E', 'C#', 'G', 'B-', 'C#', 'E', 'C#']	0.25	0.0	0.06	0.67
2.0	0.25	2.0	['A2', 'D5']	['P4']	[True, True]	2.0	1.5	2.0	i	0.0	('A', 'D', 'F')	A	D	F	D	D	2.0	min	(2, 5, 9)	d	d	1	None	False	['A', 'D', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F']	0.1	0.0	0.01	0.0
2.125	0.25	2.0	['A2', 'D5']	['P4']	[False, False]	2.0	1.5	2.0	i	1.0	('A', 'D', 'F')	A	D	F	D	D	2.0	min	(2, 5, 9)	d	d	1	None	False	['A', 'D', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F']	0.1	0.0	0.01	0.0
2.25	0.25	2.0	['A2', 'A5']	['P1']	[False, True]	2.0	1.5	2.0	i	2.0	('A', 'D', 'F')	A	D	F	D	D	2.0	min	(2, 5, 9)	d	d	1	None	False	['A', 'D', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F']	0.1	0.0	0.01	0.0
2.375	0.25	2.0	['A2', 'A5']	['P1']	[False, False]	2.0	1.5	2.0	i	2.0	('A', 'D', 'F')	A	D	F	D	D	2.0	min	(2, 5, 9)	d	d	1	None	False	['A', 'D', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F']	0.1	0.0	0.01	0.0
2.5	0.25	2.0	['A3', 'D4', 'F4', 'G5']	['P4', 'm6', 'm7']	[True, True, True, True]	2.0	1.5	2.0	i	3.0	('A', 'D', 'F')	A	D	F	D	D	2.0	min	(2, 5, 9)	d	d	1	None	False	['A', 'D', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F']	0.1	0.0	0.01	0.0
2.625	0.25	2.0	['A3', 'D4', 'F4', 'G5']	['P4', 'm6', 'm7']	[False, False, False, False]	2.0	1.5	2.0	i	3.0	('A', 'D', 'F')	A	D	F	D	D	2.0	min	(2, 5, 9)	d	d	1	None	False	['A', 'D', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F']	0.1	0.0	0.01	0.0
2.75	0.25	2.0	['A3', 'D4', 'F4', 'F5']	['P4', 'm6', 'm6']	[True, True, True, True]	2.0	1.5	2.0	i	3.0	('A', 'D', 'F')	A	D	F	D	D	2.0	min	(2, 5, 9)	d	d	1	None	False	['A', 'D', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F']	0.1	0.0	0.01	0.0
2.875	0.25	2.0	['A3', 'D4', 'F4', 'F5']	['P4', 'm6', 'm6']	[False, False, False, False]	2.0	1.5	2.0	i	3.0	('A', 'D', 'F')	A	D	F	D	D	2.0	min	(2, 5, 9)	d	d	1	None	False	['A', 'D', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F']	0.1	0.0	0.01	0.0
3.0	0.25	2.0	['A3', 'D4', 'F4', 'E5']	['P4', 'm6', 'P5']	[True, True, True, True]	2.0	1.5	2.0	i	4.0	('A', 'D', 'F')	A	D	F	D	D	2.0	min	(2, 5, 9)	d	d	1	None	False	['A', 'D', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F']	0.1	0.0	0.01	0.0
3.125	0.25	2.0	['A3', 'D4', 'F4', 'E5']	['P4', 'm6', 'P5']	[False, False, False, False]	2.0	1.5	2.0	i	4.0	('A', 'D', 'F')	A	D	F	D	D	2.0	min	(2, 5, 9)	d	d	1	None	False	['A', 'D', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F']	0.1	0.0	0.01	0.0
3.25	0.25	2.0	['A3', 'D4', 'F4', 'F5']	['P4', 'm6', 'm6']	[False, False, False, True]	2.0	1.5	2.0	i	4.0	('A', 'D', 'F')	A	D	F	D	D	2.0	min	(2, 5, 9)	d	d	1	None	False	['A', 'D', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F']	0.1	0.0	0.01	0.0
3.375	0.25	2.0	['A3', 'D4', 'F4', 'F5']	['P4', 'm6', 'm6']	[False, False, False, False]	2.0	1.5	2.0	i	4.0	('A', 'D', 'F')	A	D	F	D	D	2.0	min	(2, 5, 9)	d	d	1	None	False	['A', 'D', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'G', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'E', 'A', 'D', 'F', 'F', 'A', 'D', 'F', 'F']	0.1	0.0	0.01	0.0
3.5	0.25	3.0	['A2', 'E5']	['P5']	[True, True]	3.0	1.5	3.0	viio7	0.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	d	a	#7	5	False	['A', 'E', 'A', 'E', 'A', 'D', 'A', 'D', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'F', 'G#', 'B', 'F', 'F']	0.25	0.0	0.06	0.33
3.625	0.25	3.0	['A2', 'E5']	['P5']	[False, False]	3.0	1.5	3.0	viio7	1.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	d	a	#7	5	False	['A', 'E', 'A', 'E', 'A', 'D', 'A', 'D', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'F', 'G#', 'B', 'F', 'F']	0.25	0.0	0.06	0.33
3.75	0.25	3.0	['A2', 'D5']	['P4']	[False, True]	3.0	1.5	3.0	viio7	2.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	d	a	#7	5	False	['A', 'E', 'A', 'E', 'A', 'D', 'A', 'D', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'F', 'G#', 'B', 'F', 'F']	0.25	0.0	0.06	0.33
3.875	0.25	3.0	['A2', 'D5']	['P4']	[False, False]	3.0	1.5	3.0	viio7	2.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	d	a	#7	5	False	['A', 'E', 'A', 'E', 'A', 'D', 'A', 'D', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'F', 'G#', 'B', 'F', 'F']	0.25	0.0	0.06	0.33
4.0	0.25	3.0	['G#3', 'B3', 'F4', 'C#5']	['m3', 'd7', 'P4']	[True, True, True, True]	3.0	1.5	3.0	viio7	3.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	d	a	#7	5	False	['A', 'E', 'A', 'E', 'A', 'D', 'A', 'D', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'F', 'G#', 'B', 'F', 'F']	0.25	0.0	0.06	0.33
4.125	0.25	3.0	['G#3', 'B3', 'F4', 'C#5']	['m3', 'd7', 'P4']	[False, False, False, False]	3.0	1.5	3.0	viio7	3.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	d	a	#7	5	False	['A', 'E', 'A', 'E', 'A', 'D', 'A', 'D', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'F', 'G#', 'B', 'F', 'F']	0.25	0.0	0.06	0.33
4.25	0.25	3.0	['G#3', 'B3', 'F4', 'D5']	['m3', 'd7', 'd5']	[True, True, True, True]	3.0	1.5	3.0	viio7	3.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	d	a	#7	5	False	['A', 'E', 'A', 'E', 'A', 'D', 'A', 'D', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'F', 'G#', 'B', 'F', 'F']	0.25	0.0	0.06	0.33
4.375	0.25	3.0	['G#3', 'B3', 'F4', 'D5']	['m3', 'd7', 'd5']	[False, False, False, False]	3.0	1.5	3.0	viio7	3.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	d	a	#7	5	False	['A', 'E', 'A', 'E', 'A', 'D', 'A', 'D', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'F', 'G#', 'B', 'F', 'F']	0.25	0.0	0.06	0.33
4.5	0.25	3.0	['G#3', 'B3', 'F4', 'E5']	['m3', 'd7', 'm6']	[True, True, True, True]	3.0	1.5	3.0	viio7	4.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	d	a	#7	5	False	['A', 'E', 'A', 'E', 'A', 'D', 'A', 'D', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'F', 'G#', 'B', 'F', 'F']	0.25	0.0	0.06	0.33
4.625	0.25	3.0	['G#3', 'B3', 'F4', 'E5']	['m3', 'd7', 'm6']	[False, False, False, False]	3.0	1.5	3.0	viio7	4.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	d	a	#7	5	False	['A', 'E', 'A', 'E', 'A', 'D', 'A', 'D', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'F', 'G#', 'B', 'F', 'F']	0.25	0.0	0.06	0.33
4.75	0.25	3.0	['G#3', 'B3', 'F4', 'F5']	['m3', 'd7', 'd7']	[False, False, False, True]	3.0	1.5	3.0	viio7	4.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	d	a	#7	5	False	['A', 'E', 'A', 'E', 'A', 'D', 'A', 'D', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'F', 'G#', 'B', 'F', 'F']	0.25	0.0	0.06	0.33
4.875	0.25	3.0	['G#3', 'B3', 'F4', 'F5']	['m3', 'd7', 'd7']	[False, False, False, False]	3.0	1.5	3.0	viio7	4.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	d	a	#7	5	False	['A', 'E', 'A', 'E', 'A', 'D', 'A', 'D', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'C#', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'D', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'E', 'G#', 'B', 'F', 'F', 'G#', 'B', 'F', 'F']	0.25	0.0	0.06	0.33
