j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	1.0	['D-4', 'F4', 'A-4']	['M3', 'P5']	[True, True, True]	1.0	2.0	0.0	I	0.0	('D-', 'F', 'A-')	D-	F	A-	D-	D-	0.0	maj	(1, 5, 8)	D-	D-	1	None	False	['D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-']	0.0	0.0	0.0	0.5
0.125	0.5	1.0	['D-4', 'F4', 'A-4']	['M3', 'P5']	[False, False, False]	1.0	2.0	0.0	I	1.0	('D-', 'F', 'A-')	D-	F	A-	D-	D-	0.0	maj	(1, 5, 8)	D-	D-	1	None	False	['D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-']	0.0	0.0	0.0	0.5
0.25	0.5	1.0	['D-4', 'F4', 'A-4']	['M3', 'P5']	[False, False, False]	1.0	2.0	0.0	I	2.0	('D-', 'F', 'A-')	D-	F	A-	D-	D-	0.0	maj	(1, 5, 8)	D-	D-	1	None	False	['D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-']	0.0	0.0	0.0	0.5
0.375	0.5	1.0	['D-4', 'F4', 'A-4']	['M3', 'P5']	[False, False, False]	1.0	2.0	0.0	I	2.0	('D-', 'F', 'A-')	D-	F	A-	D-	D-	0.0	maj	(1, 5, 8)	D-	D-	1	None	False	['D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-']	0.0	0.0	0.0	0.5
0.5	0.5	1.0	['D-2', 'D-4', 'F4', 'A-4']	['P1', 'M3', 'P5']	[True, False, False, False]	1.0	2.0	0.0	I	3.0	('D-', 'F', 'A-')	D-	F	A-	D-	D-	0.0	maj	(1, 5, 8)	D-	D-	1	None	False	['D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-']	0.0	0.0	0.0	0.5
0.625	0.5	1.0	['D-2', 'D-4', 'F4', 'A-4']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	2.0	0.0	I	3.0	('D-', 'F', 'A-')	D-	F	A-	D-	D-	0.0	maj	(1, 5, 8)	D-	D-	1	None	False	['D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-']	0.0	0.0	0.0	0.5
0.75	0.5	1.0	['D-2', 'D-4', 'F4', 'A-4']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	2.0	0.0	I	3.0	('D-', 'F', 'A-')	D-	F	A-	D-	D-	0.0	maj	(1, 5, 8)	D-	D-	1	None	False	['D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-']	0.0	0.0	0.0	0.5
0.875	0.5	1.0	['D-2', 'D-4', 'F4', 'A-4']	['P1', 'M3', 'P5']	[False, False, False, False]	1.0	2.0	0.0	I	3.0	('D-', 'F', 'A-')	D-	F	A-	D-	D-	0.0	maj	(1, 5, 8)	D-	D-	1	None	False	['D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-']	0.0	0.0	0.0	0.5
1.0	0.5	1.0	['A-2', 'D-4', 'F4', 'A-4']	['P4', 'M6', 'P1']	[True, False, False, False]	1.0	2.0	0.0	I	4.0	('D-', 'F', 'A-')	D-	F	A-	D-	D-	0.0	maj	(1, 5, 8)	D-	D-	1	None	False	['D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-']	0.0	0.0	0.0	0.5
1.125	0.5	1.0	['A-2', 'D-4', 'F4', 'A-4']	['P4', 'M6', 'P1']	[False, False, False, False]	1.0	2.0	0.0	I	4.0	('D-', 'F', 'A-')	D-	F	A-	D-	D-	0.0	maj	(1, 5, 8)	D-	D-	1	None	False	['D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'D-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-', 'F', 'A-', 'D-', 'F', 'A-']	0.0	0.0	0.0	0.5
