j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	1.0	['G#3', 'D5', 'F5']	['d5', 'd7']	[True, True, True]	1.0	4.0	0.0	viio7	0.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'A', 'A', 'A', 'A', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'C', 'C', 'C', 'D', 'F', 'C', 'D', 'F', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B']	0.14	0.0	0.02	0.88
0.125	0.5	1.0	['G#3', 'D5', 'F5']	['d5', 'd7']	[False, False, False]	1.0	4.0	0.0	viio7	1.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'A', 'A', 'A', 'A', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'C', 'C', 'C', 'D', 'F', 'C', 'D', 'F', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B']	0.14	0.0	0.02	0.88
0.25	0.5	1.0	['G#3', 'D5', 'F5']	['d5', 'd7']	[False, False, False]	1.0	4.0	0.0	viio7	2.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'A', 'A', 'A', 'A', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'C', 'C', 'C', 'D', 'F', 'C', 'D', 'F', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B']	0.14	0.0	0.02	0.88
0.375	0.5	1.0	['G#3', 'D5', 'F5']	['d5', 'd7']	[False, False, False]	1.0	4.0	0.0	viio7	2.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'A', 'A', 'A', 'A', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'C', 'C', 'C', 'D', 'F', 'C', 'D', 'F', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B']	0.14	0.0	0.02	0.88
0.5	0.5	1.0	['A3']	[]	[True]	1.0	4.0	0.0	viio7	3.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'A', 'A', 'A', 'A', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'C', 'C', 'C', 'D', 'F', 'C', 'D', 'F', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B']	0.14	0.0	0.02	0.88
0.625	0.5	1.0	['A3']	[]	[False]	1.0	4.0	0.0	viio7	3.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'A', 'A', 'A', 'A', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'C', 'C', 'C', 'D', 'F', 'C', 'D', 'F', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B']	0.14	0.0	0.02	0.88
0.75	0.5	1.0	['A3']	[]	[False]	1.0	4.0	0.0	viio7	3.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'A', 'A', 'A', 'A', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'C', 'C', 'C', 'D', 'F', 'C', 'D', 'F', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B']	0.14	0.0	0.02	0.88
0.875	0.5	1.0	['A3']	[]	[False]	1.0	4.0	0.0	viio7	3.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'A', 'A', 'A', 'A', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'C', 'C', 'C', 'D', 'F', 'C', 'D', 'F', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B']	0.14	0.0	0.02	0.88
1.0	0.5	1.0	['B3', 'D5', 'F5']	['m3', 'd5']	[True, True, True]	1.0	4.0	0.0	viio7	4.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'A', 'A', 'A', 'A', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'C', 'C', 'C', 'D', 'F', 'C', 'D', 'F', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B']	0.14	0.0	0.02	0.88
1.125	0.5	1.0	['B3', 'D5', 'F5']	['m3', 'd5']	[False, False, False]	1.0	4.0	0.0	viio7	4.0	('G#', 'B', 'D', 'F')	G#	B	D	F	G#	0.0	dim7	(2, 5, 8, 11)	a	a	#7	None	False	['G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'G#', 'D', 'F', 'A', 'A', 'A', 'A', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'B', 'D', 'F', 'C', 'C', 'C', 'D', 'F', 'C', 'D', 'F', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'F', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B', 'D', 'G#', 'B']	0.14	0.0	0.02	0.88
