j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	0.0	['A4']	[]	[True]	0.0	0.5	0.0	V	0.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	d	d	5	None	False	['A', 'A', 'A', 'A']	0.0	0.67	0.44	0.0
0.125	0.5	0.0	['A4']	[]	[False]	0.0	0.5	0.0	V	1.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	d	d	5	None	False	['A', 'A', 'A', 'A']	0.0	0.67	0.44	0.0
0.25	0.5	0.0	['A4']	[]	[False]	0.0	0.5	0.0	V	2.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	d	d	5	None	False	['A', 'A', 'A', 'A']	0.0	0.67	0.44	0.0
0.375	0.5	0.0	['A4']	[]	[False]	0.0	0.5	0.0	V	2.0	('A', 'C#', 'E')	A	C#	E	A	A	0.0	maj	(1, 4, 9)	d	d	5	None	False	['A', 'A', 'A', 'A']	0.0	0.67	0.44	0.0
0.5	0.5	1.0	['D2', 'F3', 'A3', 'A4']	['m3', 'P5', 'P5']	[True, True, True, True]	1.0	0.5	1.0	i	0.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	d	d	1	None	False	['D', 'F', 'A', 'A', 'D', 'F', 'A', 'A', 'D', 'F', 'A', 'A', 'D', 'F', 'A', 'A']	0.0	0.0	0.0	0.0
0.625	0.5	1.0	['D2', 'F3', 'A3', 'A4']	['m3', 'P5', 'P5']	[False, False, False, False]	1.0	0.5	1.0	i	1.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	d	d	1	None	False	['D', 'F', 'A', 'A', 'D', 'F', 'A', 'A', 'D', 'F', 'A', 'A', 'D', 'F', 'A', 'A']	0.0	0.0	0.0	0.0
0.75	0.5	1.0	['D2', 'F3', 'A3', 'A4']	['m3', 'P5', 'P5']	[False, False, False, False]	1.0	0.5	1.0	i	2.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	d	d	1	None	False	['D', 'F', 'A', 'A', 'D', 'F', 'A', 'A', 'D', 'F', 'A', 'A', 'D', 'F', 'A', 'A']	0.0	0.0	0.0	0.0
0.875	0.5	1.0	['D2', 'F3', 'A3', 'A4']	['m3', 'P5', 'P5']	[False, False, False, False]	1.0	0.5	1.0	i	2.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	d	d	1	None	False	['D', 'F', 'A', 'A', 'D', 'F', 'A', 'A', 'D', 'F', 'A', 'A', 'D', 'F', 'A', 'A']	0.0	0.0	0.0	0.0
1.0	0.5	1.0	['A2', 'F#3', 'D4', 'D5']	['M6', 'P4', 'P4']	[True, True, True, True]	1.0	0.5	2.0	I	0.0	('A', 'D', 'F#')	A	D	F#	D	D	2.0	maj	(2, 6, 9)	d	D	1	None	False	['A', 'F#', 'D', 'D', 'A', 'F#', 'D', 'D', 'A', 'F#', 'D', 'D', 'A', 'F#', 'D', 'D']	0.0	0.0	0.0	0.0
1.125	0.5	1.0	['A2', 'F#3', 'D4', 'D5']	['M6', 'P4', 'P4']	[False, False, False, False]	1.0	0.5	2.0	I	1.0	('A', 'D', 'F#')	A	D	F#	D	D	2.0	maj	(2, 6, 9)	d	D	1	None	False	['A', 'F#', 'D', 'D', 'A', 'F#', 'D', 'D', 'A', 'F#', 'D', 'D', 'A', 'F#', 'D', 'D']	0.0	0.0	0.0	0.0
1.25	0.5	1.0	['A2', 'F#3', 'D4', 'D5']	['M6', 'P4', 'P4']	[False, False, False, False]	1.0	0.5	2.0	I	2.0	('A', 'D', 'F#')	A	D	F#	D	D	2.0	maj	(2, 6, 9)	d	D	1	None	False	['A', 'F#', 'D', 'D', 'A', 'F#', 'D', 'D', 'A', 'F#', 'D', 'D', 'A', 'F#', 'D', 'D']	0.0	0.0	0.0	0.0
