j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.125	0.0	['D5']	[]	[True]	0.0	0.5	0.0	V	0.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'E', 'F#', 'G']	0.5	0.33	0.69	0.75
0.125	0.125	0.0	['E5']	[]	[True]	0.0	0.5	0.0	V	1.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'E', 'F#', 'G']	0.5	0.33	0.69	0.75
0.25	0.125	0.0	['F#5']	[]	[True]	0.0	0.5	0.0	V	2.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'E', 'F#', 'G']	0.5	0.33	0.69	0.75
0.375	0.125	0.0	['G5']	[]	[True]	0.0	0.5	0.0	V	2.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'E', 'F#', 'G']	0.5	0.33	0.69	0.75
0.5	0.125	1.0	['G2', 'A5']	['M2']	[True, True]	1.0	0.25	1.0	I	0.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'A', 'G', 'B']	0.25	0.33	0.34	0.0
0.625	0.125	1.0	['G2', 'B5']	['M3']	[False, True]	1.0	0.25	1.0	I	1.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'A', 'G', 'B']	0.25	0.33	0.34	0.0
0.75	0.125	1.0	['D3', 'A3', 'A5']	['P5', 'P5']	[True, True, True]	1.0	0.75	2.0	V	0.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A', 'A', 'D', 'A', 'F#', 'D', 'E', 'F#', 'G']	0.2	0.0	0.04	0.5
0.875	0.125	1.0	['D3', 'A3', 'F#5']	['P5', 'M3']	[False, False, True]	1.0	0.75	2.0	V	1.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A', 'A', 'D', 'A', 'F#', 'D', 'E', 'F#', 'G']	0.2	0.0	0.04	0.5
1.0	0.125	1.0	['D5']	[]	[True]	1.0	0.75	2.0	V	2.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A', 'A', 'D', 'A', 'F#', 'D', 'E', 'F#', 'G']	0.2	0.0	0.04	0.5
1.125	0.125	1.0	['E5']	[]	[True]	1.0	0.75	2.0	V	2.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A', 'A', 'D', 'A', 'F#', 'D', 'E', 'F#', 'G']	0.2	0.0	0.04	0.5
1.25	0.125	1.0	['F#5']	[]	[True]	1.0	0.75	2.0	V	3.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A', 'A', 'D', 'A', 'F#', 'D', 'E', 'F#', 'G']	0.2	0.0	0.04	0.5
1.375	0.125	1.0	['G5']	[]	[True]	1.0	0.75	2.0	V	3.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A', 'A', 'D', 'A', 'F#', 'D', 'E', 'F#', 'G']	0.2	0.0	0.04	0.5
1.5	0.125	2.0	['G2', 'A5']	['M2']	[True, True]	2.0	0.25	3.0	I	0.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'A', 'G', 'B']	0.25	0.33	0.34	0.0
1.625	0.125	2.0	['G2', 'B5']	['M3']	[False, True]	2.0	0.25	3.0	I	1.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'A', 'G', 'B']	0.25	0.33	0.34	0.0
1.75	0.125	2.0	['D3', 'A3', 'A5']	['P5', 'P5']	[True, True, True]	2.0	0.75	4.0	V	0.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A', 'A', 'D', 'A', 'F#', 'D', 'E', 'F#', 'G']	0.2	0.0	0.04	0.5
1.875	0.125	2.0	['D3', 'A3', 'F#5']	['P5', 'M3']	[False, False, True]	2.0	0.75	4.0	V	1.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A', 'A', 'D', 'A', 'F#', 'D', 'E', 'F#', 'G']	0.2	0.0	0.04	0.5
2.0	0.125	2.0	['D5']	[]	[True]	2.0	0.75	4.0	V	2.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A', 'A', 'D', 'A', 'F#', 'D', 'E', 'F#', 'G']	0.2	0.0	0.04	0.5
2.125	0.125	2.0	['E5']	[]	[True]	2.0	0.75	4.0	V	2.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A', 'A', 'D', 'A', 'F#', 'D', 'E', 'F#', 'G']	0.2	0.0	0.04	0.5
2.25	0.125	2.0	['F#5']	[]	[True]	2.0	0.75	4.0	V	3.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A', 'A', 'D', 'A', 'F#', 'D', 'E', 'F#', 'G']	0.2	0.0	0.04	0.5
2.375	0.125	2.0	['G5']	[]	[True]	2.0	0.75	4.0	V	3.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A', 'A', 'D', 'A', 'F#', 'D', 'E', 'F#', 'G']	0.2	0.0	0.04	0.5
2.5	0.125	3.0	['G2', 'A5']	['M2']	[True, True]	3.0	0.25	5.0	I	0.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'A', 'G', 'B']	0.25	0.33	0.34	0.0
2.625	0.125	3.0	['G2', 'B5']	['M3']	[False, True]	3.0	0.25	5.0	I	1.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'A', 'G', 'B']	0.25	0.33	0.34	0.0
2.75	0.125	3.0	['D3', 'A5']	['P5']	[True, True]	3.0	0.25	6.0	V	0.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A', 'D', 'F#']	0.0	0.0	0.0	0.0
2.875	0.125	3.0	['D3', 'F#5']	['M3']	[False, True]	3.0	0.25	6.0	V	1.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A', 'D', 'F#']	0.0	0.0	0.0	0.0
3.0	0.125	3.0	['G2', 'A#5']	['A2']	[True, True]	3.0	0.25	7.0	I	0.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'A#', 'G', 'B']	0.25	0.33	0.34	0.0
3.125	0.125	3.0	['G2', 'B5']	['M3']	[False, True]	3.0	0.25	7.0	I	1.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'A#', 'G', 'B']	0.25	0.33	0.34	0.0
3.25	0.125	3.0	['D3', 'A#5']	['A5']	[True, True]	3.0	0.25	8.0	V	0.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A#', 'D', 'F#']	0.25	0.33	0.34	0.0
3.375	0.125	3.0	['D3', 'F#5']	['M3']	[False, True]	3.0	0.25	8.0	V	1.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A#', 'D', 'F#']	0.25	0.33	0.34	0.0
3.5	0.125	4.0	['G2', 'A#5']	['A2']	[True, True]	4.0	0.25	9.0	I	0.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'A#', 'G', 'B']	0.25	0.33	0.34	0.0
3.625	0.125	4.0	['G2', 'B5']	['M3']	[False, True]	4.0	0.25	9.0	I	1.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'A#', 'G', 'B']	0.25	0.33	0.34	0.0
3.75	0.125	4.0	['D3', 'A#5']	['A5']	[True, True]	4.0	0.25	10.0	V	0.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A#', 'D', 'F#']	0.25	0.33	0.34	0.0
3.875	0.125	4.0	['D3', 'F#5']	['M3']	[False, True]	4.0	0.25	10.0	V	1.0	('D', 'F#', 'A')	D	F#	A	D	D	0.0	maj	(2, 6, 9)	G	G	5	None	False	['D', 'A#', 'D', 'F#']	0.25	0.33	0.34	0.0
4.0	0.125	4.0	['G2', 'D5', 'G5']	['P5', 'P1']	[True, True, True]	4.0	0.5	11.0	I	0.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'D', 'G', 'G', 'D', 'A', 'D', 'D', 'B', 'D', 'D', 'C']	0.17	0.0	0.03	0.5
4.125	0.125	4.0	['G2', 'D5', 'A5']	['P5', 'M2']	[False, False, True]	4.0	0.5	11.0	I	1.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'D', 'G', 'G', 'D', 'A', 'D', 'D', 'B', 'D', 'D', 'C']	0.17	0.0	0.03	0.5
4.25	0.125	4.0	['D3', 'D5', 'B5']	['P1', 'M6']	[True, True, True]	4.0	0.5	11.0	I	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'D', 'G', 'G', 'D', 'A', 'D', 'D', 'B', 'D', 'D', 'C']	0.17	0.0	0.03	0.5
4.375	0.125	4.0	['D3', 'D5', 'C6']	['P1', 'm7']	[False, False, True]	4.0	0.5	11.0	I	2.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'D', 'G', 'G', 'D', 'A', 'D', 'D', 'B', 'D', 'D', 'C']	0.17	0.0	0.03	0.5
