j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	1.0	['E2', 'E4', 'G4', 'B4']	['P1', 'm3', 'P5']	[True, True, True, True]	1.0	4.0	0.0	i	0.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	e	e	1	None	False	['E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G']	0.0	0.0	0.0	0.0
0.125	1.0	1.0	['E2', 'E4', 'G4', 'B4']	['P1', 'm3', 'P5']	[False, False, False, False]	1.0	4.0	0.0	i	1.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	e	e	1	None	False	['E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G']	0.0	0.0	0.0	0.0
0.25	1.0	1.0	['E2', 'E4', 'G4', 'B4']	['P1', 'm3', 'P5']	[False, False, False, False]	1.0	4.0	0.0	i	2.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	e	e	1	None	False	['E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G']	0.0	0.0	0.0	0.0
0.375	1.0	1.0	['E2', 'E4', 'G4', 'B4']	['P1', 'm3', 'P5']	[False, False, False, False]	1.0	4.0	0.0	i	2.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	e	e	1	None	False	['E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G']	0.0	0.0	0.0	0.0
0.5	1.0	1.0	['E2', 'E4', 'G4', 'B4']	['P1', 'm3', 'P5']	[False, False, False, False]	1.0	4.0	0.0	i	3.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	e	e	1	None	False	['E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G']	0.0	0.0	0.0	0.0
0.625	1.0	1.0	['E2', 'E4', 'G4', 'B4']	['P1', 'm3', 'P5']	[False, False, False, False]	1.0	4.0	0.0	i	3.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	e	e	1	None	False	['E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G']	0.0	0.0	0.0	0.0
0.75	1.0	1.0	['E2', 'E4', 'G4', 'B4']	['P1', 'm3', 'P5']	[False, False, False, False]	1.0	4.0	0.0	i	3.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	e	e	1	None	False	['E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G']	0.0	0.0	0.0	0.0
0.875	1.0	1.0	['E2', 'E4', 'G4', 'B4']	['P1', 'm3', 'P5']	[False, False, False, False]	1.0	4.0	0.0	i	3.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	e	e	1	None	False	['E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G']	0.0	0.0	0.0	0.0
1.0	1.0	1.0	['E2', 'E4', 'G4', 'B4']	['P1', 'm3', 'P5']	[True, False, False, False]	1.0	4.0	0.0	i	4.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	e	e	1	None	False	['E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G']	0.0	0.0	0.0	0.0
1.125	1.0	1.0	['E2', 'E4', 'G4', 'B4']	['P1', 'm3', 'P5']	[False, False, False, False]	1.0	4.0	0.0	i	4.0	('E', 'G', 'B')	E	G	B	E	E	0.0	min	(4, 7, 11)	e	e	1	None	False	['E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'E', 'G', 'B', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G', 'E', 'B', 'G']	0.0	0.0	0.0	0.0
