j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.125	1.0	['B-3']	[]	[True]	1.0	0.5	0.0	I	0.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
0.125	0.125	1.0	['B-3', 'F4']	['P5']	[False, True]	1.0	0.5	0.0	I	1.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
0.25	0.125	1.0	['B-3', 'D5']	['M3']	[False, True]	1.0	0.5	0.0	I	2.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
0.375	0.125	1.0	['B-3', 'F4']	['P5']	[False, True]	1.0	0.5	0.0	I	2.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
0.5	0.125	1.0	['A3']	[]	[True]	1.0	0.5	1.0	V	0.0	('A', 'C', 'F')	A	C	F	F	F	1.0	maj	(0, 5, 9)	B-	B-	5	None	False	['A', 'A', 'F', 'A', 'C', 'A', 'F']	0.0	0.0	0.0	0.0
0.625	0.125	1.0	['A3', 'F4']	['m6']	[False, True]	1.0	0.5	1.0	V	1.0	('A', 'C', 'F')	A	C	F	F	F	1.0	maj	(0, 5, 9)	B-	B-	5	None	False	['A', 'A', 'F', 'A', 'C', 'A', 'F']	0.0	0.0	0.0	0.0
0.75	0.125	1.0	['A3', 'C5']	['m3']	[False, True]	1.0	0.5	1.0	V	2.0	('A', 'C', 'F')	A	C	F	F	F	1.0	maj	(0, 5, 9)	B-	B-	5	None	False	['A', 'A', 'F', 'A', 'C', 'A', 'F']	0.0	0.0	0.0	0.0
0.875	0.125	1.0	['A3', 'F4']	['m6']	[False, True]	1.0	0.5	1.0	V	2.0	('A', 'C', 'F')	A	C	F	F	F	1.0	maj	(0, 5, 9)	B-	B-	5	None	False	['A', 'A', 'F', 'A', 'C', 'A', 'F']	0.0	0.0	0.0	0.0
1.0	0.125	1.0	['B-3']	[]	[True]	1.0	0.5	2.0	I	0.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
1.125	0.125	1.0	['B-3', 'F4']	['P5']	[False, True]	1.0	0.5	2.0	I	1.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
1.25	0.125	1.0	['B-3', 'D5']	['M3']	[False, True]	1.0	0.5	2.0	I	2.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
1.375	0.125	1.0	['B-3', 'F4']	['P5']	[False, True]	1.0	0.5	2.0	I	2.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
1.5	0.125	1.0	['F3']	[]	[True]	1.0	0.5	3.0	V	0.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	B-	B-	5	None	False	['F', 'F', 'A', 'F', 'F', 'F', 'A']	0.0	0.33	0.11	0.0
1.625	0.125	1.0	['F3', 'A4']	['M3']	[False, True]	1.0	0.5	3.0	V	1.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	B-	B-	5	None	False	['F', 'F', 'A', 'F', 'F', 'F', 'A']	0.0	0.33	0.11	0.0
1.75	0.125	1.0	['F3', 'F5']	['P1']	[False, True]	1.0	0.5	3.0	V	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	B-	B-	5	None	False	['F', 'F', 'A', 'F', 'F', 'F', 'A']	0.0	0.33	0.11	0.0
1.875	0.125	1.0	['F3', 'A4']	['M3']	[False, True]	1.0	0.5	3.0	V	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	B-	B-	5	None	False	['F', 'F', 'A', 'F', 'F', 'F', 'A']	0.0	0.33	0.11	0.0
2.0	0.125	1.0	['G3']	[]	[True]	1.0	0.5	4.0	vi	0.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	B-	B-	6	None	False	['G', 'G', 'D', 'G', 'B-', 'G', 'D']	0.0	0.0	0.0	0.0
2.125	0.125	1.0	['G3', 'D4']	['P5']	[False, True]	1.0	0.5	4.0	vi	1.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	B-	B-	6	None	False	['G', 'G', 'D', 'G', 'B-', 'G', 'D']	0.0	0.0	0.0	0.0
2.25	0.125	1.0	['G3', 'B-4']	['m3']	[False, True]	1.0	0.5	4.0	vi	2.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	B-	B-	6	None	False	['G', 'G', 'D', 'G', 'B-', 'G', 'D']	0.0	0.0	0.0	0.0
2.375	0.125	1.0	['G3', 'D4']	['P5']	[False, True]	1.0	0.5	4.0	vi	2.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	B-	B-	6	None	False	['G', 'G', 'D', 'G', 'B-', 'G', 'D']	0.0	0.0	0.0	0.0
2.5	0.125	1.0	['F3']	[]	[True]	1.0	0.5	5.0	iii	0.0	('F', 'A', 'D')	F	A	D	D	D	1.0	min	(2, 5, 9)	B-	B-	3	None	False	['F', 'F', 'D', 'F', 'A', 'F', 'D']	0.0	0.0	0.0	0.0
2.625	0.125	1.0	['F3', 'D4']	['M6']	[False, True]	1.0	0.5	5.0	iii	1.0	('F', 'A', 'D')	F	A	D	D	D	1.0	min	(2, 5, 9)	B-	B-	3	None	False	['F', 'F', 'D', 'F', 'A', 'F', 'D']	0.0	0.0	0.0	0.0
2.75	0.125	1.0	['F3', 'A4']	['M3']	[False, True]	1.0	0.5	5.0	iii	2.0	('F', 'A', 'D')	F	A	D	D	D	1.0	min	(2, 5, 9)	B-	B-	3	None	False	['F', 'F', 'D', 'F', 'A', 'F', 'D']	0.0	0.0	0.0	0.0
2.875	0.125	1.0	['F3', 'D4']	['M6']	[False, True]	1.0	0.5	5.0	iii	2.0	('F', 'A', 'D')	F	A	D	D	D	1.0	min	(2, 5, 9)	B-	B-	3	None	False	['F', 'F', 'D', 'F', 'A', 'F', 'D']	0.0	0.0	0.0	0.0
3.0	0.125	1.0	['G3']	[]	[True]	1.0	0.5	6.0	vi	0.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	B-	B-	6	None	False	['G', 'G', 'D', 'G', 'B-', 'G', 'D']	0.0	0.0	0.0	0.0
3.125	0.125	1.0	['G3', 'D4']	['P5']	[False, True]	1.0	0.5	6.0	vi	1.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	B-	B-	6	None	False	['G', 'G', 'D', 'G', 'B-', 'G', 'D']	0.0	0.0	0.0	0.0
3.25	0.125	1.0	['G3', 'B-4']	['m3']	[False, True]	1.0	0.5	6.0	vi	2.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	B-	B-	6	None	False	['G', 'G', 'D', 'G', 'B-', 'G', 'D']	0.0	0.0	0.0	0.0
3.375	0.125	1.0	['G3', 'D4']	['P5']	[False, True]	1.0	0.5	6.0	vi	2.0	('G', 'B-', 'D')	G	B-	D	G	G	0.0	min	(2, 7, 10)	B-	B-	6	None	False	['G', 'G', 'D', 'G', 'B-', 'G', 'D']	0.0	0.0	0.0	0.0
3.5	0.125	1.0	['D3']	[]	[True]	1.0	0.5	7.0	iii	0.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	B-	B-	3	None	False	['D', 'D', 'F', 'D', 'D', 'D', 'F']	0.0	0.33	0.11	0.0
3.625	0.125	1.0	['D3', 'F4']	['m3']	[False, True]	1.0	0.5	7.0	iii	1.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	B-	B-	3	None	False	['D', 'D', 'F', 'D', 'D', 'D', 'F']	0.0	0.33	0.11	0.0
3.75	0.125	1.0	['D3', 'D5']	['P1']	[False, True]	1.0	0.5	7.0	iii	2.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	B-	B-	3	None	False	['D', 'D', 'F', 'D', 'D', 'D', 'F']	0.0	0.33	0.11	0.0
3.875	0.125	1.0	['D3', 'F4']	['m3']	[False, True]	1.0	0.5	7.0	iii	2.0	('D', 'F', 'A')	D	F	A	D	D	0.0	min	(2, 5, 9)	B-	B-	3	None	False	['D', 'D', 'F', 'D', 'D', 'D', 'F']	0.0	0.33	0.11	0.0
4.0	0.125	2.0	['E-3']	[]	[True]	2.0	0.5	8.0	IV	0.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	B-	B-	4	None	False	['E-', 'E-', 'B-', 'E-', 'G', 'E-', 'B-']	0.0	0.0	0.0	0.0
4.125	0.125	2.0	['E-3', 'B-3']	['P5']	[False, True]	2.0	0.5	8.0	IV	1.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	B-	B-	4	None	False	['E-', 'E-', 'B-', 'E-', 'G', 'E-', 'B-']	0.0	0.0	0.0	0.0
4.25	0.125	2.0	['E-3', 'G4']	['M3']	[False, True]	2.0	0.5	8.0	IV	2.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	B-	B-	4	None	False	['E-', 'E-', 'B-', 'E-', 'G', 'E-', 'B-']	0.0	0.0	0.0	0.0
4.375	0.125	2.0	['E-3', 'B-3']	['P5']	[False, True]	2.0	0.5	8.0	IV	2.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	B-	B-	4	None	False	['E-', 'E-', 'B-', 'E-', 'G', 'E-', 'B-']	0.0	0.0	0.0	0.0
4.5	0.125	2.0	['D3']	[]	[True]	2.0	0.5	9.0	I	0.0	('D', 'F', 'B-')	D	F	B-	B-	B-	1.0	maj	(2, 5, 10)	B-	B-	1	None	False	['D', 'D', 'B-', 'D', 'F', 'D', 'B-']	0.0	0.0	0.0	0.0
4.625	0.125	2.0	['D3', 'B-3']	['m6']	[False, True]	2.0	0.5	9.0	I	1.0	('D', 'F', 'B-')	D	F	B-	B-	B-	1.0	maj	(2, 5, 10)	B-	B-	1	None	False	['D', 'D', 'B-', 'D', 'F', 'D', 'B-']	0.0	0.0	0.0	0.0
4.75	0.125	2.0	['D3', 'F4']	['m3']	[False, True]	2.0	0.5	9.0	I	2.0	('D', 'F', 'B-')	D	F	B-	B-	B-	1.0	maj	(2, 5, 10)	B-	B-	1	None	False	['D', 'D', 'B-', 'D', 'F', 'D', 'B-']	0.0	0.0	0.0	0.0
