j_offset	s_notes	s_isOnset	s_duration	s_measure	a_degree1	a_pcset	a_localKey
0.0		[]	1.625	1			
0.125		[]	1.625	1			
0.25		[]	1.625	1			
0.375		[]	1.625	1			
0.5		[]	1.625	1			
0.625		[]	1.625	1			
0.75		[]	1.625	1			
0.875		[]	1.625	1			
1.0		[]	1.625	1			
1.125		[]	1.625	1			
1.25		[]	1.625	1			
1.375		[]	1.625	1			
1.5		[]	1.625	1			
1.625	['B1, B2, B3']	[True, True, True]	0.375	1			
1.75	['B1, B2, B3']	[False, False, False]	0.375	1			
1.875	['B1, B2, B3']	[False, False, False]	0.375	1			
2.0	['C#2, C#3, C#4']	[True, True, True]	0.5	1			
2.125	['C#2, C#3, C#4']	[False, False, False]	0.5	1			
2.25	['C#2, C#3, C#4']	[True, True, True]	0.5	1			
2.375	['C#2, C#3, C#4']	[False, False, False]	0.5	1			
2.5		[]	0.125	1			
2.625	['C#5']	[True]	0.25	1			
2.75	['C#5']	[False]	0.25	1			
2.875	['C#4, C#5']	[True, False]	0.25	1			
3.0	['C#4, C#5']	[False, False]	0.25	1			
3.125	['C#5']	[False]	0.125	1			
3.25	['C#4, C#5']	[True, False]	0.25	1			
3.375	['C#4, C#5']	[False, False]	0.25	1			
3.5	['C#5']	[False]	0.125	1			
3.625	['C#4, C#5']	[True, False]	0.125	1			
3.75	['C#5']	[False]	0.125	1			
3.875	['C#4, C#5']	[True, False]	0.25	1			
4.0	['C#4, C#5']	[False, False]	0.25	2			
4.125		[]	0.125	2			
4.25	['C#4']	[True]	0.125	2			
4.375		[]	0.5	2			
4.5		[]	0.5	2			
4.625		[]	0.5	2			
4.75		[]	0.5	2			
4.875	['C#4']	[True]	0.125	2			
5.0		[]	0.5	2			
5.125		[]	0.5	2			
5.25		[]	0.5	2			
5.375		[]	0.5	2			
5.5	['C#4']	[True]	0.125	2			
5.625		[]	0.5	2			
5.75		[]	0.5	2			
5.875		[]	0.5	2			
6.0		[]	0.5	2			
6.125	['C#4']	[True]	0.125	2			
6.25		[]	0.5	2			
6.375		[]	0.5	2			
6.5		[]	0.5	2			
6.625		[]	0.5	2			
6.75	['B1, B2, B3, C#4']	[True, True, True, True]	0.125	2			
6.875	['B1, B2, B3']	[False, False, False]	0.25	2			
7.0	['B1, B2, B3']	[False, False, False]	0.25	2			
7.125	['C#2, C#3, C#4']	[True, True, True]	0.625	2			
7.25	['C#2, C#3, C#4']	[False, False, False]	0.625	2			
7.375	['C#2, C#3, C#4']	[False, False, False]	0.625	2			
7.5	['C#2, C#3, C#4']	[True, True, True]	0.625	2			
7.625	['C#2, C#3, C#4']	[False, False, False]	0.625	2			
7.75	['C#5']	[True]	0.375	2			
7.875	['C#5']	[False]	0.375	2			
8.0	['C#5']	[False]	0.375	3			
8.125	['C#4, C#5']	[True, False]	0.125	3			
8.25	['C#5']	[False]	0.125	3			
8.375	['C#4, C#5']	[True, False]	0.5	3			
8.5	['C#4, C#5']	[False, False]	0.5	3			
8.625	['C#4, C#5']	[False, False]	0.5	3			
8.75	['C#4, C#5']	[True, False]	0.5	3			
8.875	['C#5']	[False]	0.25	3			
9.0	['C#5']	[False]	0.25	3			
9.125	['C#4, C#5']	[True, False]	0.125	3			
9.25	['C#4']	[False]	0.25	3			
9.375	['C#4']	[True]	0.25	3			
9.5		[]	0.5	3			
9.625		[]	0.5	3			
9.75		[]	0.5	3			
9.875		[]	0.5	3			
10.0	['C#4']	[True]	0.125	3			
10.125		[]	0.25	3			
10.25		[]	0.25	3			
10.375	['C#4']	[True]	0.125	3			
10.5		[]	0.875	3			
10.625		[]	0.875	3			
10.75		[]	0.875	3			
10.875		[]	0.875	3			
11.0		[]	0.875	3			
11.125		[]	0.875	3			
11.25		[]	0.875	3			
11.375	['C#4']	[True]	0.125	3			
11.5		[]	0.125	3			
11.625	['C#4']	[True]	0.125	3			
11.75		[]	0.125	3			
11.875	['D#5']	[True]	0.125	3			
12.0	['B1, B2, B3, D#5']	[True, True, True, False]	0.375	4			
12.125	['B1, B2, B3, D#5']	[False, False, False, False]	0.375	4			
12.25	['B1, B2, B3, D#5']	[False, False, False, False]	0.375	4			
12.375	['C#2, C#3, C#4, D#5']	[True, True, True, False]	0.5	4			
12.5	['C#2, C#3, C#4, D#5']	[False, False, False, False]	0.5	4			
12.625	['C#2, C#3, C#4, D#5']	[True, True, True, False]	0.5	4			
12.75	['C#2, C#3, C#4, D#5']	[False, False, False, False]	0.5	4			
12.875	['D#5']	[False]	0.125	4			
13.0	['C#2, C#4, C#5, C#6']	[True, True, True, True]	0.25	4			
13.125	['C#2, C#4, C#5, C#6']	[False, False, False, False]	0.25	4			
13.25	['C#2, C#3, C#4, C#5, C#6']	[False, True, True, False, False]	0.125	4			
13.375	['C#3, C#4, C#5, C#6']	[False, False, False, False]	0.125	4			
13.5	['C#4, C#5, C#6']	[False, False, False]	0.625	4			
13.625	['C#4, C#5, C#6']	[True, False, False]	0.625	4			
13.75	['C#4, C#5, C#6']	[False, False, False]	0.625	4			
13.875	['C#4, C#5, C#6']	[False, False, False]	0.625	4			
14.0	['C#4, C#5, C#6']	[True, False, False]	0.625	4			
14.125	['C#2, C#4, C#5, C#6']	[True, False, False, False]	0.25	4			
14.25	['C#2, C#4, C#5, C#6']	[True, True, False, False]	0.25	4			
14.375	['C#2, C#4, C#5']	[False, False, False]	0.125	4			
14.5	['C#2']	[False]	0.125	4			
14.625	['C#2, C#4']	[False, True]	0.125	4			
14.75		[]	0.5	4			
14.875		[]	0.5	4			
15.0		[]	0.5	4			
15.125		[]	0.5	4			
15.25	['C#4']	[True]	0.125	4			
15.375		[]	0.25	4			
15.5		[]	0.25	4			
15.625	['C2, D#4']	[True, True]	0.25	4			
15.75	['C2, D#4']	[False, False]	0.25	4			
15.875	['C2, C4, C#4']	[False, True, True]	0.125	4			
16.0	['C4']	[False]	0.125	5			
16.125		[]	0.125	5			
16.25	['G#3']	[True]	0.125	5			
16.375		[]	0.125	5			
16.5	['C#4, G#3']	[True, True]	0.125	5			
16.625	['G#3']	[False]	0.125	5			
16.75	['C2, G#3']	[True, False]	0.125	5			
16.875	['G#1']	[True]	0.625	5			
17.0	['G#1']	[False]	0.625	5			
17.125	['G#1']	[False]	0.625	5			
17.25	['G#1']	[False]	0.625	5			
17.375	['G#1']	[False]	0.625	5			
17.5	['D#2, F#3']	[True, True]	0.25	5			
17.625	['D#2, F#3']	[False, False]	0.25	5			
17.75	['D#2']	[False]	0.125	5			
17.875	['C#4, D#2, G#3']	[True, False, True]	0.125	5			
18.0	['D#2, G#3']	[False, False]	0.125	5			
18.125	['C#4, E2']	[True, True]	0.125	5			
18.25	['E2']	[False]	0.25	5			
18.375	['E2']	[False]	0.25	5			
18.5	['C#4, E3']	[True, True]	0.125	5			
18.625		[]	0.5	5			
18.75		[]	0.5	5			
18.875		[]	0.5	5			
19.0		[]	0.5	5			
19.125	['C#4']	[True]	0.125	5			
19.25		[]	0.125	5			
19.375	['E2']	[True]	0.375	5			
19.5	['E2']	[True]	0.375	5			
19.625	['E2']	[False]	0.375	5			
19.75	['C#4, E2']	[True, False]	0.125	5			
19.875		[]	0.5	5			
20.0		[]	0.5	6			
20.125		[]	0.5	6			
20.25		[]	0.5	6			
20.375	['C#4, G#3']	[True, True]	0.125	6			
20.5	['G#3']	[False]	0.125	6			
20.625		[]	0.125	6			
20.75	['C#4, F#1']	[True, True]	0.125	6			
20.875	['F#1']	[False]	0.25	6			
21.0	['F#1']	[False]	0.25	6			
21.125	['C#4, F#1']	[True, False]	0.125	6			
21.25	['C#4']	[False]	0.125	6			
21.375	['D#4']	[True]	0.375	6			
21.5	['D#4']	[False]	0.375	6			
21.625	['D#4']	[False]	0.375	6			
21.75	['C#4, E4']	[True, True]	0.125	6			
21.875		[]	0.125	6			
22.0	['D#4, F#1, G#1']	[True, True, True]	0.125	6			
22.125	['D#4, G#1']	[False, False]	0.25	6			
22.25	['D#4, G#1']	[False, False]	0.25	6			
22.375	['B1, B2, B3, C#4, D#4']	[True, True, True, True, False]	0.125	6			
22.5	['B1, B2, B3, D#4']	[False, False, False, False]	0.125	6			
22.625	['B1, B2, B3']	[False, False, False]	0.125	6			
22.75	['C#2, C#3, C#4']	[True, True, True]	0.5	6			
22.875	['C#2, C#3, C#4']	[False, False, False]	0.5	6			
23.0	['C#2, C#3, C#4']	[True, True, True]	0.5	6			
23.125	['C#2, C#3, C#4']	[False, False, False]	0.5	6			
23.25		[]	0.125	6			
23.375	['C#2, C#4, C#5']	[True, True, True]	0.125	6			
23.5	['C#2, C#5']	[False, False]	0.125	6			
23.625	['C#2, C#3, C#4, C#5']	[False, True, True, False]	0.125	6			
23.75	['C#3, C#5']	[False, False]	0.125	6			
23.875	['C#5']	[False]	0.125	6			
24.0	['C#4, C#5']	[True, False]	0.25	7			
24.125	['C#4, C#5']	[False, False]	0.25	7			
24.25	['C#5']	[False]	0.125	7			
24.375	['C#4, C#5']	[True, False]	0.125	7			
24.5	['C#2, C#5']	[True, False]	0.125	7			
24.625	['C#2, C#4, C#5']	[True, True, False]	0.25	7			
24.75	['C#2, C#4, C#5']	[False, False, False]	0.25	7			
24.875	['C#2']	[False]	0.125	7			
25.0	['C#2, C#4']	[False, True]	0.125	7			
25.125		[]	0.5	7			
25.25		[]	0.5	7			
25.375		[]	0.5	7			
25.5		[]	0.5	7			
25.625	['C#4']	[True]	0.125	7			
25.75		[]	0.25	7			
25.875		[]	0.25	7			
26.0	['C2, D#4']	[True, True]	0.25	7			
26.125	['C2, D#4']	[False, False]	0.25	7			
26.25	['C2, C4, C#4']	[False, True, True]	0.125	7			
26.375	['C4']	[False]	0.125	7			
26.5		[]	0.125	7			
26.625	['G#3']	[True]	0.125	7			
26.75		[]	0.125	7			
26.875	['C#4, G#3']	[True, True]	0.125	7			
27.0	['G#3']	[False]	0.125	7			
27.125	['C2, G#3']	[True, False]	0.125	7			
27.25	['G#1']	[True]	0.5	7			
27.375	['G#1']	[False]	0.5	7			
27.5	['G#1']	[False]	0.5	7			
27.625	['G#1']	[False]	0.5	7			
27.75		[]	0.125	7			
27.875	['B3, D#2']	[True, True]	0.25	7			
28.0	['B3, D#2']	[False, False]	0.25	8			
28.125	['D#2']	[False]	0.125	8			
28.25	['B3, C#4, D#2']	[True, True, False]	0.125	8			
28.375	['B3, D#2']	[False, False]	0.125	8			
28.5	['B3, C#4, E2, G#3']	[False, True, True, True]	0.125	8			
28.625	['E2, G#3']	[False, False]	0.25	8			
28.75	['E2, G#3']	[False, False]	0.25	8			
28.875	['C#4, E3, G#3']	[True, True, False]	0.125	8			
29.0	['A3, G#3']	[True, True]	0.125	8			
29.125	['F#3']	[True]	0.125	8			
29.25	['G#3']	[True]	0.25	8			
29.375	['G#3']	[False]	0.25	8			
29.5	['C#4, G#3']	[True, False]	0.125	8			
29.625		[]	0.125	8			
29.75	['E2']	[True]	0.375	8			
29.875	['E2']	[True]	0.375	8			
30.0	['E2']	[False]	0.375	8			
30.125	['C#4, E2']	[True, False]	0.125	8			
30.25		[]	0.5	8			
30.375		[]	0.5	8			
30.5		[]	0.5	8			
30.625		[]	0.5	8			
30.75	['C#4, G#3']	[True, True]	0.125	8			
30.875	['G#3']	[False]	0.125	8			
31.0		[]	0.125	8			
31.125	['C#4, F#1']	[True, True]	0.125	8			
31.25	['F#1']	[False]	0.25	8			
31.375	['F#1']	[False]	0.25	8			
31.5	['C#4, F#1']	[True, False]	0.125	8			
31.625	['C#4']	[False]	0.125	8			
31.75	['D#4']	[True]	0.375	8			
31.875	['D#4']	[False]	0.375	8			
32.0	['D#4']	[False]	0.375	9			
32.125	['C#4, E4']	[True, True]	0.125	9			
32.25		[]	0.125	9			
32.375	['D#4, F#1, G#1']	[True, True, True]	0.125	9			
32.5	['D#4, G#1']	[False, False]	0.25	9			
32.625	['D#4, G#1']	[False, False]	0.25	9			
32.75	['B1, B2, B3, C#4, D#4, D#5, G#1']	[True, True, True, True, False, True, False]	0.125	9			
32.875	['B1, B2, B3, D#4, D#5']	[False, False, False, False, False]	0.125	9			
33.0	['B1, B2, B3, D#5']	[False, False, False, False]	0.125	9			
33.125	['B1, C#2, C#3, C#4, D#5']	[True, True, True, True, False]	0.375	9			
33.25	['B1, C#2, C#3, C#4, D#5']	[False, False, False, False, False]	0.375	9			
33.375	['B1, C#2, C#3, C#4, D#5']	[False, True, True, True, False]	0.375	9			
33.5	['C#2, C#3, C#4, D#5']	[False, False, False, False]	0.125	9			
33.625	['D#5']	[False]	0.125	9			
33.75	['C#2, C#4, C#6, E4, D#5, G#4, G#5, G#6']	[True, True, True, True, False, True, True, True]	0.125	9			
33.875	['C#2, C#4, E4, G#4']	[False, False, False, False]	0.125	9			
34.0	['C#2, C#3, C#4, C#6, E4, G#4, G#5, G#6']	[False, True, False, True, False, False, True, True]	0.125	9			
34.125	['C#3, C#4, E4, G#4']	[False, False, False, False]	0.125	9			
34.25	['C#4, E4, G#4']	[False, False, False]	0.125	9			
34.375	['C#4, C#6, E4, G#4, G#5, G#6']	[False, True, True, True, True, True]	0.125	9			
34.5	['C#4, E4, G#4']	[False, False, False]	0.25	9			
34.625	['C#4, E4, G#4']	[False, False, False]	0.25	9			
34.75	['C#4, C#6, E4, G#4, G#5, G#6']	[False, True, False, False, True, True]	0.125	9			
34.875	['C#2, C#4, E4, G#4']	[True, False, False, False]	0.125	9			
35.0	['C#2, C#4, C#6, E4, G#4, G#5, G#6']	[True, False, True, True, False, True, True]	0.125	9			
35.125	['C#2, C#4']	[False, False]	0.25	9			
35.25	['C#2, C#4']	[False, False]	0.25	9			
35.375	['C#2, C#4, C#6, E4, E7, G#5, G#6']	[False, False, True, True, True, True, True]	0.125	9			
35.5	['C#4']	[False]	0.125	9			
35.625	['C#4, C#6, F#4, F#7, G#5, G#6']	[False, True, True, True, True, True]	0.125	9			
35.75	['C#4, F#4, F#7']	[False, False, False]	0.125	9			
35.875	['C#4']	[False]	0.125	9			
36.0	['C#4, C#6, E4, E7, G#5, G#6']	[False, True, True, True, True, True]	0.125	10			
36.125	['C#4, E4, E7']	[False, False, False]	0.125	10			
36.25	['C#4']	[False]	0.125	10			
36.375	['C2, C4, C6, D#4, D#7, F#4, G#4, G#5, G#6']	[True, True, True, True, True, True, True, True, True]	0.125	10			
36.5	['C2, C4, D#4, F#4, G#4']	[False, False, False, False, False]	0.125	10			
36.625	['C2, C4, C6, D#4, F#4, G#4, G#5, G#6']	[False, False, True, False, False, False, True, True]	0.125	10			
36.75	['C4, D#4, F#4, G#4']	[False, False, False, False]	0.125	10			
36.875	['C4, G#4']	[False, False]	0.125	10			
37.0	['C4, C6, D#4, D#7, F#4, G#4, G#5, G#6']	[False, True, True, True, True, False, True, True]	0.125	10			
37.125	['C4, D#4, F#4, G#4']	[False, False, False, False]	0.125	10			
37.25	['C4, C6, D#4, F#4, G#4, G#5, G#6']	[False, True, False, False, False, True, True]	0.125	10			
37.375	['C4, D#4, F#4, G#4']	[False, False, False, False]	0.125	10			
37.5	['C2, C4, F#4, G#4']	[True, False, False, False]	0.125	10			
37.625	['C4, C6, F#4, F#6, G#1, G#5']	[False, True, True, True, True, True]	0.125	10			
37.75	['C4, F#4, G#1']	[False, False, False]	0.25	10			
37.875	['C4, F#4, G#1']	[False, False, False]	0.25	10			
38.0	['C4, C6, F#4, F#6, G#5']	[False, True, False, True, True]	0.125	10			
38.125	['C4, F#4']	[False, False]	0.125	10			
38.25	['C4, C6, C#4, C#7, D#2, F#4, F#6, G#5']	[False, True, True, True, True, False, True, True]	0.125	10			
38.375	['C4, C#4, C#7, D#2, F#4']	[False, False, False, False, False]	0.125	10			
38.5	['C4, D#2, F#4']	[False, False, False]	0.125	10			
38.625	['C4, C6, D#2, D#4, D#7, F#4, F#6, G#5']	[False, True, False, True, True, False, True, True]	0.125	10			
38.75	['C4, D#2, D#4, F#4']	[False, False, False, False]	0.125	10			
38.875	['B3, B5, C4, E2, E4, E6, E7, F#4, G#4, G#5']	[True, True, False, True, True, True, True, False, True, True]	0.125	10			
39.0	['B3, E2, E4, E7, G#4']	[False, False, False, False, False]	0.125	10			
39.125	['B3, E2, E4, G#4']	[False, False, False, False]	0.125	10			
39.25	['B3, B5, E3, E4, E6, G#4, G#5']	[False, True, True, False, True, False, True]	0.125	10			
39.375	['B3, E4, G#4']	[False, False, False]	0.125	10			
39.5	['B3']	[False]	0.125	10			
39.625	['B3, E4, E6, E7, G#4']	[False, True, True, True, True]	0.125	10			
39.75	['B3, E4, G#4']	[False, False, False]	0.125	10			
39.875	['B3, B5, E4, E6, G#4, G#5']	[False, True, False, True, False, True]	0.125	10			
40.0	['B3, E4, G#4']	[False, False, False]	0.125	11			
40.125	['B3, E2, G#4']	[False, True, False]	0.125	11			
40.25	['B3, B5, E2, E4, E6, E7, G#5']	[False, True, True, True, True, True, True]	0.125	11			
40.375	['B3, E2']	[False, False]	0.125	11			
40.5	['B3, B5, E2, E4, E6, G#5']	[False, True, False, True, True, True]	0.125	11			
40.625	['B3, E4']	[False, False]	0.125	11			
40.75	['B3']	[False]	0.125	11			
40.875	['B3, B5, E6, F#4, F#7, G#5']	[False, True, True, True, True, True]	0.125	11			
41.0	['B3']	[False]	0.25	11			
41.125	['B3']	[False]	0.25	11			
41.25	['B3, E4, E6, E7']	[False, True, True, True]	0.125	11			
41.375	['B3']	[False]	0.125	11			
